,Train R2s,Test R2s,Overall R2s,Train NRMSES,Test NRMSES,Overall NRMSES,Models,Simplicities
0,0.8501,0.8295,0.846,0.4653,0.4685,0.4662,-0.0511139407753944*x_0/(0.16345077753067 - x_2/x_0) + (0.0147126326337457*x_0 - 0.0201748982071877*x_1)*(x_0*x_2 + x_0 - 6.15448379516602) - 0.0201748982071877*sin(x_1) + 2.41292119026184,-2.2
1,0.8319,0.8651,0.8421,0.4786,0.454,0.4721,-(7.93343206169084e-5*x_3 + 7.93343206169084e-5*(x_0 + x_1)/(x_1 + 21.2812099456787) - 0.000200465423404239)*(-x_0*(8556.0517578125*x_2 + 10996.7177734375*x_3) + (x_2 + 108894.6875)/x_3**2 + 6291.11083984375/(x_0*(x_2 + x_3))) + 5.55997657775879,-2.4
2,0.8489,0.8317,0.8445,0.4558,0.5067,0.4685,-(0.00204224861226976*(2.69602584838867*x_2 + 1.93465960025787)*(x_3 + 1.55650460720062) + 0.00204224861226976*(0.2773177921772*cos(x_1) + 0.2773177921772*cos(x_2))/cos(x_3))*(-x_0**2 + 3*x_0 + 2*x_0/x_3 + 2*x_1 - 2*x_2) - 5.81662654876709,-2.4
3,0.8361,0.8386,0.8367,0.4789,0.4836,0.4801,(x_3 + sin(x_3))*(0.000577032216824591*x_0*x_3 - 0.000686201790813357*x_1)*(x_2*x_3**2*(x_1 - 40.4318466186523) - 35.0865287780762*sin(x_3))*(-x_0*x_3 + sin(x_1*x_3) + 33.888786315918) + 7.64948415756226,-2.3
4,0.8531,0.8287,0.8468,0.4549,0.4933,0.465,(2.00766062736511*x_2*x_3 - 3.10549831390381*x_2 - 1.50910234451294*cos(x_3) + 0.427022457122803)*(-1.49760174751282*x_0*x_3 + x_1 + sin(x_1) + sin(x_1 + x_2 - 2*x_3) + 39.5199775695801) + 1.86153304576874,-2.2
5,0.8765,0.8878,0.8797,0.41,0.4177,0.412,(0.003864724632352172*x_0 - 0.02356740385077876*x_1 + 0.00544253711075627)*(x_0 - 5.576176*x_1 + 1.4455961490026035)*(x_0*x_3 - 0.711259*x_0 + 2.8781921639631*x_2 - 4.952704)*sin(cos(1.9450097321287123/(x_2 + 1.4582972767701912))) + 0.6860243722075643,-2.2
6,0.8546,0.89,0.8661,0.4427,0.4132,0.4348,0.00159029522910714*x_0*x_3**2*(x_0 - x_2)*(x_2 + 0.593977749347687)*(x_3 + cos(x_1) + cos(x_2 - x_3) + 6.94880723953247) - 0.335680693387985*sin(cos(1) + 6.58548784255981/(x_1 - 2.70159029960632)) - 4.36045265197754,-2.3
7,0.8462,0.8413,0.8449,0.4645,0.4753,0.4678,x_0**2*x_3**2*(0.0121358400210738*x_2 + 0.00101318454835564*cos(x_1)) - 0.00460499804466963*x_0*(x_0 - 10.5426187515259)*(x_3 - 5.69300556182861)*cos(x_3) - (0.0164480954408646*x_0 + 0.0871549472212791*x_1 + 0.0871549472212791*x_2 + 0.0164480954408646*x_3)*cos(4.25033044815063*x_2) + 1.34700119495392*cos(cos(x_0 + x_3)) - 5.15418910980225,-2.5
8,0.8452,0.8234,0.8397,0.4611,0.5204,0.4757,(1484093.25*x_0 + 11830647.0*x_2 + 1484093.25*cos(x_0))*(0.229239076375961*x_2 + x_3 - 41.9299774169922/x_0)*(2*x_0*x_3**2 - x_0 - x_2 + cos(0.738067746162415*x_0))/(x_1 + x_3 + 39578188.0) + 15.8917179107666,-2.4
9,0.8385,0.8483,0.8407,0.4829,0.445,0.4742,(42.6153678894043*x_2 + 42.6153678894043*x_3/(x_1 + 5.77651596069336 - x_1/x_0))*(-x_0 + 5.372878074646*x_2 + 29.4726486206055)/(cos(x_1) + (x_3 - 15.4184789657593)/x_3) + 3.71221947669983,-2.3
