,Train R2s,Test R2s,Overall R2s,Train NRMSES,Test NRMSES,Overall NRMSES,Models,Simplicities
0,0.8931,0.871,0.8886,0.393,0.4076,0.3965,0.0605405271053314*x_3**2*(x_0 - 4.55706214904785)*(x_2*x_3 + 0.381025820970535)*(-x_0*x_3 + x_2 + 10.132776260376)/(cos(x_1) - 2.83774495124817) - 2.53038120269775,-2.1
1,0.8751,0.9045,0.8842,0.4125,0.3819,0.4044,0.000149224666529335*x_0**3 - 0.000623451313003898*x_0*x_2*(x_0 - x_1**2 + x_2)*(x_3 - (x_1 - 3.88677263259888)/(x_3 - 1.07885885238647) + 3.59287691116333) - 0.0157433208078146*x_0*(x_1 - x_3) + 0.0016657899832353*x_2*(x_3 - 0.632769286632538)/sin(x_0) - 1.54906046390533,-2.4
2,0.8865,0.8765,0.8839,0.395,0.4341,0.4047,(0.05071824958429926*x_0 - 0.05071824958429926*x_2 + 0.05071824958429926*x_3)*(x_2 + cos(1) - (x_1 + 4.944964949479745)/(x_0 + x_1))*(3.570860180947426*x_0*x_3**2 - x_0 - sin(x_3) + 0.33607164544028145)/(x_1 - cos(x_1) + 7.053767394823943) - 3.381454,-2.4
3,0.8887,0.8715,0.8843,0.3946,0.4315,0.4041,-0.000315103126922622*x_0*x_3**2*(x_0*x_3 + sin(x_2))*(-x_0*x_2 + x_0*x_3*(x_2 + x_3)*cos(x_1)/(x_3 - 4.08744096755981) - x_0 + x_1 + x_3 + 17.3398838043213)*sin(x_3) - 1.26636302471161,-2.3
4,0.8902,0.8633,0.8833,0.3933,0.4407,0.4059,-(23.3747043609619*x_2*x_3 - 18.2613334655762*x_2 + 1.89855229854584*cos(x_3) - 0.0844012498855591)*(-0.414870500564575*x_0*x_3 + x_1 + sin(x_1) + sin(x_1 + x_2 - 2*x_3) + 8.48856449127197) - 0.55855655670166,-2.2
5,0.8765,0.8876,0.8797,0.41,0.4181,0.4121,(0.0038778223910426817*x_0 - 0.023647275044191946*x_1 + 0.0054609821604097672)*(x_0 - 5.576176*x_1 + 1.4455964718162182)*(x_0*x_3 - 0.711259*x_0 + 2.8781712825749897*x_2 - 4.952704)*sin(cos(1.9449980179132147/(x_2 + 1.4582996950812295))) + 0.6860169238950253,-2.2
6,0.8748,0.9067,0.8852,0.4108,0.3804,0.4026,0.0051016635261476*x_0*x_3**2*(x_0 - x_2)*(x_2 + 0.485699206590652)*(x_3 + cos(x_1) + cos(x_2 - x_3) + 0.926511168479919) - 0.752737104892731*sin(cos(1) + 5.98380661010742/(x_1 - 2.69139385223389)) - 4.5027232170105,-2.3
7,0.8847,0.8866,0.8854,0.4021,0.4018,0.4022,(0.375514179468155*x_3**3*(x_0 - x_2) + 0.375514179468155*(2*x_0 + 6.3856897354126)/(5.08291912078857*x_3 - 10.3255577087402))*((x_0 - x_2)*(0.660251140594482*x_2 + 0.327622622251511)/(x_1 + 6.54490852355957) - cos(cos(x_1 - x_2))) - 1.30975246429443,-2.5
8,0.8822,0.884,0.8827,0.4021,0.4218,0.4069,(0.0495078153908253*x_0 - 0.058425534516573*x_2 + 0.0495078153908253*cos(x_0))*(1.65272772312164*x_2 + x_3 - 22.1352405548096/x_0)*(2*x_0*x_3**2 - x_0 - x_2 + cos(0.594359457492828*x_0))/(x_1*x_3 + x_3 + 2.38623762130737) + 0.00484885042533278,-2.4
9,0.8844,0.8846,0.8845,0.4085,0.3881,0.4038,(4.31813097000122*x_2 + 4.31813097000122*x_3/(x_1 + 4.98699855804443 - x_1/x_0))*(-x_0 + 2.56019759178162*x_2 + 22.6843490600586)/(cos(x_1) + (x_3 - 3.69306302070618)/x_3) + 0.133981823921204,-2.3
