,Train R2s,Test R2s,Overall R2s,Train NRMSES,Test NRMSES,Overall NRMSES,Models,Simplicities
0,0.8931,0.8713,0.8886,0.3931,0.4411,0.3965,0.0580460615456104*x_3**2*(x_0 - 3.60531687736511)*(x_2*x_3 + 0.380414485931396)*(-x_0*x_3 + x_2 + 8.48543739318848)/(cos(x_1) - 2.88256573677063) - 2.83977961540222,-2.1
1,0.8681,0.9053,0.8802,0.4223,0.4066,0.4112,(0.0879765674471855*x_2*(x_2 - 10.3173522949219) + 1.38571858406067*(-x_0 + 2.34444713592529*x_1 + 11.8322086334229)/(x_1*x_2 + x_3 + 2.42764830589294))*(0.0469708740711212*x_0*x_2/sin(5.73454475402832*x_3) - x_3) - 3.58155560493469,-2.3
2,0.8812,0.8651,0.8771,0.4041,0.4536,0.4165,-(0.00306275114417076*(2.82858967781067*x_2 + 0.0707311928272247)*(x_3 + 1.38308680057526) + 0.00306275114417076*(0.89224898815155*cos(x_1) + 0.89224898815155*cos(x_2))/cos(x_3))*(-x_0**2 + 3*x_0 + 2*x_0/x_3 + 2*x_1 - 2*x_2) - 3.97443294525146,-2.4
3,0.885,0.872,0.8817,0.4011,0.4307,0.4086,-0.000258611369645223*x_0*x_3*(x_0*x_3 - x_2/x_0)*(-x_0*x_2 + x_0*x_3*(x_2 + x_3)*cos(x_1)/(x_3 - 4.64547157287598) - x_0 + 2*x_1 + 13.3449621200562) - 2.09408807754517,-2.3
4,0.8827,0.8543,0.8754,0.4064,0.4548,0.4193,-(0.981679618358612*x_2*x_3 + 1.95120418071747*x_2 - 0.977272272109985*cos(x_3) + 1.69618046283722)*(-0.422038972377777*x_0*x_3 + x_1 + sin(x_1) + sin(x_1 + x_2 - 2*x_3) + 4.14935731887817) - 7.00211429595947,-2.2
5,0.8742,0.8905,0.8789,0.4137,0.4128,0.4135,0.0288211852312088*x_0**2*x_3**3*(3.62915825843811*x_2*x_3 + x_3 + 0.695178210735321)/(x_1 + 4.89442586898804) - 4.93001222610474,-1.9
6,0.8746,0.906,0.8848,0.411,0.4054,0.4032,-0.0148754622787237*x_0*x_1*x_3*(x_1 - 4.9152398109436)/(x_3 - 4.57189130783081) + 0.00426671048626304*x_0*x_3**2*(x_0 + x_2)*(x_2 + 0.602297484874725)*(x_3 + cos(x_1) + cos(x_2 - x_3) + 1.20319759845734) - (0.0136936511844397*x_2 + 0.00167051586322486)*(cos(x_3) - x_2/x_1)/cos(x_0) - 4.75743007659912,-2.5
7,0.8807,0.878,0.88,0.4091,0.4154,0.4115,x_0**2*x_3**2*(0.015461097471416*x_2 + 0.00426450930535793*cos(x_1)) - 0.00520035438239574*x_0*(x_0 - 6.08821535110474)*(x_3 - 3.36540412902832)*cos(x_3) + (-0.0351884961128235*x_0 + 0.00358906202018261*x_1 + 0.00358906202018261*x_2 - 0.0351884961128235*x_3)*cos(5.09252071380615*x_2) + 0.00447546225041151*cos(cos(x_0 + x_3)) - 3.93399977684021,-2.5
8,0.8791,0.8513,0.8721,0.4074,0.4775,0.4249,(0.00416750414296985*x_0 + 0.00416750414296985*cos(x_1)/cos(x_2))*(cos(x_1) - 1.78006362915039/(x_3 - 1.31884157657623))*(-x_1 + x_3 + (x_0 - 4.55152797698975)*sin(x_2) + 13.2841339111328) - 7.74487209320068,-2.2
9,0.8713,0.8668,0.8703,0.4311,0.4173,0.4278,0.131722778081894*x_0**2*x_2/(x_1 + x_1/x_3 + 5.58617544174194) + 0.466441839933395*x_0 + 25.7904968261719*x_3 + 2.50283932685852*cos(x_1**2) - 38.3550491333008,-2.1
