epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.564889907836914,,
0,,75,,,,0.11782871931791306,2.508213996887207
0,0.0010000000474974513,75,17.351083755493164,0.08159609884023666,,,
1,,99,,,2.211725950241089,,
1,,149,,,1.964078664779663,,
1,,151,,,,0.1697085052728653,1.9274955987930298
1,0.0010000000474974513,151,30.47043228149414,0.1306123286485672,,,
2,,199,,,1.6949995756149292,,
2,,227,,,,0.21890604496002197,1.6750025749206543
2,0.0010000000474974513,227,43.86665344238281,0.18702000379562378,,,
3,,249,,,1.6913573741912842,,
3,,299,,,1.634119987487793,,
3,,303,,,,0.24728797376155853,1.6237622499465942
3,0.0010000000474974513,303,56.74666213989258,0.21974006295204163,,,
4,,349,,,1.6111929416656494,,
4,,379,,,,0.2647991478443146,1.6217495203018188
4,0.0010000000474974513,379,70.43891906738281,0.24117238819599152,,,
5,,399,,,1.5992685556411743,,
5,,449,,,1.6149718761444092,,
5,,455,,,,0.2767660915851593,1.5917859077453613
5,0.0010000000474974513,455,84.24668884277344,0.25631701946258545,,,
6,,499,,,1.615156650543213,,
6,,531,,,,0.2852136790752411,1.6152987480163574
6,0.0010000000474974513,531,97.90606689453125,0.26757586002349854,,,
7,,549,,,1.5799700021743774,,
7,,599,,,1.5632399320602417,,
7,,607,,,,0.290694922208786,1.649475336074829
7,0.0010000000474974513,607,111.28347778320312,0.27674171328544617,,,
8,,649,,,1.5511873960494995,,
8,,683,,,,0.29665642976760864,1.5056333541870117
8,0.0010000000474974513,683,124.909423828125,0.2848098576068878,,,
9,,699,,,1.4896382093429565,,
9,,749,,,1.4145243167877197,,
9,,759,,,,0.3040769398212433,1.4686628580093384
9,0.0010000000474974513,759,138.71405029296875,0.2934435307979584,,,
10,,799,,,1.45930016040802,,
10,,835,,,,0.3118067681789398,1.4323228597640991
10,0.0010000000474974513,835,152.57594299316406,0.30189165472984314,,,
11,,849,,,1.418103814125061,,
11,,899,,,1.4358810186386108,,
11,,911,,,,0.31901854276657104,1.4414194822311401
11,0.0010000000474974513,911,166.23907470703125,0.30970311164855957,,,
12,,949,,,1.4114484786987305,,
12,,987,,,,0.3253035545349121,1.4235647916793823
12,0.0010000000474974513,987,179.57872009277344,0.31664976477622986,,,
13,,999,,,1.4073275327682495,,
13,,1049,,,1.3733859062194824,,
13,,1063,,,,0.3301272988319397,1.49537992477417
13,0.0010000000474974513,1063,193.44004821777344,0.3229350745677948,,,
14,,1099,,,1.3844183683395386,,
14,,1139,,,,0.33452069759368896,1.408393144607544
14,0.0010000000474974513,1139,207.10272216796875,0.32830876111984253,,,
15,,1149,,,1.4048130512237549,,
15,,1199,,,1.3901125192642212,,
15,,1215,,,,0.33906373381614685,1.4100342988967896
15,0.0010000000474974513,1215,220.22039794921875,0.3334321975708008,,,
16,,1249,,,1.3808845281600952,,
