epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5650579929351807,,
0,,99,,,2.5649218559265137,,
0,,107,,,,0.07640484720468521,2.5649890899658203
0,0.0010000000474974513,107,25.504541397094727,0.07871628552675247,,,
1,,149,,,2.5649280548095703,,
1,,199,,,2.564910650253296,,
1,,215,,,,0.07677167654037476,2.564979314804077
1,0.0010000000474974513,215,45.36812973022461,0.07784207910299301,,,
2,,249,,,2.5650625228881836,,
2,,299,,,2.564955234527588,,
2,,323,,,,0.07686947286128998,2.5649590492248535
2,0.0010000000474974513,323,64.99624633789062,0.07749567180871964,,,
3,,349,,,2.5650107860565186,,
3,,399,,,2.5649449825286865,,
3,,431,,,,0.07681148499250412,2.564950942993164
3,0.0010000000474974513,431,84.12553405761719,0.07740738987922668,,,
4,,449,,,2.564908027648926,,
4,,499,,,2.565136671066284,,
4,,539,,,,0.07690317928791046,2.564948320388794
4,0.0010000000474974513,539,104.0740966796875,0.0773129090666771,,,
5,,549,,,2.5649142265319824,,
5,,599,,,2.5648958683013916,,
5,,647,,,,0.07683943212032318,2.5649845600128174
5,0.0010000000474974513,647,123.93974304199219,0.07726391404867172,,,
6,,649,,,2.5650100708007812,,
6,,699,,,2.565103769302368,,
6,,749,,,2.564873218536377,,
6,,755,,,,0.07683299481868744,2.564957857131958
6,0.0010000000474974513,755,143.52462768554688,0.07720444351434708,,,
7,,799,,,2.5650925636291504,,
7,,849,,,2.5649161338806152,,
7,,863,,,,0.0767878070473671,2.564967393875122
7,0.0010000000474974513,863,163.33990478515625,0.07715566456317902,,,
8,,899,,,2.5650339126586914,,
8,,949,,,2.564915895462036,,
8,,971,,,,0.07675685733556747,2.5649867057800293
8,0.0010000000474974513,971,182.40704345703125,0.07712150365114212,,,
9,,999,,,2.564837694168091,,
9,,1049,,,2.565143585205078,,
9,,1079,,,,0.07678449153900146,2.5657999515533447
9,0.0010000000474974513,1079,201.51077270507812,0.07753782719373703,,,
10,,1099,,,2.565246343612671,,
