epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,251.32037353515625,,
0,,99,,,4.790113925933838,,
0,,107,,,,0.08243739604949951,3.332653284072876
0,0.00800000037997961,107,23.86012077331543,0.07728035748004913,,,
1,,149,,,3.3679842948913574,,
1,,199,,,3.0750155448913574,,
1,,215,,,,0.08145202696323395,2.700839042663574
1,0.00800000037997961,215,43.95586395263672,0.0773739293217659,,,
2,,249,,,2.8350729942321777,,
2,,299,,,2.8057608604431152,,
2,,323,,,,0.08286911994218826,2.6141974925994873
2,0.00800000037997961,323,63.80537414550781,0.07827923446893692,,,
3,,349,,,2.7210729122161865,,
3,,399,,,2.6915664672851562,,
3,,431,,,,0.08604436367750168,2.5917575359344482
3,0.00800000037997961,431,83.27766418457031,0.07931756228208542,,,
4,,449,,,2.6688344478607178,,
4,,499,,,2.6514968872070312,,
4,,539,,,,0.08762623369693756,2.581361770629883
4,0.00800000037997961,539,103.84892272949219,0.08010604977607727,,,
5,,549,,,2.6460819244384766,,
5,,599,,,2.6277153491973877,,
5,,647,,,,0.08858278393745422,2.575594186782837
5,0.00800000037997961,647,124.095458984375,0.0807042047381401,,,
6,,649,,,2.618825674057007,,
6,,699,,,2.6136207580566406,,
6,,749,,,2.607652187347412,,
6,,755,,,,0.0897088423371315,2.5716936588287354
6,0.00800000037997961,755,144.11648559570312,0.0812780112028122,,,
7,,799,,,2.6094436645507812,,
7,,849,,,2.604125738143921,,
7,,863,,,,0.09082883596420288,2.568972110748291
7,0.00800000037997961,863,164.22244262695312,0.08181406557559967,,,
8,,899,,,2.5893595218658447,,
8,,949,,,2.58833384513855,,
8,,971,,,,0.09175077825784683,2.5668699741363525
8,0.00800000037997961,971,183.4351043701172,0.08225972950458527,,,
9,,999,,,2.594294309616089,,
9,,1049,,,2.581655979156494,,
9,,1079,,,,0.09250623732805252,2.565244197845459
9,0.00800000037997961,1079,202.80856323242188,0.08265930414199829,,,
10,,1099,,,2.5836188793182373,,
10,,1149,,,2.5812981128692627,,
10,,1187,,,,0.09306088835000992,2.5641777515411377
10,0.00800000037997961,1187,222.91278076171875,0.08298473060131073,,,
11,,1199,,,2.5766897201538086,,
11,,1249,,,2.583468198776245,,
11,,1295,,,,0.09351075440645218,2.563364267349243
11,0.00800000037997961,1295,243.13906860351562,0.08328257501125336,,,
12,,1299,,,2.5799338817596436,,
12,,1349,,,2.5802578926086426,,
12,,1399,,,2.5770416259765625,,
12,,1403,,,,0.09395449608564377,2.562939405441284
12,0.00800000037997961,1403,263.3272399902344,0.0835496038198471,,,
13,,1449,,,2.5738894939422607,,
13,,1499,,,2.57582688331604,,
13,,1511,,,,0.09435231983661652,2.5626323223114014
13,0.00800000037997961,1511,282.97564697265625,0.08379752933979034,,,
14,,1549,,,2.569514513015747,,
14,,1599,,,2.571103811264038,,
14,,1619,,,,0.09474723786115646,2.562387466430664
14,0.00800000037997961,1619,301.89111328125,0.0840020701289177,,,
15,,1649,,,2.572021961212158,,
15,,1699,,,2.5662827491760254,,
15,,1727,,,,0.09512170404195786,2.562183380126953
