epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5647711753845215,,
0,,99,,,2.0914225578308105,,
0,,149,,,2.0497820377349854,,
0,,168,,,,0.1861647516489029,1.9729918241500854
0,0.0010000000474974513,168,34.679931640625,0.12735380232334137,,,
1,,199,,,1.6701653003692627,,
1,,249,,,1.7100558280944824,,
1,,299,,,1.5294584035873413,,
1,,337,,,,0.23699994385242462,1.5576616525650024
1,0.0010000000474974513,337,63.980995178222656,0.2162609100341797,,,
2,,349,,,1.5034511089324951,,
2,,399,,,1.5079283714294434,,
2,,449,,,1.473829746246338,,
2,,499,,,1.4561187028884888,,
2,,506,,,,0.2833307683467865,1.4384372234344482
2,0.0010000000474974513,506,93.87823486328125,0.26233333349227905,,,
3,,549,,,1.4729366302490234,,
3,,599,,,1.4255229234695435,,
3,,649,,,1.4297345876693726,,
3,,675,,,,0.312321275472641,1.4040461778640747
3,0.0010000000474974513,675,124.56430053710938,0.2912360429763794,,,
4,,699,,,1.438685655593872,,
4,,749,,,1.371158242225647,,
4,,799,,,1.3964163064956665,,
4,,844,,,,0.3317336440086365,1.3493049144744873
4,0.0010000000474974513,844,160.0908203125,0.31153181195259094,,,
5,,849,,,1.3546391725540161,,
5,,899,,,1.2986831665039062,,
5,,949,,,1.2708189487457275,,
5,,999,,,1.2745625972747803,,
5,,1013,,,,0.3480148911476135,1.2764569520950317
5,0.0010000000474974513,1013,190.57089233398438,0.3304579257965088,,,
6,,1049,,,1.2557430267333984,,
6,,1099,,,1.2715545892715454,,
6,,1149,,,1.2804367542266846,,
6,,1182,,,,0.3624381124973297,1.2424581050872803
6,0.0010000000474974513,1182,221.06838989257812,0.3463286757469177,,,
7,,1199,,,1.2273823022842407,,
7,,1249,,,1.2349721193313599,,
7,,1299,,,1.237687110900879,,
7,,1349,,,1.2236807346343994,,
7,,1351,,,,0.37412557005882263,1.232992172241211
7,0.0010000000474974513,1351,250.60205078125,0.3590404689311981,,,
8,,1399,,,1.2433679103851318,,
8,,1449,,,1.2313977479934692,,
8,,1499,,,1.2309645414352417,,
8,,1520,,,,0.3835536539554596,1.2240586280822754
8,0.0010000000474974513,1520,280.43328857421875,0.36935901641845703,,,
9,,1549,,,1.2393828630447388,,
9,,1599,,,1.2150468826293945,,
9,,1649,,,1.248187780380249,,
9,,1689,,,,0.3913950026035309,1.2118704319000244
9,0.0010000000474974513,1689,320.92486572265625,0.37810051441192627,,,
10,,1699,,,1.23249351978302,,
10,,1749,,,1.2141023874282837,,
10,,1799,,,1.186890959739685,,
10,,1849,,,1.2254918813705444,,
10,,1858,,,,0.3980763256549835,1.205323338508606
10,0.0010000000474974513,1858,349.995361328125,0.385597288608551,,,
11,,1899,,,1.203155517578125,,
11,,1949,,,1.181508183479309,,
11,,1999,,,1.2261468172073364,,
11,,2027,,,,0.4039473831653595,1.1984704732894897
11,0.0010000000474974513,2027,380.5416259765625,0.39225131273269653,,,
12,,2049,,,1.2166287899017334,,
12,,2099,,,1.2104119062423706,,
