epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.196460008621216,,
0,,99,,,2.0728604793548584,,
0,,149,,,2.0338380336761475,,
0,,168,,,,0.1986304074525833,1.9515656232833862
0,0.0010000000474974513,168,40.691158294677734,0.14796657860279083,,,
1,,199,,,1.939439296722412,,
1,,249,,,1.8651138544082642,,
1,,299,,,1.6640204191207886,,
1,,337,,,,0.25929591059684753,1.5156176090240479
1,0.0010000000474974513,337,76.41926574707031,0.21274305880069733,,,
2,,349,,,1.5111594200134277,,
2,,399,,,1.4238215684890747,,
2,,449,,,1.3548530340194702,,
2,,499,,,1.3398761749267578,,
2,,506,,,,0.31462448835372925,1.3290619850158691
2,0.0010000000474974513,506,112.79066467285156,0.2729739248752594,,,
3,,549,,,1.3333364725112915,,
3,,599,,,1.3159469366073608,,
3,,649,,,1.3042583465576172,,
3,,675,,,,0.3481346368789673,1.2801973819732666
3,0.0010000000474974513,675,145.00389099121094,0.3113933503627777,,,
4,,699,,,1.2749097347259521,,
4,,749,,,1.2920360565185547,,
4,,799,,,1.2413241863250732,,
4,,844,,,,0.3682740032672882,1.262040376663208
4,0.0010000000474974513,844,177.07273864746094,0.33647605776786804,,,
5,,849,,,1.2798333168029785,,
5,,899,,,1.2650493383407593,,
5,,949,,,1.2328948974609375,,
5,,999,,,1.226737380027771,,
5,,1013,,,,0.3820323646068573,1.2497669458389282
5,0.0010000000474974513,1013,209.35382080078125,0.35448014736175537,,,
6,,1049,,,1.2801990509033203,,
6,,1099,,,1.2537851333618164,,
6,,1149,,,1.2712265253067017,,
6,,1182,,,,0.39228111505508423,1.2446552515029907
6,0.0010000000474974513,1182,246.33932495117188,0.36777418851852417,,,
7,,1199,,,1.2563821077346802,,
7,,1249,,,1.2374870777130127,,
7,,1299,,,1.2320630550384521,,
7,,1349,,,1.232174277305603,,
7,,1351,,,,0.40061864256858826,1.2261792421340942
7,0.0010000000474974513,1351,277.34332275390625,0.37837186455726624,,,
8,,1399,,,1.229732871055603,,
8,,1449,,,1.2319159507751465,,
8,,1499,,,1.2409886121749878,,
8,,1520,,,,0.4076160490512848,1.2187329530715942
8,0.0010000000474974513,1520,308.28826904296875,0.3871092200279236,,,
9,,1549,,,1.218056082725525,,
9,,1599,,,1.1950998306274414,,
9,,1649,,,1.2061281204223633,,
9,,1689,,,,0.4140305519104004,1.195275068283081
9,0.0010000000474974513,1689,340.3153076171875,0.3947100043296814,,,
10,,1699,,,1.231749176979065,,
10,,1749,,,1.1942187547683716,,
10,,1799,,,1.1686034202575684,,
10,,1849,,,1.1748358011245728,,
10,,1858,,,,0.4206303656101227,1.1558328866958618
10,0.0010000000474974513,1858,370.66290283203125,0.4026368260383606,,,
11,,1899,,,1.1728081703186035,,
11,,1949,,,1.141638994216919,,
11,,1999,,,1.148566722869873,,
11,,2027,,,,0.42668941617012024,1.1610091924667358
11,0.0010000000474974513,2027,407.9237976074219,0.41013672947883606,,,
12,,2049,,,1.1612894535064697,,
12,,2099,,,1.130895972251892,,
12,,2149,,,1.1488211154937744,,
12,,2196,,,,0.4322686791419983,1.1297920942306519
12,0.0010000000474974513,2196,439.4293212890625,0.4170354902744293,,,
13,,2199,,,1.1641645431518555,,
13,,2249,,,1.1098108291625977,,
13,,2299,,,1.0985904932022095,,
13,,2349,,,1.1101493835449219,,
13,,2365,,,,0.4378654360771179,1.107339859008789
13,0.0010000000474974513,2365,471.56976318359375,0.4233653247356415,,,
14,,2399,,,1.110166311264038,,
14,,2449,,,1.1109298467636108,,
14,,2499,,,1.1317464113235474,,
14,,2534,,,,0.4431094825267792,1.1010363101959229
14,0.0010000000474974513,2534,503.0826110839844,0.4292197823524475,,,
15,,2549,,,1.116655707359314,,
15,,2599,,,1.0815846920013428,,
15,,2649,,,1.0890549421310425,,
15,,2699,,,1.076230525970459,,
15,,2703,,,,0.44784557819366455,1.0959153175354004
15,0.0010000000474974513,2703,535.1064453125,0.43467697501182556,,,
16,,2749,,,1.1082775592803955,,
16,,2799,,,1.0993918180465698,,
16,,2849,,,1.0837223529815674,,
16,,2872,,,,0.45230022072792053,1.0880868434906006
16,0.0010000000474974513,2872,567.28955078125,0.439700722694397,,,
17,,2899,,,1.1008286476135254,,
17,,2949,,,1.0920135974884033,,
17,,2999,,,1.0812904834747314,,
17,,3041,,,,0.45637181401252747,1.0850809812545776
17,0.0010000000474974513,3041,604.0604248046875,0.444406121969223,,,
18,,3049,,,1.098273515701294,,
18,,3099,,,1.077888011932373,,
18,,3149,,,1.0996596813201904,,
18,,3199,,,1.089235782623291,,
18,,3210,,,,0.46025320887565613,1.0611979961395264
18,0.0010000000474974513,3210,640.5045166015625,0.44881993532180786,,,
19,,3249,,,1.0581449270248413,,
19,,3299,,,1.080026388168335,,
19,,3349,,,1.0823758840560913,,
19,,3379,,,,0.4641205668449402,1.0578598976135254
19,0.0010000000474974513,3379,671.9429931640625,0.45293089747428894,,,
20,,3399,,,1.0606406927108765,,
20,,3449,,,1.0962656736373901,,
20,,3499,,,1.0500575304031372,,
20,,3548,,,,0.4676797091960907,1.0538362264633179
20,0.0010000000474974513,3548,702.9974365234375,0.456779807806015,,,
21,,3549,,,1.0556795597076416,,
21,,3599,,,1.049220323562622,,
21,,3649,,,1.092421293258667,,
21,,3699,,,1.0487407445907593,,
21,,3717,,,,0.4709340035915375,1.0577197074890137
21,0.0010000000474974513,3717,735.3025512695312,0.46044787764549255,,,
22,,3749,,,1.0327965021133423,,
22,,3799,,,1.0378175973892212,,
22,,3849,,,1.0581207275390625,,
22,,3886,,,,0.47402819991111755,1.040455937385559
22,0.0010000000474974513,3886,767.695556640625,0.46391206979751587,,,
23,,3899,,,1.0314472913742065,,
23,,3949,,,1.0533970594406128,,
23,,3999,,,1.0313361883163452,,
23,,4049,,,1.0309044122695923,,
23,,4055,,,,0.47694599628448486,1.0437654256820679
23,0.0010000000474974513,4055,799.3999633789062,0.46721744537353516,,,
24,,4099,,,1.0360578298568726,,
24,,4149,,,1.037333369255066,,
24,,4199,,,1.026577353477478,,
24,,4224,,,,0.47968941926956177,1.033514380455017
24,0.0010000000474974513,4224,830.9901123046875,0.4703506529331207,,,
25,,4249,,,1.049929141998291,,
25,,4299,,,1.0120227336883545,,
25,,4349,,,1.0216083526611328,,
25,,4393,,,,0.48238223791122437,1.0233454704284668
25,0.0010000000474974513,4393,863.1534423828125,0.4733383059501648,,,
26,,4399,,,1.0182948112487793,,
26,,4449,,,1.0304641723632812,,
26,,4499,,,1.0178102254867554,,
26,,4549,,,1.0073933601379395,,
26,,4562,,,,0.485018789768219,1.0147062540054321
26,0.0010000000474974513,4562,894.9642333984375,0.47620388865470886,,,
27,,4599,,,1.0459338426589966,,
27,,4649,,,1.0328209400177002,,
27,,4699,,,1.0347588062286377,,
27,,4731,,,,0.48753008246421814,1.014053463935852
27,0.0010000000474974513,4731,925.63916015625,0.4789283573627472,,,
28,,4749,,,1.0487985610961914,,
28,,4799,,,1.0073903799057007,,
28,,4849,,,1.0206362009048462,,
28,,4899,,,1.0378655195236206,,
28,,4900,,,,0.48991259932518005,1.009360909461975
28,0.0010000000474974513,4900,957.67236328125,0.48155033588409424,,,
29,,4949,,,1.0326402187347412,,
29,,4999,,,0.9882806539535522,,
29,,5049,,,1.0145410299301147,,
29,,5069,,,,0.49220186471939087,0.9998376369476318
29,0.0010000000474974513,5069,989.6088256835938,0.4840715527534485,,,
30,,5099,,,1.0282368659973145,,
30,,5149,,,1.0415343046188354,,
30,,5199,,,0.9973291158676147,,
30,,5238,,,,0.49441322684288025,0.9992520213127136
30,0.0010000000474974513,5238,1017.9647216796875,0.4864649176597595,,,
31,,5249,,,1.0021476745605469,,
31,,5299,,,0.9770988821983337,,
31,,5349,,,1.0152506828308105,,
31,,5399,,,0.9808478951454163,,
31,,5407,,,,0.49648427963256836,0.9996143579483032
31,0.0010000000474974513,5407,1049.527099609375,0.4887887239456177,,,
32,,5449,,,0.986949622631073,,
32,,5499,,,0.9938415884971619,,
32,,5549,,,0.9603893160820007,,
32,,5576,,,,0.4985371530056,0.984677791595459
32,0.0010000000474974513,5576,1082.032470703125,0.4910173714160919,,,
33,,5599,,,0.9929249286651611,,
33,,5649,,,0.9815987348556519,,
33,,5699,,,0.9566251039505005,,
33,,5745,,,,0.5005329251289368,0.9838061332702637
33,0.0010000000474974513,5745,1114.241455078125,0.493151992559433,,,
34,,5749,,,0.9907466173171997,,
34,,5799,,,0.9724672436714172,,
34,,5849,,,0.9942181706428528,,
34,,5899,,,0.9514461755752563,,
34,,5914,,,,0.5024610757827759,0.9779535531997681
34,0.0010000000474974513,5914,1146.8798828125,0.49521711468696594,,,
35,,5949,,,0.9640675783157349,,
35,,5999,,,0.9794126749038696,,
35,,6049,,,0.9901328682899475,,
35,,6083,,,,0.5043111443519592,0.9772030115127563
35,0.0010000000474974513,6083,1179.802490234375,0.49718886613845825,,,
36,,6099,,,0.968536376953125,,
36,,6149,,,0.9755388498306274,,
36,,6199,,,0.9880472421646118,,
36,,6249,,,0.979328453540802,,
36,,6252,,,,0.5060858130455017,0.9719696640968323
36,0.0010000000474974513,6252,1212.2445068359375,0.4990995228290558,,,
37,,6299,,,0.987089991569519,,
37,,6349,,,0.9665989279747009,,
37,,6399,,,0.9722300171852112,,
37,,6421,,,,0.5077978372573853,0.97578364610672
37,0.0010000000474974513,6421,1244.93310546875,0.5009554624557495,,,
38,,6449,,,0.9867308139801025,,
38,,6499,,,0.9792982339859009,,
38,,6549,,,0.9332608580589294,,
38,,6590,,,,0.5094630718231201,0.9649901986122131
38,0.0010000000474974513,6590,1277.2548828125,0.5027298927307129,,,
39,,6599,,,0.951610267162323,,
39,,6649,,,0.9912980794906616,,
39,,6699,,,0.9578226208686829,,
39,,6749,,,0.9655247926712036,,
39,,6759,,,,0.5110897421836853,0.9641042947769165
39,0.0010000000474974513,6759,1308.55224609375,0.5044506788253784,,,
40,,6799,,,0.9868599772453308,,
40,,6849,,,0.9787173271179199,,
40,,6899,,,0.9797846078872681,,
40,,6928,,,,0.5126225352287292,0.9696899652481079
40,0.0010000000474974513,6928,1340.6669921875,0.5061119198799133,,,
41,,6949,,,0.9924947023391724,,
41,,6999,,,0.9585303664207458,,
41,,7049,,,0.9814195036888123,,
41,,7097,,,,0.514048159122467,0.9722431302070618
41,0.0010000000474974513,7097,1372.8992919921875,0.5077223181724548,,,
42,,7099,,,0.9513291716575623,,
42,,7149,,,0.9842920899391174,,
42,,7199,,,0.9582861661911011,,
42,,7249,,,0.9559667706489563,,
42,,7266,,,,0.5154223442077637,0.9651638865470886
42,0.0010000000474974513,7266,1404.60400390625,0.5092876553535461,,,
43,,7299,,,0.9355738162994385,,
43,,7349,,,0.9904397130012512,,
43,,7399,,,0.9520868062973022,,
43,,7435,,,,0.5168092846870422,0.9560962319374084
43,0.0010000000474974513,7435,1436.1236572265625,0.5108016729354858,,,
44,,7449,,,0.943644642829895,,
44,,7499,,,0.9787346720695496,,
44,,7549,,,0.9698811769485474,,
44,,7599,,,0.9956918358802795,,
44,,7604,,,,0.518193244934082,0.9560269713401794
44,0.0010000000474974513,7604,1468.22607421875,0.5122755765914917,,,
45,,7649,,,0.9516910910606384,,
45,,7699,,,0.9420530200004578,,
45,,7749,,,0.9641944169998169,,
45,,7773,,,,0.5195291638374329,0.9534897208213806
45,0.0010000000474974513,7773,1500.115966796875,0.5137166976928711,,,
46,,7799,,,0.960759162902832,,
46,,7849,,,0.957989513874054,,
46,,7899,,,0.9726318120956421,,
46,,7942,,,,0.5208304524421692,0.9501019716262817
46,0.0010000000474974513,7942,1530.739501953125,0.5151035785675049,,,
47,,7949,,,0.9314589500427246,,
47,,7999,,,0.9602413177490234,,
47,,8049,,,0.9682190418243408,,
47,,8099,,,0.9520815014839172,,
47,,8111,,,,0.5221316814422607,0.9479950666427612
47,0.0010000000474974513,8111,1562.614990234375,0.5164734721183777,,,
48,,8149,,,0.9377154111862183,,
48,,8199,,,0.9308654069900513,,
48,,8249,,,0.9586746096611023,,
48,,8280,,,,0.5234185457229614,0.9418123960494995
48,0.0010000000474974513,8280,1594.622802734375,0.5178041458129883,,,
49,,8299,,,0.9411952495574951,,
49,,8349,,,0.9423201084136963,,
49,,8399,,,0.9357175230979919,,
49,,8449,,,0.9325098395347595,,
49,,8449,,,,0.524669885635376,0.9418851137161255
49,0.0010000000474974513,8449,1623.19287109375,0.5191208720207214,,,
50,,8499,,,0.9588495492935181,,
50,,8549,,,0.9465978145599365,,
50,,8599,,,0.9403772354125977,,
50,,8618,,,,0.5259234309196472,0.9395560026168823
50,0.0010000000474974513,8618,1654.73046875,0.5204352140426636,,,
51,,8649,,,0.9546468257904053,,
51,,8699,,,0.9650685787200928,,
51,,8749,,,0.9316282868385315,,
51,,8787,,,,0.5271555185317993,0.941380500793457
51,0.0010000000474974513,8787,1686.73828125,0.5217360258102417,,,
52,,8799,,,0.9248994588851929,,
52,,8849,,,0.9365600347518921,,
52,,8899,,,0.9472639560699463,,
52,,8949,,,0.9204972386360168,,
52,,8956,,,,0.5283410549163818,0.9413400888442993
52,0.0010000000474974513,8956,1718.6123046875,0.5230430960655212,,,
53,,8999,,,0.9767802357673645,,
53,,9049,,,0.9565951824188232,,
53,,9099,,,0.9590363502502441,,
53,,9125,,,,0.5295030474662781,0.9410825967788696
53,0.0010000000474974513,9125,1750.7469482421875,0.5243541598320007,,,
54,,9149,,,0.9453724026679993,,
54,,9199,,,0.9333032369613647,,
54,,9249,,,0.9250052571296692,,
54,,9294,,,,0.5306800603866577,0.9311026930809021
54,0.0010000000474974513,9294,1783.196533203125,0.5256251692771912,,,
55,,9299,,,0.9403576254844666,,
55,,9349,,,0.9344866871833801,,
55,,9399,,,0.9402238726615906,,
55,,9449,,,0.9272106885910034,,
55,,9463,,,,0.5318604111671448,0.9306022524833679
55,0.0010000000474974513,9463,1815.227294921875,0.5269127488136292,,,
56,,9499,,,0.926330029964447,,
56,,9549,,,0.9195407629013062,,
56,,9599,,,0.9356494545936584,,
56,,9632,,,,0.5330204367637634,0.9265890717506409
56,0.0010000000474974513,9632,1847.09765625,0.5281542539596558,,,
57,,9649,,,0.9123961925506592,,
57,,9699,,,0.9281254410743713,,
57,,9749,,,0.9453756809234619,,
57,,9799,,,0.9583909511566162,,
57,,9801,,,,0.5342223644256592,0.9208177328109741
57,0.0010000000474974513,9801,1878.7767333984375,0.5293839573860168,,,
58,,9849,,,0.9206272959709167,,
58,,9899,,,0.9268402457237244,,
58,,9949,,,0.8973605036735535,,
58,,9970,,,,0.5354102849960327,0.9242449998855591
58,0.0010000000474974513,9970,1910.06494140625,0.5306066274642944,,,
59,,9999,,,0.9181855916976929,,
59,,10049,,,0.9192003607749939,,
59,,10099,,,0.9498988389968872,,
59,,10139,,,,0.5365707278251648,0.9169119596481323
59,0.0010000000474974513,10139,1942.796875,0.53184574842453,,,
60,,10149,,,0.894152820110321,,
60,,10199,,,0.9306899905204773,,
60,,10249,,,0.9120520949363708,,
60,,10299,,,0.9024443626403809,,
60,,10308,,,,0.5376958847045898,0.9194677472114563
60,0.0010000000474974513,10308,1975.396728515625,0.5330867171287537,,,
61,,10349,,,0.898094117641449,,
61,,10399,,,0.9297134280204773,,
61,,10449,,,0.9232983589172363,,
61,,10477,,,,0.5388045907020569,0.9132702350616455
61,0.0010000000474974513,10477,2007.457763671875,0.5343098044395447,,,
62,,10499,,,0.9087738394737244,,
62,,10549,,,0.8983941078186035,,
62,,10599,,,0.9114456176757812,,
62,,10646,,,,0.5399231314659119,0.91702800989151
62,0.0010000000474974513,10646,2039.572509765625,0.5355114936828613,,,
63,,10649,,,0.9133222699165344,,
63,,10699,,,0.8845965266227722,,
63,,10749,,,0.9195955395698547,,
63,,10799,,,0.9062902927398682,,
63,,10815,,,,0.541038453578949,0.9098080396652222
63,0.0010000000474974513,10815,2072.006591796875,0.5367281436920166,,,
64,,10849,,,0.918429970741272,,
64,,10899,,,0.9192028641700745,,
64,,10949,,,0.8968979120254517,,
64,,10984,,,,0.5420820116996765,0.9257727861404419
64,0.0010000000474974513,10984,2104.0283203125,0.5379217863082886,,,
65,,10999,,,0.9213224649429321,,
65,,11049,,,0.9335469007492065,,
65,,11099,,,0.9161273241043091,,
65,,11149,,,0.8974347114562988,,
65,,11153,,,,0.5431246161460876,0.9002325534820557
65,0.0010000000474974513,11153,2134.7275390625,0.539093017578125,,,
66,,11199,,,0.8831576108932495,,
66,,11249,,,0.8920031785964966,,
66,,11299,,,0.8999356627464294,,
66,,11322,,,,0.5442522168159485,0.9026079773902893
66,0.0010000000474974513,11322,2166.5634765625,0.5402655005455017,,,
67,,11349,,,0.9258289337158203,,
67,,11399,,,0.890781044960022,,
67,,11449,,,0.8858317136764526,,
67,,11491,,,,0.5453410744667053,0.9029890894889832
67,0.0010000000474974513,11491,2198.726806640625,0.5414141416549683,,,
68,,11499,,,0.9031153321266174,,
68,,11549,,,0.899050235748291,,
68,,11599,,,0.9136028289794922,,
68,,11649,,,0.9172017574310303,,
68,,11660,,,,0.5463768839836121,0.898547351360321
68,0.0010000000474974513,11660,2227.3701171875,0.5425174832344055,,,
69,,11699,,,0.9039815068244934,,
69,,11749,,,0.8840467929840088,,
69,,11799,,,0.9017324447631836,,
69,,11829,,,,0.5473650097846985,0.9014556407928467
69,0.0010000000474974513,11829,2258.974365234375,0.5436670780181885,,,
70,,11849,,,0.8996890187263489,,
70,,11899,,,0.9174685478210449,,
70,,11949,,,0.8914443850517273,,
70,,11998,,,,0.5484130382537842,0.8838391900062561
70,0.0010000000474974513,11998,2290.96044921875,0.5447877049446106,,,
71,,11999,,,0.8725102543830872,,
71,,12049,,,0.880696177482605,,
71,,12099,,,0.8810670375823975,,
71,,12149,,,0.8956921100616455,,
71,,12167,,,,0.5495277047157288,0.8885109424591064
71,0.0010000000474974513,12167,2322.770751953125,0.5459327697753906,,,
72,,12199,,,0.9156032204627991,,
72,,12249,,,0.913838267326355,,
72,,12299,,,0.8888439536094666,,
72,,12336,,,,0.5506517291069031,0.8813660144805908
72,0.0010000000474974513,12336,2354.9755859375,0.5470635294914246,,,
73,,12349,,,0.8709052205085754,,
73,,12399,,,0.8905744552612305,,
73,,12449,,,0.8863356113433838,,
73,,12499,,,0.8639624714851379,,
73,,12505,,,,0.5517677664756775,0.8764912486076355
73,0.0010000000474974513,12505,2387.33642578125,0.5482083559036255,,,
74,,12549,,,0.8718819618225098,,
74,,12599,,,0.8722490072250366,,
74,,12649,,,0.8708125948905945,,
74,,12674,,,,0.5528050065040588,0.8893389105796814
74,0.0010000000474974513,12674,2419.326171875,0.5493416786193848,,,
75,,12699,,,0.869964599609375,,
75,,12749,,,0.8931120038032532,,
75,,12799,,,0.8740864992141724,,
75,,12843,,,,0.5538800954818726,0.8700084090232849
75,0.0010000000474974513,12843,2450.951171875,0.5504855513572693,,,
76,,12849,,,0.8925212621688843,,
76,,12899,,,0.882395327091217,,
76,,12949,,,0.8669700622558594,,
76,,12999,,,0.8915567994117737,,
76,,13012,,,,0.5549530982971191,0.8896761536598206
76,0.0010000000474974513,13012,2482.76904296875,0.551617443561554,,,
77,,13049,,,0.877769410610199,,
77,,13099,,,0.8861061334609985,,
77,,13149,,,0.8536190390586853,,
77,,13181,,,,0.556036651134491,0.8675398826599121
77,0.0010000000474974513,13181,2513.951416015625,0.5527451634407043,,,
78,,13199,,,0.8651484847068787,,
78,,13249,,,0.8937134146690369,,
78,,13299,,,0.8521755933761597,,
78,,13349,,,0.8523445725440979,,
78,,13350,,,,0.5571542382240295,0.8738089799880981
78,0.0010000000474974513,13350,2546.15380859375,0.5538749098777771,,,
79,,13399,,,0.8671929240226746,,
79,,13449,,,0.846685528755188,,
79,,13499,,,0.8874214887619019,,
79,,13519,,,,0.5582067966461182,0.8713344931602478
79,0.0010000000474974513,13519,2578.6669921875,0.55498206615448,,,
80,,13549,,,0.8665969371795654,,
80,,13599,,,0.874348521232605,,
80,,13649,,,0.9005665183067322,,
80,,13688,,,,0.5592767000198364,0.8620713353157043
80,0.0010000000474974513,13688,2610.50927734375,0.556083619594574,,,
81,,13699,,,0.8356216549873352,,
81,,13749,,,0.8815098404884338,,
81,,13799,,,0.8537542223930359,,
81,,13849,,,0.8791816234588623,,
81,,13857,,,,0.5603134036064148,0.8653444647789001
81,0.0010000000474974513,13857,2642.37060546875,0.5571712851524353,,,
82,,13899,,,0.8254703283309937,,
82,,13949,,,0.8718734979629517,,
82,,13999,,,0.8864274024963379,,
82,,14026,,,,0.5613420605659485,0.8573006987571716
82,0.0010000000474974513,14026,2674.8310546875,0.5582467317581177,,,
83,,14049,,,0.8545136451721191,,
83,,14099,,,0.8724697232246399,,
83,,14149,,,0.8601191639900208,,
83,,14195,,,,0.5623599886894226,0.8652206063270569
83,0.0010000000474974513,14195,2707.05859375,0.5593130588531494,,,
84,,14199,,,0.8574704527854919,,
84,,14249,,,0.8480293154716492,,
84,,14299,,,0.8957653641700745,,
84,,14349,,,0.8478482365608215,,
84,,14364,,,,0.563340425491333,0.8641917109489441
84,0.0010000000474974513,14364,2738.08349609375,0.5603699684143066,,,
85,,14399,,,0.8600083589553833,,
85,,14449,,,0.8439105749130249,,
85,,14499,,,0.8582687377929688,,
