epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5650384426116943,,
0,,99,,,2.358447790145874,,
0,,149,,,2.087644577026367,,
0,,168,,,,0.15904361009597778,2.0381767749786377
0,0.0010000000474974513,168,34.24177932739258,0.11229580640792847,,,
1,,199,,,2.012489080429077,,
1,,249,,,1.7173041105270386,,
1,,299,,,1.5266106128692627,,
1,,337,,,,0.22355608642101288,1.5294485092163086
1,0.0010000000474974513,337,66.0218276977539,0.18847426772117615,,,
2,,349,,,1.4840389490127563,,
2,,399,,,1.4790483713150024,,
2,,449,,,1.4545239210128784,,
2,,499,,,1.4639307260513306,,
2,,506,,,,0.2780771553516388,1.465320110321045
2,0.0010000000474974513,506,95.79352569580078,0.24443992972373962,,,
3,,549,,,1.4535530805587769,,
3,,599,,,1.414900541305542,,
3,,649,,,1.3954020738601685,,
3,,675,,,,0.3063298761844635,1.400490641593933
3,0.0010000000474974513,675,126.51797485351562,0.2776302695274353,,,
4,,699,,,1.4050027132034302,,
4,,749,,,1.3732340335845947,,
4,,799,,,1.3479026556015015,,
4,,844,,,,0.32843562960624695,1.3124351501464844
4,0.0010000000474974513,844,157.2197265625,0.3018827438354492,,,
5,,849,,,1.3308861255645752,,
5,,899,,,1.301657795906067,,
5,,949,,,1.27892005443573,,
5,,999,,,1.251914620399475,,
5,,1013,,,,0.34644633531570435,1.2884001731872559
5,0.0010000000474974513,1013,187.67372131347656,0.322833776473999,,,
6,,1049,,,1.290374755859375,,
6,,1099,,,1.271557092666626,,
6,,1149,,,1.2375845909118652,,
6,,1182,,,,0.3604872524738312,1.2546883821487427
6,0.0010000000474974513,1182,218.30758666992188,0.33884525299072266,,,
7,,1199,,,1.2576777935028076,,
7,,1249,,,1.2342569828033447,,
7,,1299,,,1.260830283164978,,
7,,1349,,,1.2388195991516113,,
7,,1351,,,,0.3715065121650696,1.246565580368042
7,0.0010000000474974513,1351,247.98049926757812,0.351531445980072,,,
8,,1399,,,1.2485445737838745,,
8,,1449,,,1.2515486478805542,,
8,,1499,,,1.23456871509552,,
8,,1520,,,,0.37981918454170227,1.2474982738494873
8,0.0010000000474974513,1520,277.6372985839844,0.3617574870586395,,,
9,,1549,,,1.2751199007034302,,
9,,1599,,,1.246899962425232,,
9,,1649,,,1.236595869064331,,
9,,1689,,,,0.386666864156723,1.2338519096374512
9,0.0010000000474974513,1689,310.6339416503906,0.37021955847740173,,,
10,,1699,,,1.202128291130066,,
10,,1749,,,1.2191082239151,,
10,,1799,,,1.2387948036193848,,
10,,1849,,,1.2382097244262695,,
10,,1858,,,,0.3925359845161438,1.2347006797790527
10,0.0010000000474974513,1858,339.4443359375,0.37745100259780884,,,
