epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.1812503337860107,,
0,,99,,,2.045072555541992,,
0,,149,,,1.9051191806793213,,
0,,168,,,,0.26727691292762756,1.6736583709716797
0,0.0010000000474974513,168,35.3172607421875,0.1685340702533722,,,
1,,199,,,1.6053001880645752,,
1,,249,,,1.5761958360671997,,
1,,299,,,1.4509189128875732,,
1,,337,,,,0.31028372049331665,1.4642422199249268
1,0.0010000000474974513,337,71.026611328125,0.25430524349212646,,,
2,,349,,,1.4930121898651123,,
2,,399,,,1.452040195465088,,
2,,449,,,1.455627202987671,,
2,,499,,,1.4444857835769653,,
2,,506,,,,0.33487457036972046,1.4242351055145264
2,0.0010000000474974513,506,103.31788635253906,0.2922041416168213,,,
3,,549,,,1.3922991752624512,,
3,,599,,,1.3359280824661255,,
3,,649,,,1.2997362613677979,,
3,,675,,,,0.3549012243747711,1.2949765920639038
3,0.0010000000474974513,675,135.90829467773438,0.31954333186149597,,,
4,,699,,,1.2948044538497925,,
4,,749,,,1.2623777389526367,,
4,,799,,,1.2744027376174927,,
4,,844,,,,0.3726664185523987,1.2702255249023438
4,0.0010000000474974513,844,168.0716552734375,0.3425884246826172,,,
5,,849,,,1.276316523551941,,
5,,899,,,1.2559609413146973,,
5,,949,,,1.2702735662460327,,
5,,999,,,1.2577863931655884,,
5,,1013,,,,0.3857325315475464,1.2519742250442505
5,0.0010000000474974513,1013,200.2388916015625,0.3590289354324341,,,
6,,1049,,,1.2511622905731201,,
6,,1099,,,1.224853515625,,
6,,1149,,,1.2312211990356445,,
6,,1182,,,,0.3955286145210266,1.2440117597579956
6,0.0010000000474974513,1182,232.95547485351562,0.37148261070251465,,,
7,,1199,,,1.2134382724761963,,
7,,1249,,,1.239951729774475,,
7,,1299,,,1.247129201889038,,
7,,1349,,,1.2669761180877686,,
7,,1351,,,,0.40294817090034485,1.2355637550354004
7,0.0010000000474974513,1351,264.2041931152344,0.38125181198120117,,,
8,,1399,,,1.2280442714691162,,
8,,1449,,,1.210528016090393,,
8,,1499,,,1.2312039136886597,,
8,,1520,,,,0.40902209281921387,1.2317774295806885
8,0.0010000000474974513,1520,295.42474365234375,0.38928765058517456,,,
9,,1549,,,1.228718638420105,,
9,,1599,,,1.2191210985183716,,
9,,1649,,,1.224596381187439,,
9,,1689,,,,0.4143390655517578,1.2184617519378662
9,0.0010000000474974513,1689,327.3160400390625,0.39595067501068115,,,
10,,1699,,,1.2216708660125732,,
10,,1749,,,1.2176753282546997,,
10,,1799,,,1.2337788343429565,,
10,,1849,,,1.220509648323059,,
10,,1858,,,,0.41894957423210144,1.2106425762176514
10,0.0010000000474974513,1858,357.75213623046875,0.40180400013923645,,,
11,,1899,,,1.1878182888031006,,
11,,1949,,,1.2288676500320435,,
11,,1999,,,1.2109664678573608,,
11,,2027,,,,0.42254742980003357,1.2258191108703613
11,0.0010000000474974513,2027,390.02740478515625,0.406854510307312,,,
12,,2049,,,1.2026726007461548,,
12,,2099,,,1.2167545557022095,,
12,,2149,,,1.2150944471359253,,
12,,2196,,,,0.4258193373680115,1.2006250619888306
12,0.0010000000474974513,2196,421.07666015625,0.41131797432899475,,,
13,,2199,,,1.2012733221054077,,
13,,2249,,,1.1937212944030762,,
13,,2299,,,1.2062777280807495,,
13,,2349,,,1.1857502460479736,,
13,,2365,,,,0.42915141582489014,1.1918669939041138
13,0.0010000000474974513,2365,452.82049560546875,0.41541194915771484,,,
14,,2399,,,1.2045764923095703,,
14,,2449,,,1.1920835971832275,,
14,,2499,,,1.185411810874939,,
14,,2534,,,,0.4321945607662201,1.1891310214996338
14,0.0010000000474974513,2534,484.4498291015625,0.4191572070121765,,,
15,,2549,,,1.1786330938339233,,
15,,2599,,,1.194734811782837,,
15,,2649,,,1.199586272239685,,
15,,2699,,,1.193280816078186,,
15,,2703,,,,0.43497800827026367,1.1761744022369385
15,0.0010000000474974513,2703,516.690673828125,0.42255571484565735,,,
16,,2749,,,1.1480275392532349,,
16,,2799,,,1.1710422039031982,,
16,,2849,,,1.1770341396331787,,
16,,2872,,,,0.437671035528183,1.1741703748703003
16,0.0010000000474974513,2872,549.1796264648438,0.4257107675075531,,,
17,,2899,,,1.1761806011199951,,
17,,2949,,,1.1455432176589966,,
17,,2999,,,1.1581717729568481,,
17,,3041,,,,0.44019246101379395,1.166268229484558
17,0.0010000000474974513,3041,581.0653076171875,0.4287418723106384,,,
18,,3049,,,1.1753534078598022,,
18,,3099,,,1.205403208732605,,
18,,3149,,,1.1541757583618164,,
18,,3199,,,1.1136740446090698,,
18,,3210,,,,0.44303977489471436,1.1280913352966309
18,0.0010000000474974513,3210,612.715576171875,0.43198761343955994,,,
19,,3249,,,1.1196128129959106,,
19,,3299,,,1.1220420598983765,,
19,,3349,,,1.088908076286316,,
19,,3379,,,,0.44638603925704956,1.1014151573181152
19,0.0010000000474974513,3379,644.4190063476562,0.4358215928077698,,,
20,,3399,,,1.105774998664856,,
20,,3449,,,1.0964301824569702,,
20,,3499,,,1.092847228050232,,
20,,3548,,,,0.44980308413505554,1.0929926633834839
20,0.0010000000474974513,3548,675.5194702148438,0.43966788053512573,,,
21,,3549,,,1.0888948440551758,,
21,,3599,,,1.1005948781967163,,
21,,3649,,,1.068056583404541,,
21,,3699,,,1.0946502685546875,,
21,,3717,,,,0.45319172739982605,1.0793330669403076
21,0.0010000000474974513,3717,707.7750244140625,0.443480521440506,,,
22,,3749,,,1.0710681676864624,,
22,,3799,,,1.065464735031128,,
22,,3849,,,1.0818822383880615,,
22,,3886,,,,0.4564839005470276,1.0787899494171143
22,0.0010000000474974513,3886,740.3895874023438,0.44714826345443726,,,
23,,3899,,,1.066478967666626,,
23,,3949,,,1.0828608274459839,,
23,,3999,,,1.057288408279419,,
23,,4049,,,1.0579572916030884,,
23,,4055,,,,0.45978057384490967,1.0511881113052368
23,0.0010000000474974513,4055,772.2174072265625,0.45078977942466736,,,
24,,4099,,,1.072749376296997,,
24,,4149,,,1.05237877368927,,
24,,4199,,,1.0474246740341187,,
24,,4224,,,,0.4630701541900635,1.0445526838302612
24,0.0010000000474974513,4224,803.8698120117188,0.45429527759552,,,
25,,4249,,,1.0510376691818237,,
25,,4299,,,1.0301530361175537,,
25,,4349,,,1.058605670928955,,
25,,4393,,,,0.46621590852737427,1.0398789644241333
25,0.0010000000474974513,4393,835.9786376953125,0.4576721489429474,,,
26,,4399,,,1.0401875972747803,,
26,,4449,,,1.0453276634216309,,
26,,4499,,,1.0381866693496704,,
26,,4549,,,1.0369701385498047,,
26,,4562,,,,0.46914124488830566,1.0443590879440308
26,0.0010000000474974513,4562,868.4373168945312,0.4609392583370209,,,
27,,4599,,,1.047838568687439,,
27,,4649,,,1.032142162322998,,
27,,4699,,,1.025480031967163,,
27,,4731,,,,0.4719066321849823,1.029581069946289
27,0.0010000000474974513,4731,898.9796142578125,0.46406230330467224,,,
28,,4749,,,1.0168651342391968,,
28,,4799,,,1.032668948173523,,
28,,4849,,,1.0378187894821167,,
28,,4899,,,1.0250475406646729,,
28,,4900,,,,0.47456488013267517,1.0329331159591675
28,0.0010000000474974513,4900,930.661865234375,0.46701791882514954,,,
29,,4949,,,1.0161747932434082,,
29,,4999,,,1.0258264541625977,,
29,,5049,,,1.0298751592636108,,
29,,5069,,,,0.477169930934906,1.0129332542419434
29,0.0010000000474974513,5069,962.771240234375,0.4698730707168579,,,
30,,5099,,,0.9962576627731323,,
30,,5149,,,1.009614109992981,,
30,,5199,,,1.0182703733444214,,
30,,5238,,,,0.4797727167606354,1.007381796836853
30,0.0010000000474974513,5238,990.5967407226562,0.4725815951824188,,,
31,,5249,,,1.0165117979049683,,
31,,5299,,,1.040497899055481,,
31,,5349,,,0.9955140948295593,,
31,,5399,,,1.0016385316848755,,
31,,5407,,,,0.48225533962249756,1.0037310123443604
