epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.565023422241211,,
0,,99,,,2.565054178237915,,
0,,149,,,2.565131425857544,,
0,,168,,,,0.07769933342933655,2.564969539642334
0,0.0010000000474974513,168,33.272605895996094,0.07713280618190765,,,
1,,199,,,2.564945697784424,,
1,,249,,,2.5648930072784424,,
1,,299,,,2.565082311630249,,
1,,337,,,,0.07756878435611725,2.5649607181549072
1,0.0010000000474974513,337,62.5467529296875,0.07700604200363159,,,
2,,349,,,2.56546688079834,,
2,,399,,,2.5649752616882324,,
2,,449,,,2.565106153488159,,
2,,499,,,2.564990282058716,,
2,,506,,,,0.07738115638494492,2.5649728775024414
2,0.0010000000474974513,506,107.35639190673828,0.07700109481811523,,,
3,,549,,,2.5649914741516113,,
3,,599,,,2.564997911453247,,
3,,649,,,2.5650572776794434,,
3,,675,,,,0.07733374089002609,2.5649924278259277
3,0.0010000000474974513,675,157.16275024414062,0.0769476443529129,,,
4,,699,,,2.564861297607422,,
4,,749,,,2.5650858879089355,,
4,,799,,,2.5649664402008057,,
4,,844,,,,0.077172189950943,2.564958333969116
4,0.0010000000474974513,844,192.10696411132812,0.07693549245595932,,,
5,,849,,,2.5650858879089355,,
5,,899,,,2.564925193786621,,
5,,949,,,2.5648863315582275,,
5,,999,,,2.5649330615997314,,
5,,1013,,,,0.07714378088712692,2.5649638175964355
5,0.0010000000474974513,1013,227.55738830566406,0.07689359039068222,,,
6,,1049,,,2.5649936199188232,,
6,,1099,,,2.564929962158203,,
6,,1149,,,2.564941644668579,,
6,,1182,,,,0.07707928121089935,2.5649776458740234
6,0.0010000000474974513,1182,266.862060546875,0.07688698917627335,,,
7,,1199,,,2.5649101734161377,,
7,,1249,,,2.5650360584259033,,
7,,1299,,,2.5650506019592285,,
7,,1349,,,2.5648558139801025,,
7,,1351,,,,0.07701510190963745,2.564955234527588
7,0.0010000000474974513,1351,301.9085388183594,0.07689222693443298,,,
