epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.2316946983337402,,
0,,99,,,2.0638504028320312,,
0,,149,,,1.943326711654663,,
0,,168,,,,0.09265366941690445,2.569679021835327
0,0.0010000000474974513,168,43.16811752319336,0.1363568902015686,,,
1,,199,,,2.071770668029785,,
1,,249,,,1.9465899467468262,,
1,,299,,,1.5869263410568237,,
1,,337,,,,0.16950607299804688,1.5304921865463257
1,0.0010000000474974513,337,82.34628295898438,0.19139398634433746,,,
2,,349,,,1.545954942703247,,
2,,399,,,1.5162177085876465,,
2,,449,,,1.4992092847824097,,
2,,499,,,1.4771263599395752,,
2,,506,,,,0.2413116842508316,1.471203088760376
2,0.0010000000474974513,506,116.75874328613281,0.2396538406610489,,,
3,,549,,,1.478657841682434,,
3,,599,,,1.4980030059814453,,
3,,649,,,1.4765468835830688,,
3,,675,,,,0.2763109803199768,1.440231204032898
3,0.0010000000474974513,675,156.5963592529297,0.2690451443195343,,,
4,,699,,,1.4191714525222778,,
4,,749,,,1.405775547027588,,
4,,799,,,1.4308663606643677,,
4,,844,,,,0.2995922267436981,1.4074599742889404
4,0.0010000000474974513,844,191.1962890625,0.29142916202545166,,,
5,,849,,,1.4235183000564575,,
5,,899,,,1.4050756692886353,,
5,,949,,,1.3703672885894775,,
5,,999,,,1.3467084169387817,,
5,,1013,,,,0.31839510798454285,1.3274489641189575
5,0.0010000000474974513,1013,230.4486846923828,0.3095746636390686,,,
6,,1049,,,1.3247846364974976,,
6,,1099,,,1.2537055015563965,,
6,,1149,,,1.2655502557754517,,
6,,1182,,,,0.3354418873786926,1.2697503566741943
6,0.0010000000474974513,1182,268.9888916015625,0.3276202976703644,,,
7,,1199,,,1.2690521478652954,,
7,,1249,,,1.2623975276947021,,
7,,1299,,,1.2675758600234985,,
7,,1349,,,1.2430648803710938,,
7,,1351,,,,0.34992489218711853,1.2517201900482178
7,0.0010000000474974513,1351,303.9867858886719,0.34212860465049744,,,
8,,1399,,,1.2310261726379395,,
8,,1449,,,1.2329633235931396,,
8,,1499,,,1.2555915117263794,,
8,,1520,,,,0.36167848110198975,1.2337303161621094
8,0.0010000000474974513,1520,337.7301025390625,0.35381844639778137,,,
9,,1549,,,1.2398266792297363,,
9,,1599,,,1.223767876625061,,
9,,1649,,,1.218721628189087,,
9,,1689,,,,0.37138012051582336,1.2267546653747559
9,0.0010000000474974513,1689,376.5677490234375,0.3635663688182831,,,
10,,1699,,,1.2373192310333252,,
10,,1749,,,1.251834511756897,,
10,,1799,,,1.2143887281417847,,
10,,1849,,,1.2379021644592285,,
10,,1858,,,,0.3794623911380768,1.220145344734192
10,0.0010000000474974513,1858,411.2662353515625,0.37182870507240295,,,
11,,1899,,,1.2441169023513794,,
11,,1949,,,1.229499340057373,,
11,,1999,,,1.2376513481140137,,
11,,2027,,,,0.3862784206867218,1.2176134586334229
11,0.0010000000474974513,2027,445.923583984375,0.3789885938167572,,,
12,,2049,,,1.2291316986083984,,
12,,2099,,,1.1994136571884155,,
12,,2149,,,1.1900115013122559,,
12,,2196,,,,0.3923724293708801,1.2060637474060059
12,0.0010000000474974513,2196,480.95477294921875,0.3853321373462677,,,
13,,2199,,,1.2240573167800903,,
13,,2249,,,1.209803819656372,,
13,,2299,,,1.2200148105621338,,
13,,2349,,,1.1904269456863403,,
13,,2365,,,,0.3976123034954071,1.2182492017745972
13,0.0010000000474974513,2365,514.6734619140625,0.3909898102283478,,,
14,,2399,,,1.2141464948654175,,
14,,2449,,,1.2101471424102783,,
14,,2499,,,1.2052831649780273,,
14,,2534,,,,0.40237873792648315,1.1868759393692017
14,0.0010000000474974513,2534,548.8965454101562,0.39612963795661926,,,
15,,2549,,,1.194048285484314,,
15,,2599,,,1.1936759948730469,,
15,,2649,,,1.180113434791565,,
15,,2699,,,1.1821739673614502,,
15,,2703,,,,0.40703442692756653,1.1846446990966797
15,0.0010000000474974513,2703,582.9130249023438,0.40081629157066345,,,
16,,2749,,,1.1886874437332153,,
16,,2799,,,1.1885262727737427,,
16,,2849,,,1.199560284614563,,
16,,2872,,,,0.4112142324447632,1.181321620941162
16,0.0010000000474974513,2872,617.8241577148438,0.405133992433548,,,
17,,2899,,,1.1789945363998413,,
