epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.0693359375,2.56504225730896,,,
,,0,,,,,,0.0615234375,
,,1,,,,,,0.0830078125,
,,2,,,,,,0.0791015625,
,,3,,,,,,0.0634765625,
,,4,,,,,,0.0693359375,
,,5,,,,,,0.0947265625,
,,6,,,,,,0.076171875,
,,7,,,,,,0.0810546875,
,,8,,,,,,0.0927734375,
,,9,,,,,,0.0830078125,
,,10,,,,,,0.0703125,
,,11,,,,,,0.0888671875,
,,12,,,,,,0.08984375,
,,13,,,,,,0.0693359375,
,,14,,,,,,0.0732421875,
,,15,,,,,,0.0849609375,
,,16,,,,,,0.0712890625,
,,17,,,,,,0.0810546875,
,,18,,,,,,0.07421875,
,,19,,,,,,0.0791015625,
,,20,,,,,,0.0791015625,
,,21,,,,,,0.0927734375,
,,22,,,,,,0.076171875,
,,23,,,,,,0.06635071337223053,
0,,92,,,,,0.07742077857255936,,2.565044403076172
0,0.0010000000474974513,92,9.1678466796875,0.07688503712415695,,,,,
1,,99,,,0.076171875,2.5653607845306396,,,
1,,149,,,0.0810546875,2.564227342605591,,,
,,24,,,,,,0.083984375,
,,25,,,,,,0.0771484375,
,,26,,,,,,0.083984375,
,,27,,,,,,0.08984375,
,,28,,,,,,0.0751953125,
,,29,,,,,,0.08203125,
,,30,,,,,,0.078125,
,,31,,,,,,0.0693359375,
,,32,,,,,,0.0859375,
,,33,,,,,,0.080078125,
,,34,,,,,,0.0927734375,
,,35,,,,,,0.076171875,
,,36,,,,,,0.080078125,
,,37,,,,,,0.08984375,
,,38,,,,,,0.0693359375,
,,39,,,,,,0.0791015625,
,,40,,,,,,0.08203125,
,,41,,,,,,0.0869140625,
,,42,,,,,,0.076171875,
,,43,,,,,,0.0771484375,
,,44,,,,,,0.078125,
,,45,,,,,,0.0703125,
,,46,,,,,,0.0751953125,
,,47,,,,,,0.11848340928554535,
1,,185,,,,,0.07803097367286682,,2.564998149871826
1,0.0010000000474974513,185,14.117588996887207,0.07705073803663254,,,,,
2,,199,,,0.064453125,2.56483793258667,,,
2,,249,,,0.0703125,2.5652644634246826,,,
,,48,,,,,,0.0673828125,
,,49,,,,,,0.0634765625,
,,50,,,,,,0.0712890625,
,,51,,,,,,0.0673828125,
,,52,,,,,,0.0791015625,
,,53,,,,,,0.0712890625,
,,54,,,,,,0.064453125,
,,55,,,,,,0.080078125,
,,56,,,,,,0.0771484375,
,,57,,,,,,0.080078125,
,,58,,,,,,0.06640625,
,,59,,,,,,0.0810546875,
,,60,,,,,,0.064453125,
,,61,,,,,,0.078125,
,,62,,,,,,0.060546875,
,,63,,,,,,0.0771484375,
,,64,,,,,,0.0791015625,
,,65,,,,,,0.0654296875,
,,66,,,,,,0.0751953125,
,,67,,,,,,0.0732421875,
,,68,,,,,,0.0703125,
,,69,,,,,,0.068359375,
,,70,,,,,,0.0771484375,
,,71,,,,,,0.09004739671945572,
2,,278,,,,,0.07526406645774841,,2.5650341510772705
2,0.0010000000474974513,278,19.08595085144043,0.07670355588197708,,,,,
3,,299,,,0.0771484375,2.5649008750915527,,,
3,,349,,,0.0732421875,2.565157175064087,,,
,,72,,,,,,0.078125,
,,73,,,,,,0.078125,
,,74,,,,,,0.0703125,
,,75,,,,,,0.0908203125,
,,76,,,,,,0.0712890625,
,,77,,,,,,0.0693359375,
,,78,,,,,,0.0693359375,
,,79,,,,,,0.07421875,
,,80,,,,,,0.0625,
,,81,,,,,,0.083984375,
,,82,,,,,,0.0712890625,
,,83,,,,,,0.0693359375,
,,84,,,,,,0.0849609375,
,,85,,,,,,0.07421875,
,,86,,,,,,0.078125,
,,87,,,,,,0.0751953125,
,,88,,,,,,0.076171875,
,,89,,,,,,0.0791015625,
,,90,,,,,,0.0751953125,
,,91,,,,,,0.07421875,
,,92,,,,,,0.0625,
,,93,,,,,,0.064453125,
,,94,,,,,,0.0966796875,
,,95,,,,,,0.09004739671945572,
3,,371,,,,,0.07633716613054276,,2.5649936199188232
3,0.0010000000474974513,371,24.029987335205078,0.07690345495939255,,,,,
4,,399,,,0.0625,2.5651988983154297,,,
4,,449,,,0.0810546875,2.56528639793396,,,
,,96,,,,,,0.0849609375,
,,97,,,,,,0.0751953125,
,,98,,,,,,0.095703125,
,,99,,,,,,0.091796875,
,,100,,,,,,0.080078125,
,,101,,,,,,0.0751953125,
,,102,,,,,,0.0869140625,
,,103,,,,,,0.0595703125,
,,104,,,,,,0.0712890625,
,,105,,,,,,0.0849609375,
,,106,,,,,,0.076171875,
,,107,,,,,,0.0771484375,
,,108,,,,,,0.0634765625,
,,109,,,,,,0.0791015625,
,,110,,,,,,0.076171875,
,,111,,,,,,0.0751953125,
,,112,,,,,,0.07421875,
,,113,,,,,,0.0830078125,
,,114,,,,,,0.06640625,
,,115,,,,,,0.0751953125,
,,116,,,,,,0.0751953125,
,,117,,,,,,0.0966796875,
,,118,,,,,,0.076171875,
,,119,,,,,,0.08530806005001068,
4,,464,,,,,0.07645288854837418,,2.5649755001068115
4,0.0010000000474974513,464,29.23168182373047,0.07664569467306137,,,,,
5,,499,,,0.080078125,2.565092086791992,,,
5,,549,,,0.064453125,2.5647265911102295,,,
,,120,,,,,,0.0771484375,
,,121,,,,,,0.068359375,
,,122,,,,,,0.068359375,
,,123,,,,,,0.0771484375,
,,124,,,,,,0.08203125,
,,125,,,,,,0.091796875,
,,126,,,,,,0.0732421875,
,,127,,,,,,0.080078125,
,,128,,,,,,0.076171875,
,,129,,,,,,0.076171875,
,,130,,,,,,0.0888671875,
,,131,,,,,,0.0703125,
,,132,,,,,,0.0751953125,
,,133,,,,,,0.076171875,
,,134,,,,,,0.0693359375,
,,135,,,,,,0.0771484375,
,,136,,,,,,0.06640625,
,,137,,,,,,0.0712890625,
,,138,,,,,,0.0732421875,
,,139,,,,,,0.0869140625,
,,140,,,,,,0.0830078125,
,,141,,,,,,0.08203125,
,,142,,,,,,0.0751953125,
,,143,,,,,,0.061611372977495193,
5,,557,,,,,0.07744181901216507,,2.564974546432495
5,0.0010000000474974513,557,34.27186584472656,0.07612492144107819,,,,,
6,,599,,,0.0869140625,2.5647635459899902,,,
6,,649,,,0.0791015625,2.564840078353882,,,
,,144,,,,,,0.0947265625,
,,145,,,,,,0.06640625,
,,146,,,,,,0.068359375,
,,147,,,,,,0.0751953125,
,,148,,,,,,0.0908203125,
,,149,,,,,,0.0703125,
,,150,,,,,,0.08203125,
,,151,,,,,,0.07421875,
,,152,,,,,,0.0673828125,
,,153,,,,,,0.052734375,
,,154,,,,,,0.080078125,
,,155,,,,,,0.0830078125,
,,156,,,,,,0.0810546875,
,,157,,,,,,0.07421875,
,,158,,,,,,0.08984375,
,,159,,,,,,0.076171875,
,,160,,,,,,0.0673828125,
,,161,,,,,,0.0869140625,
,,162,,,,,,0.0615234375,
,,163,,,,,,0.078125,
,,164,,,,,,0.08203125,
,,165,,,,,,0.0673828125,
,,166,,,,,,0.0712890625,
,,167,,,,,,0.061611372977495193,
6,,650,,,,,0.0765896588563919,,2.5650062561035156
6,0.0010000000474974513,650,39.20812225341797,0.07680613547563553,,,,,
7,,699,,,0.0693359375,2.565263509750366,,,
,,168,,,,,,0.0849609375,
,,169,,,,,,0.0751953125,
,,170,,,,,,0.095703125,
,,171,,,,,,0.091796875,
,,172,,,,,,0.080078125,
,,173,,,,,,0.0751953125,
,,174,,,,,,0.0869140625,
,,175,,,,,,0.0595703125,
,,176,,,,,,0.0712890625,
,,177,,,,,,0.0849609375,
,,178,,,,,,0.076171875,
,,179,,,,,,0.0771484375,
,,180,,,,,,0.0634765625,
,,181,,,,,,0.0791015625,
,,182,,,,,,0.076171875,
,,183,,,,,,0.0751953125,
,,184,,,,,,0.07421875,
,,185,,,,,,0.0830078125,
,,186,,,,,,0.06640625,
,,187,,,,,,0.0751953125,
,,188,,,,,,0.0751953125,
,,189,,,,,,0.0966796875,
,,190,,,,,,0.076171875,
,,191,,,,,,0.08530806005001068,
7,,743,,,,,0.07645288854837418,,2.565065860748291
7,0.0010000000474974513,743,44.32666015625,0.07697972655296326,,,,,
8,,749,,,0.0810546875,2.565335750579834,,,
8,,799,,,0.07421875,2.565096855163574,,,
,,192,,,,,,0.06640625,
,,193,,,,,,0.083984375,
,,194,,,,,,0.06640625,
,,195,,,,,,0.0712890625,
,,196,,,,,,0.0732421875,
,,197,,,,,,0.068359375,
,,198,,,,,,0.0751953125,
,,199,,,,,,0.087890625,
,,200,,,,,,0.0703125,
,,201,,,,,,0.0751953125,
,,202,,,,,,0.08203125,
,,203,,,,,,0.08203125,
,,204,,,,,,0.080078125,
,,205,,,,,,0.083984375,
,,206,,,,,,0.0625,
,,207,,,,,,0.07421875,
,,208,,,,,,0.080078125,
,,209,,,,,,0.083984375,
,,210,,,,,,0.0830078125,
,,211,,,,,,0.078125,
,,212,,,,,,0.0771484375,
,,213,,,,,,0.068359375,
,,214,,,,,,0.083984375,
,,215,,,,,,0.0758293867111206,
8,,836,,,,,0.07717880606651306,,2.564955234527588
8,0.0010000000474974513,836,49.401912689208984,0.0762590616941452,,,,,
9,,849,,,0.080078125,2.565182685852051,,,
9,,899,,,0.07421875,2.5648677349090576,,,
,,216,,,,,,0.06640625,
,,217,,,,,,0.083984375,
,,218,,,,,,0.06640625,
,,219,,,,,,0.0712890625,
,,220,,,,,,0.0732421875,
,,221,,,,,,0.068359375,
