epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.4943690299987793,,
0,,99,,,2.081573486328125,,
0,,149,,,2.01204252243042,,
0,,168,,,,0.22590786218643188,1.98210871219635
0,0.0010000000474974513,168,35.40961456298828,0.1449025273323059,,,
1,,199,,,1.7104568481445312,,
1,,249,,,1.5539253950119019,,
1,,299,,,1.5330384969711304,,
1,,337,,,,0.27797001600265503,1.474300742149353
1,0.0010000000474974513,337,67.89643859863281,0.23041728138923645,,,
2,,349,,,1.5071521997451782,,
2,,399,,,1.4669076204299927,,
2,,449,,,1.4806113243103027,,
2,,499,,,1.4457687139511108,,
2,,506,,,,0.3143255114555359,1.4353022575378418
2,0.0010000000474974513,506,100.42150115966797,0.27533620595932007,,,
3,,549,,,1.4192262887954712,,
3,,599,,,1.4385242462158203,,
3,,649,,,1.432452917098999,,
3,,675,,,,0.33340853452682495,1.412060260772705
3,0.0010000000474974513,675,132.30328369140625,0.30143284797668457,,,
4,,699,,,1.4141703844070435,,
4,,749,,,1.374476432800293,,
4,,799,,,1.343139886856079,,
4,,844,,,,0.35048890113830566,1.2943249940872192
4,0.0010000000474974513,844,164.60098266601562,0.32307958602905273,,,
5,,849,,,1.2970949411392212,,
5,,899,,,1.2791272401809692,,
5,,949,,,1.2673299312591553,,
5,,999,,,1.2760679721832275,,
5,,1013,,,,0.36643335223197937,1.2615066766738892
5,0.0010000000474974513,1013,196.98049926757812,0.34159624576568604,,,
6,,1049,,,1.2692272663116455,,
6,,1099,,,1.2534171342849731,,
6,,1149,,,1.253985047340393,,
6,,1182,,,,0.37845760583877563,1.247902750968933
6,0.0010000000474974513,1182,228.97531127929688,0.35574883222579956,,,
7,,1199,,,1.2356975078582764,,
7,,1249,,,1.2595083713531494,,
7,,1299,,,1.2658295631408691,,
7,,1349,,,1.247443437576294,,
7,,1351,,,,0.38793087005615234,1.240268588066101
7,0.0010000000474974513,1351,261.3025207519531,0.36698707938194275,,,
8,,1399,,,1.23516845703125,,
8,,1449,,,1.2380245923995972,,
8,,1499,,,1.2554105520248413,,
8,,1520,,,,0.39563608169555664,1.2329792976379395
8,0.0010000000474974513,1520,293.0129089355469,0.37625885009765625,,,
9,,1549,,,1.2223570346832275,,
9,,1599,,,1.2304677963256836,,
9,,1649,,,1.2460384368896484,,
9,,1689,,,,0.4018412232398987,1.2266075611114502
9,0.0010000000474974513,1689,329.33514404296875,0.3841135799884796,,,
10,,1699,,,1.224279522895813,,
10,,1749,,,1.1935350894927979,,
10,,1799,,,1.236507534980774,,
10,,1849,,,1.22374427318573,,
10,,1858,,,,0.4071790277957916,1.2190849781036377
10,0.0010000000474974513,1858,366.747314453125,0.39083558320999146,,,
11,,1899,,,1.2066984176635742,,
11,,1949,,,1.2236171960830688,,
11,,1999,,,1.2015931606292725,,
11,,2027,,,,0.41188177466392517,1.2014745473861694
11,0.0010000000474974513,2027,404.40606689453125,0.39674806594848633,,,
12,,2049,,,1.215559482574463,,
12,,2099,,,1.236932635307312,,
12,,2149,,,1.178993582725525,,
12,,2196,,,,0.4162905514240265,1.1959940195083618
12,0.0010000000474974513,2196,436.82952880859375,0.4019562900066376,,,
13,,2199,,,1.206960678100586,,
13,,2249,,,1.2238805294036865,,
13,,2299,,,1.188929557800293,,
13,,2349,,,1.2076373100280762,,
13,,2365,,,,0.42037343978881836,1.1884773969650269
13,0.0010000000474974513,2365,468.76531982421875,0.40668371319770813,,,
14,,2399,,,1.2027474641799927,,
14,,2449,,,1.1999247074127197,,
14,,2499,,,1.2130438089370728,,
14,,2534,,,,0.4239324927330017,1.192454218864441
14,0.0010000000474974513,2534,501.3582763671875,0.4110134541988373,,,
15,,2549,,,1.2139133214950562,,
15,,2599,,,1.194021463394165,,
15,,2649,,,1.1828597784042358,,
15,,2699,,,1.1843233108520508,,
15,,2703,,,,0.427204430103302,1.178391933441162
15,0.0010000000474974513,2703,534.2603149414062,0.414946049451828,,,
16,,2749,,,1.1685336828231812,,
16,,2799,,,1.1767308712005615,,
16,,2849,,,1.1883288621902466,,
16,,2872,,,,0.4301852583885193,1.1884657144546509
16,0.0010000000474974513,2872,565.36328125,0.4185689687728882,,,
17,,2899,,,1.1541879177093506,,
17,,2949,,,1.202049732208252,,
17,,2999,,,1.1463615894317627,,
17,,3041,,,,0.4335610568523407,1.1330066919326782
17,0.0010000000474974513,3041,597.7243041992188,0.42246079444885254,,,
18,,3049,,,1.1487270593643188,,
18,,3099,,,1.132972240447998,,
18,,3149,,,1.1298120021820068,,
18,,3199,,,1.1223517656326294,,
18,,3210,,,,0.43765556812286377,1.1028238534927368
18,0.0010000000474974513,3210,631.4791870117188,0.42695730924606323,,,
19,,3249,,,1.0975459814071655,,
19,,3299,,,1.1107927560806274,,
19,,3349,,,1.0819505453109741,,
19,,3379,,,,0.4416789412498474,1.0922307968139648
19,0.0010000000474974513,3379,660.171630859375,0.43136629462242126,,,
20,,3399,,,1.0883594751358032,,
20,,3449,,,1.075211524963379,,
20,,3499,,,1.0875927209854126,,
20,,3548,,,,0.44558191299438477,1.0793392658233643
20,0.0010000000474974513,3548,692.0083618164062,0.4356320798397064,,,
21,,3549,,,1.0881754159927368,,
21,,3599,,,1.101058840751648,,
21,,3649,,,1.0444239377975464,,
21,,3699,,,1.0780357122421265,,
21,,3717,,,,0.44940662384033203,1.065887451171875
21,0.0010000000474974513,3717,724.2297973632812,0.439775288105011,,,
22,,3749,,,1.0471135377883911,,
22,,3799,,,1.0625848770141602,,
22,,3849,,,1.0812034606933594,,
22,,3886,,,,0.4530712962150574,1.0698812007904053
22,0.0010000000474974513,3886,756.12548828125,0.44381144642829895,,,
