epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,21,,,,0.07673600316047668,2.5649359226226807
0,0.0010000000474974513,21,6.623527526855469,0.07572214305400848,,,
1,,43,,,,0.07760883867740631,2.565000295639038
1,0.0010000000474974513,43,10.6790771484375,0.07645152509212494,,,
2,,49,,,2.5596392154693604,,
2,,65,,,,0.08179124444723129,2.550898790359497
2,0.0010000000474974513,65,14.46712589263916,0.08507605642080307,,,
3,,87,,,,0.0940694659948349,2.338329792022705
3,0.0010000000474974513,87,18.190597534179688,0.08815505355596542,,,
4,,99,,,2.251194715499878,,
4,,109,,,,0.10443917661905289,2.222026824951172
4,0.0010000000474974513,109,21.68545150756836,0.09852509200572968,,,
5,,131,,,,0.11144563555717468,2.1989293098449707
5,0.0010000000474974513,131,25.16241455078125,0.10677842795848846,,,
6,,149,,,2.2001917362213135,,
6,,153,,,,0.11784470081329346,2.177952527999878
6,0.0010000000474974513,153,28.66724395751953,0.11380434036254883,,,
7,,175,,,,0.12470671534538269,2.1351609230041504
7,0.0010000000474974513,175,32.27122116088867,0.12027745693922043,,,
8,,197,,,,0.13045750558376312,2.350473642349243
8,0.0010000000474974513,197,35.89338684082031,0.12634122371673584,,,
9,,199,,,2.3852264881134033,,
9,,219,,,,0.13785439729690552,1.9638354778289795
9,0.0010000000474974513,219,39.54460144042969,0.13253045082092285,,,
10,,241,,,,0.14836126565933228,1.7940455675125122
10,0.0010000000474974513,241,43.00641632080078,0.14378425478935242,,,
11,,249,,,1.7703888416290283,,
11,,263,,,,0.16038930416107178,1.721964955329895
11,0.0010000000474974513,263,46.6356201171875,0.15592429041862488,,,
12,,285,,,,0.17175652086734772,1.7036001682281494
12,0.0010000000474974513,285,50.27908706665039,0.16730375587940216,,,
13,,299,,,1.712288737297058,,
13,,307,,,,0.18152284622192383,1.6987190246582031
13,0.0010000000474974513,307,53.78287887573242,0.17727671563625336,,,
14,,329,,,,0.19014060497283936,1.6579548120498657
14,0.0010000000474974513,329,57.780517578125,0.18615101277828217,,,
15,,349,,,1.6732202768325806,,
15,,351,,,,0.1982579082250595,1.6322143077850342
15,0.0010000000474974513,351,61.444313049316406,0.19407418370246887,,,
16,,373,,,,0.20499715209007263,1.6911211013793945
16,0.0010000000474974513,373,65.09538269042969,0.20131266117095947,,,
17,,395,,,,0.21129733324050903,1.6206738948822021
17,0.0010000000474974513,395,68.75505065917969,0.2077586054801941,,,
18,,399,,,1.6266440153121948,,
18,,417,,,,0.21755407750606537,1.6170916557312012
18,0.0010000000474974513,417,72.51256561279297,0.21392501890659332,,,
19,,439,,,,0.22331717610359192,1.6112983226776123
19,0.0010000000474974513,439,76.14908599853516,0.2194923311471939,,,
20,,449,,,1.6298109292984009,,
20,,461,,,,0.2285936176776886,1.608303189277649
20,0.0010000000474974513,461,79.824462890625,0.22472521662712097,,,
21,,483,,,,0.23331546783447266,1.628760814666748
21,0.0010000000474974513,483,83.6602783203125,0.2289324402809143,,,
22,,499,,,1.6376852989196777,,
22,,505,,,,0.23772776126861572,1.606430172920227
22,0.0010000000474974513,505,87.49160766601562,0.23317360877990723,,,
23,,527,,,,0.24179445207118988,1.5955220460891724
23,0.0010000000474974513,527,91.20720672607422,0.2372201532125473,,,
24,,549,,,1.5727603435516357,,
24,,549,,,,0.2456367164850235,1.5861873626708984
24,0.0010000000474974513,549,94.84812927246094,0.24110688269138336,,,
25,,571,,,,0.24928085505962372,1.5881913900375366
25,0.0010000000474974513,571,98.56078338623047,0.24468456208705902,,,
26,,593,,,,0.25272098183631897,1.5823765993118286
26,0.0010000000474974513,593,102.22471618652344,0.2479861080646515,,,
27,,599,,,1.594132900238037,,
27,,615,,,,0.2559584677219391,1.5743463039398193
27,0.0010000000474974513,615,106.29859924316406,0.251212477684021,,,
28,,637,,,,0.25907227396965027,1.5682804584503174
28,0.0010000000474974513,637,109.759521484375,0.2543814778327942,,,
29,,649,,,1.5788569450378418,,
29,,659,,,,0.26198920607566833,1.5814474821090698
29,0.0010000000474974513,659,113.24899291992188,0.25736990571022034,,,
30,,681,,,,0.2648296058177948,1.5660455226898193
30,0.0010000000474974513,681,116.8763656616211,0.2602126896381378,,,
31,,699,,,1.5824681520462036,,
31,,703,,,,0.26749542355537415,1.5735136270523071
31,0.0010000000474974513,703,120.52076721191406,0.2629457414150238,,,
32,,725,,,,0.2697839140892029,1.6127057075500488
32,0.0010000000474974513,725,124.00515747070312,0.2653028666973114,,,
33,,747,,,,0.27205803990364075,1.5632754564285278
33,0.0010000000474974513,747,127.80662536621094,0.2676646113395691,,,
34,,749,,,1.6015679836273193,,
34,,769,,,,0.2744438052177429,1.549934983253479
34,0.0010000000474974513,769,131.6584930419922,0.2701032757759094,,,
35,,791,,,,0.27679479122161865,1.540711760520935
35,0.0010000000474974513,791,135.30697631835938,0.27247628569602966,,,
36,,799,,,1.5340378284454346,,
36,,813,,,,0.27915841341018677,1.523551344871521
36,0.0010000000474974513,813,138.9676513671875,0.27481186389923096,,,
37,,835,,,,0.28148525953292847,1.4898426532745361
37,0.0010000000474974513,835,142.75845336914062,0.2771073579788208,,,
38,,849,,,1.4778072834014893,,
38,,857,,,,0.2839019000530243,1.4553147554397583
38,0.0010000000474974513,857,146.58929443359375,0.2795601189136505,,,
39,,879,,,,0.2863599956035614,1.4444489479064941
39,0.0010000000474974513,879,150.27847290039062,0.28202205896377563,,,
40,,899,,,1.4646490812301636,,
40,,901,,,,0.2888123691082001,1.4297395944595337
40,0.0010000000474974513,901,154.32754516601562,0.2844647765159607,,,
41,,923,,,,0.2912541627883911,1.427425742149353
41,0.0010000000474974513,923,157.97698974609375,0.2868974506855011,,,
42,,945,,,,0.29366207122802734,1.4177055358886719
42,0.0010000000474974513,945,161.669189453125,0.28924453258514404,,,
43,,949,,,1.4145756959915161,,
43,,967,,,,0.29598793387413025,1.4186142683029175
43,0.0010000000474974513,967,165.32623291015625,0.29149508476257324,,,
44,,989,,,,0.2982636094093323,1.4160785675048828
44,0.0010000000474974513,989,169.0126495361328,0.29373398423194885,,,
45,,999,,,1.432607889175415,,
45,,1011,,,,0.3004300892353058,1.4169979095458984
45,0.0010000000474974513,1011,172.87307739257812,0.29588252305984497,,,
46,,1033,,,,0.302511066198349,1.4210236072540283
46,0.0010000000474974513,1033,176.53778076171875,0.2979564964771271,,,
47,,1049,,,1.4019393920898438,,
47,,1055,,,,0.3046015799045563,1.4031658172607422
47,0.0010000000474974513,1055,180.01800537109375,0.29998868703842163,,,
48,,1077,,,,0.3066330552101135,1.4030705690383911
48,0.0010000000474974513,1077,183.5020751953125,0.30201858282089233,,,
49,,1099,,,1.4336397647857666,,
49,,1099,,,,0.3085670471191406,1.401703953742981
49,0.0010000000474974513,1099,187.14617919921875,0.30398109555244446,,,
50,,1121,,,,0.31049081683158875,1.3974069356918335
50,0.0010000000474974513,1121,190.81256103515625,0.3058534264564514,,,
51,,1143,,,,0.31234195828437805,1.397324562072754
51,0.0010000000474974513,1143,194.50363159179688,0.3076712191104889,,,
52,,1149,,,1.4029895067214966,,
52,,1165,,,,0.31413283944129944,1.3935412168502808
52,0.0010000000474974513,1165,198.33013916015625,0.3094436228275299,,,
53,,1187,,,,0.31582608819007874,1.3991880416870117
53,0.0010000000474974513,1187,202.00210571289062,0.3111158311367035,,,
54,,1199,,,1.4267055988311768,,
54,,1209,,,,0.31745484471321106,1.394396185874939
54,0.0010000000474974513,1209,205.67913818359375,0.3127742111682892,,,
