epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.4428274631500244,,
0,,99,,,2.1930627822875977,,
0,,149,,,2.522118330001831,,
0,,199,,,1.7793470621109009,,
0,,215,,,,0.2809804677963257,1.698124885559082
0,0.0010000000474974513,215,21.99398422241211,0.1650330126285553,,,
1,,249,,,1.6699891090393066,,
1,,299,,,1.6927591562271118,,
1,,349,,,1.6212562322616577,,
1,,399,,,1.5903096199035645,,
1,,431,,,,0.3076660633087158,1.612561583518982
1,0.0010000000474974513,431,39.352394104003906,0.23907062411308289,,,
2,,449,,,1.663778305053711,,
2,,499,,,1.6388254165649414,,
2,,549,,,1.6200917959213257,,
2,,599,,,1.6129698753356934,,
2,,647,,,,0.3175339698791504,1.5892947912216187
2,0.0010000000474974513,647,56.80731201171875,0.26932036876678467,,,
3,,649,,,1.627764344215393,,
3,,699,,,1.6094399690628052,,
3,,749,,,1.5446134805679321,,
3,,799,,,1.6299574375152588,,
3,,849,,,1.5790560245513916,,
3,,863,,,,0.32413747906684875,1.557613492012024
3,0.0010000000474974513,863,73.41827392578125,0.28669825196266174,,,
4,,899,,,1.5786811113357544,,
4,,949,,,1.5588700771331787,,
4,,999,,,1.5495280027389526,,
4,,1049,,,1.5385963916778564,,
4,,1079,,,,0.33005961775779724,1.526606798171997
4,0.0010000000474974513,1079,91.16926574707031,0.2992274761199951,,,
5,,1099,,,1.5349173545837402,,
5,,1149,,,1.4842866659164429,,
5,,1199,,,1.4648399353027344,,
5,,1249,,,1.470639705657959,,
5,,1295,,,,0.33772897720336914,1.432729959487915
5,0.0010000000474974513,1295,108.66598510742188,0.31195348501205444,,,
6,,1299,,,1.4301867485046387,,
6,,1349,,,1.4200339317321777,,
6,,1399,,,1.4401237964630127,,
6,,1449,,,1.4383856058120728,,
6,,1499,,,1.427518367767334,,
6,,1511,,,,0.3464822769165039,1.4053738117218018
6,0.0010000000474974513,1511,126.16752624511719,0.32371145486831665,,,
7,,1549,,,1.4215583801269531,,
7,,1599,,,1.3941136598587036,,
7,,1649,,,1.440392017364502,,
7,,1699,,,1.4631657600402832,,
7,,1727,,,,0.35447967052459717,1.3831459283828735
7,0.0010000000474974513,1727,143.7620086669922,0.3335859477519989,,,
8,,1749,,,1.4131672382354736,,
8,,1799,,,1.3822636604309082,,
8,,1849,,,1.416900873184204,,
8,,1899,,,1.4199116230010986,,
8,,1943,,,,0.3612276017665863,1.3868472576141357
8,0.0010000000474974513,1943,161.13388061523438,0.3419373035430908,,,
9,,1949,,,1.375583529472351,,
9,,1999,,,1.375307559967041,,
9,,2049,,,1.3485321998596191,,
9,,2099,,,1.427323341369629,,
9,,2149,,,1.3815855979919434,,
9,,2159,,,,0.36700671911239624,1.3645647764205933
9,0.0010000000474974513,2159,178.99850463867188,0.34896111488342285,,,
10,,2199,,,1.352059245109558,,
10,,2249,,,1.4246183633804321,,
10,,2299,,,1.3824266195297241,,
10,,2349,,,1.357167363166809,,
10,,2375,,,,0.37231841683387756,1.359761118888855
10,0.0010000000474974513,2375,196.93807983398438,0.3552192449569702,,,
11,,2399,,,1.365217924118042,,
11,,2449,,,1.3738476037979126,,
11,,2499,,,1.3925707340240479,,
11,,2549,,,1.359769344329834,,
11,,2591,,,,0.3767988383769989,1.3617429733276367
11,0.0010000000474974513,2591,214.38583374023438,0.36062806844711304,,,
12,,2599,,,1.3357748985290527,,
12,,2649,,,1.3703055381774902,,
12,,2699,,,1.3382254838943481,,
12,,2749,,,1.3301877975463867,,
12,,2799,,,1.3778525590896606,,
12,,2807,,,,0.3806993365287781,1.3499906063079834
12,0.0010000000474974513,2807,232.09182739257812,0.36555448174476624,,,
13,,2849,,,1.3815653324127197,,
13,,2899,,,1.3446555137634277,,
13,,2949,,,1.3696026802062988,,
13,,2999,,,1.30458402633667,,
13,,3023,,,,0.3841955065727234,1.3385776281356812
13,0.0010000000474974513,3023,249.63294982910156,0.3700474798679352,,,
14,,3049,,,1.3420382738113403,,
14,,3099,,,1.3135851621627808,,
14,,3149,,,1.2824724912643433,,
14,,3199,,,1.2951797246932983,,
14,,3239,,,,0.38834062218666077,1.2754877805709839
14,0.0010000000474974513,3239,267.1152648925781,0.375630259513855,,,
15,,3249,,,1.3153358697891235,,
15,,3299,,,1.2505732774734497,,
15,,3349,,,1.2703945636749268,,
15,,3399,,,1.265448808670044,,
15,,3449,,,1.2680449485778809,,
15,,3455,,,,0.3934817910194397,1.2354319095611572
15,0.0010000000474974513,3455,284.43719482421875,0.38156840205192566,,,
16,,3499,,,1.2352781295776367,,
16,,3549,,,1.22264564037323,,
16,,3599,,,1.2432730197906494,,
16,,3649,,,1.2142781019210815,,
16,,3671,,,,0.3987107276916504,1.2224568128585815
16,0.0010000000474974513,3671,301.82818603515625,0.38725632429122925,,,
17,,3699,,,1.2107268571853638,,
17,,3749,,,1.2494770288467407,,
17,,3799,,,1.208069086074829,,
17,,3849,,,1.2255730628967285,,
17,,3887,,,,0.40370050072669983,1.2105169296264648
17,0.0010000000474974513,3887,319.3467712402344,0.39272835850715637,,,
18,,3899,,,1.202397108078003,,
18,,3949,,,1.1867775917053223,,
18,,3999,,,1.1976263523101807,,
18,,4049,,,1.1903469562530518,,
18,,4099,,,1.1642252206802368,,
18,,4103,,,,0.4084957242012024,1.1916377544403076
18,0.0010000000474974513,4103,336.82220458984375,0.39806270599365234,,,
19,,4149,,,1.1543766260147095,,
19,,4199,,,1.1898274421691895,,
19,,4249,,,1.184904932975769,,
19,,4299,,,1.1822352409362793,,
19,,4319,,,,0.41322481632232666,1.174643874168396
19,0.0010000000474974513,4319,354.15667724609375,0.403178334236145,,,
20,,4349,,,1.1474837064743042,,
20,,4399,,,1.2074999809265137,,
20,,4449,,,1.1773674488067627,,
20,,4499,,,1.1598515510559082,,
20,,4535,,,,0.4178033769130707,1.1672838926315308
20,0.0010000000474974513,4535,371.48590087890625,0.4081155061721802,,,
21,,4549,,,1.1809500455856323,,
21,,4599,,,1.2063541412353516,,
21,,4649,,,1.1251637935638428,,
21,,4699,,,1.1575963497161865,,
21,,4749,,,1.186585545539856,,
21,,4751,,,,0.42216113209724426,1.1584908962249756
21,0.0010000000474974513,4751,388.976806640625,0.4128171503543854,,,
22,,4799,,,1.1259971857070923,,
22,,4849,,,1.1547536849975586,,
22,,4899,,,1.1550872325897217,,
22,,4949,,,1.1750565767288208,,
22,,4967,,,,0.4263613820075989,1.1382132768630981
22,0.0010000000474974513,4967,407.0447692871094,0.4173087477684021,,,
23,,4999,,,1.1423203945159912,,
23,,5049,,,1.1529347896575928,,
23,,5099,,,1.130971074104309,,
23,,5149,,,1.1399005651474,,
23,,5183,,,,0.4303776025772095,1.1380985975265503
23,0.0010000000474974513,5183,424.7310791015625,0.4216105043888092,,,
24,,5199,,,1.1333726644515991,,
24,,5249,,,1.1273454427719116,,
24,,5299,,,1.1246654987335205,,
24,,5349,,,1.1431670188903809,,
24,,5399,,,1.1366603374481201,,
24,,5399,,,,0.43425536155700684,1.1190844774246216
24,0.0010000000474974513,5399,442.43963623046875,0.42567482590675354,,,
25,,5449,,,1.1336488723754883,,
25,,5499,,,1.1274560689926147,,
25,,5549,,,1.099280595779419,,
25,,5599,,,1.0680654048919678,,
25,,5615,,,,0.4379290044307709,1.1140738725662231
25,0.0010000000474974513,5615,460.38507080078125,0.42955800890922546,,,
26,,5649,,,1.109109878540039,,
26,,5699,,,1.119421124458313,,
26,,5749,,,1.1319875717163086,,
26,,5799,,,1.1220195293426514,,
26,,5831,,,,0.4414798319339752,1.1057249307632446
26,0.0010000000474974513,5831,478.07720947265625,0.43325695395469666,,,
27,,5849,,,1.1103051900863647,,
27,,5899,,,1.098071813583374,,
27,,5949,,,1.109757661819458,,
27,,5999,,,1.0629286766052246,,
27,,6047,,,,0.44486939907073975,1.102028489112854
27,0.0010000000474974513,6047,495.33380126953125,0.4367642402648926,,,
28,,6049,,,1.1084638833999634,,
28,,6099,,,1.118126630783081,,
28,,6149,,,1.080910086631775,,
28,,6199,,,1.1057335138320923,,
28,,6249,,,1.083114504814148,,
28,,6263,,,,0.44797617197036743,1.1056430339813232
28,0.0010000000474974513,6263,513.2900390625,0.44010648131370544,,,
29,,6299,,,1.079403042793274,,
29,,6349,,,1.1093053817749023,,
29,,6399,,,1.0887960195541382,,
29,,6449,,,1.1349304914474487,,
29,,6479,,,,0.4508288502693176,1.1087985038757324
