epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5601444244384766,,
0,,99,,,2.56475567817688,,
0,,149,,,2.565225601196289,,
0,,199,,,2.564819812774658,,
0,,215,,,,0.07702040672302246,2.5649192333221436
0,0.0010000000474974513,215,23.494314193725586,0.07803348451852798,,,
1,,249,,,2.539034366607666,,
1,,299,,,2.5648984909057617,,
1,,349,,,2.5647544860839844,,
1,,399,,,2.5639803409576416,,
1,,431,,,,0.07718079537153244,2.5664494037628174
1,0.0010000000474974513,431,42.59368133544922,0.08058123290538788,,,
2,,449,,,2.564805507659912,,
2,,499,,,2.564460515975952,,
2,,549,,,2.553997039794922,,
2,,599,,,2.564892530441284,,
2,,647,,,,0.07713630050420761,2.5648982524871826
2,0.0010000000474974513,647,61.68095397949219,0.08033274114131927,,,
3,,649,,,2.565178394317627,,
3,,699,,,2.5649263858795166,,
3,,749,,,2.560969591140747,,
3,,799,,,2.18341064453125,,
3,,849,,,1.8790411949157715,,
3,,863,,,,0.08556877821683884,2.2991230487823486
3,0.0010000000474974513,863,81.18247985839844,0.09226828068494797,,,
4,,899,,,1.7818686962127686,,
4,,949,,,1.7079193592071533,,
4,,999,,,1.615691065788269,,
4,,1049,,,1.6336479187011719,,
4,,1079,,,,0.11667297780513763,1.6666680574417114
4,0.0010000000474974513,1079,100.47325134277344,0.13398124277591705,,,
5,,1099,,,1.5762895345687866,,
5,,1149,,,1.6060121059417725,,
5,,1199,,,1.5946292877197266,,
5,,1249,,,1.567819356918335,,
5,,1295,,,,0.15681764483451843,1.552208662033081
5,0.0010000000474974513,1295,120.03636169433594,0.1687900274991989,,,
6,,1299,,,1.5807820558547974,,
6,,1349,,,1.5246158838272095,,
6,,1399,,,1.5495367050170898,,
6,,1449,,,1.5279206037521362,,
6,,1499,,,1.5229655504226685,,
6,,1511,,,,0.18891498446464539,1.5207302570343018
6,0.0010000000474974513,1511,139.20257568359375,0.19648221135139465,,,
7,,1549,,,1.5282078981399536,,
7,,1599,,,1.4372835159301758,,
7,,1649,,,1.4327300786972046,,
7,,1699,,,1.4360700845718384,,
7,,1727,,,,0.2157709002494812,1.3859349489212036
7,0.0010000000474974513,1727,158.7382354736328,0.22031472623348236,,,
8,,1749,,,1.4209002256393433,,
8,,1799,,,1.4098522663116455,,
8,,1849,,,1.4174884557724,,
8,,1899,,,1.3879106044769287,,
8,,1943,,,,0.2387312799692154,1.380433440208435
8,0.0010000000474974513,1943,178.0244903564453,0.24162305891513824,,,
9,,1949,,,1.3686615228652954,,
9,,1999,,,1.3843697309494019,,
9,,2049,,,1.3845312595367432,,
9,,2099,,,1.3718127012252808,,
9,,2149,,,1.3778679370880127,,
9,,2159,,,,0.25772181153297424,1.357007622718811
9,0.0010000000474974513,2159,197.30682373046875,0.25937414169311523,,,
10,,2199,,,1.3733710050582886,,
10,,2249,,,1.4002413749694824,,
10,,2299,,,1.3316020965576172,,
10,,2349,,,1.337519645690918,,
10,,2375,,,,0.27373266220092773,1.3434351682662964
10,0.0010000000474974513,2375,216.947021484375,0.27434760332107544,,,
11,,2399,,,1.3421766757965088,,
11,,2449,,,1.3471957445144653,,
11,,2499,,,1.3810063600540161,,
11,,2549,,,1.3211559057235718,,
11,,2591,,,,0.28748977184295654,1.3333994150161743
11,0.0010000000474974513,2591,236.04873657226562,0.2871842682361603,,,
12,,2599,,,1.3128643035888672,,
12,,2649,,,1.3425178527832031,,
12,,2699,,,1.2814792394638062,,
12,,2749,,,1.283116102218628,,
12,,2799,,,1.2733551263809204,,
12,,2807,,,,0.30056363344192505,1.268728494644165
12,0.0010000000474974513,2807,254.88510131835938,0.29969367384910583,,,
13,,2849,,,1.2435929775238037,,
13,,2899,,,1.3028861284255981,,
13,,2949,,,1.241398572921753,,
13,,2999,,,1.236166000366211,,
13,,3023,,,,0.3129446804523468,1.252037525177002
13,0.0010000000474974513,3023,274.211181640625,0.3115958273410797,,,
14,,3049,,,1.2340185642242432,,
14,,3099,,,1.2175251245498657,,
14,,3149,,,1.2817435264587402,,
14,,3199,,,1.1952110528945923,,
14,,3239,,,,0.3241986930370331,1.2226890325546265
14,0.0010000000474974513,3239,293.48651123046875,0.3225659132003784,,,
15,,3249,,,1.2599942684173584,,
15,,3299,,,1.2226451635360718,,
15,,3349,,,1.2240674495697021,,
15,,3399,,,1.2223821878433228,,
15,,3449,,,1.2381746768951416,,
15,,3455,,,,0.3345967233181,1.2049611806869507
15,0.0010000000474974513,3455,312.7019348144531,0.33277231454849243,,,
16,,3499,,,1.1793667078018188,,
16,,3549,,,1.200425386428833,,
16,,3599,,,1.2090227603912354,,
16,,3649,,,1.1806889772415161,,
16,,3671,,,,0.3442341983318329,1.1904253959655762
16,0.0010000000474974513,3671,332.31781005859375,0.34220364689826965,,,
17,,3699,,,1.1845810413360596,,
17,,3749,,,1.1580004692077637,,
17,,3799,,,1.192837119102478,,
17,,3849,,,1.1396429538726807,,
17,,3887,,,,0.35321614146232605,1.1763484477996826
17,0.0010000000474974513,3887,351.26275634765625,0.351028710603714,,,
18,,3899,,,1.166588544845581,,
18,,3949,,,1.2055848836898804,,
18,,3999,,,1.1652439832687378,,
18,,4049,,,1.1533198356628418,,
18,,4099,,,1.1249096393585205,,
18,,4103,,,,0.36158132553100586,1.1594312191009521
18,0.0010000000474974513,4103,370.8270263671875,0.35925108194351196,,,
19,,4149,,,1.1695575714111328,,
19,,4199,,,1.1356850862503052,,
19,,4249,,,1.2139604091644287,,
19,,4299,,,1.1453057527542114,,
19,,4319,,,,0.36942172050476074,1.142910361289978
19,0.0010000000474974513,4319,390.54046630859375,0.3669610619544983,,,
20,,4349,,,1.1572535037994385,,
20,,4399,,,1.1677911281585693,,
20,,4449,,,1.1282286643981934,,
20,,4499,,,1.1618024110794067,,
20,,4535,,,,0.37669190764427185,1.1355794668197632
20,0.0010000000474974513,4535,409.7477111816406,0.37411388754844666,,,
21,,4549,,,1.1622076034545898,,
21,,4599,,,1.136657476425171,,
21,,4649,,,1.1757787466049194,,
21,,4699,,,1.146327018737793,,
21,,4749,,,1.172791600227356,,
21,,4751,,,,0.3834887444972992,1.1221256256103516
21,0.0010000000474974513,4751,429.0791320800781,0.3807835280895233,,,
22,,4799,,,1.1202824115753174,,
22,,4849,,,1.139990210533142,,
22,,4899,,,1.1258094310760498,,
22,,4949,,,1.121835708618164,,
22,,4967,,,,0.3898427486419678,1.1231213808059692
22,0.0010000000474974513,4967,448.72259521484375,0.38704580068588257,,,
23,,4999,,,1.1030851602554321,,
23,,5049,,,1.0734665393829346,,
23,,5099,,,1.1122455596923828,,
23,,5149,,,1.1006627082824707,,
23,,5183,,,,0.39571619033813477,1.115716814994812
23,0.0010000000474974513,5183,467.8958435058594,0.39293429255485535,,,
24,,5199,,,1.1660819053649902,,
24,,5249,,,1.1273694038391113,,
24,,5299,,,1.098852276802063,,
24,,5349,,,1.1528804302215576,,
24,,5399,,,1.083770513534546,,
24,,5399,,,,0.4012957811355591,1.1041775941848755
24,0.0010000000474974513,5399,487.44476318359375,0.39846348762512207,,,
25,,5449,,,1.06759512424469,,
25,,5499,,,1.0615689754486084,,
25,,5549,,,1.116257905960083,,
25,,5599,,,1.1118372678756714,,
25,,5615,,,,0.4064597487449646,1.1096138954162598
25,0.0010000000474974513,5615,507.233154296875,0.4037295877933502,,,
26,,5649,,,1.0937551259994507,,
26,,5699,,,1.132418155670166,,
26,,5749,,,1.116336703300476,,
26,,5799,,,1.1090362071990967,,
26,,5831,,,,0.41121917963027954,1.0994511842727661
26,0.0010000000474974513,5831,526.5504150390625,0.4086397588253021,,,
27,,5849,,,1.0843017101287842,,
27,,5899,,,1.098594069480896,,
27,,5949,,,1.0927122831344604,,
27,,5999,,,1.0830861330032349,,
27,,6047,,,,0.415800005197525,1.0878158807754517
27,0.0010000000474974513,6047,545.96142578125,0.4132877588272095,,,
28,,6049,,,1.1257811784744263,,
28,,6099,,,1.088456392288208,,
