epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.08642578125,2.564751625061035,,,
0,,99,,,0.0810546875,2.564784049987793,,,
0,,149,,,0.08349609375,2.5649516582489014,,,
0,,199,,,0.0673828125,2.5648555755615234,,,
0,,249,,,0.06396484375,2.5652217864990234,,,
0,,299,,,0.07861328125,2.565037727355957,,,
0,,349,,,0.0693359375,2.5649876594543457,,,
,,0,,,,,,0.07080078125,
,,1,,,,,,0.07470703125,
,,2,,,,,,0.06787109375,
,,3,,,,,,0.07373046875,
,,4,,,,,,0.07666015625,
,,5,,,,,,0.06982421875,
,,6,,,,,,0.07666015625,
,,7,,,,,,0.076171875,
,,8,,,,,,0.0732421875,
,,9,,,,,,0.07275390625,
,,10,,,,,,0.07958984375,
,,11,,,,,,0.06787109375,
,,12,,,,,,0.07763671875,
,,13,,,,,,0.08251953125,
,,14,,,,,,0.08544921875,
,,15,,,,,,0.0751953125,
,,16,,,,,,0.0771484375,
,,17,,,,,,0.08447265625,
,,18,,,,,,0.08544921875,
,,19,,,,,,0.08056640625,
,,20,,,,,,0.07666015625,
,,21,,,,,,0.06884765625,
,,22,,,,,,0.08349609375,
,,23,,,,,,0.0869140625,
,,24,,,,,,0.08056640625,
,,25,,,,,,0.08447265625,
,,26,,,,,,0.07568359375,
,,27,,,,,,0.07373046875,
,,28,,,,,,0.07275390625,
,,29,,,,,,0.076171875,
,,30,,,,,,0.0771484375,
,,31,,,,,,0.07373046875,
,,32,,,,,,0.0751953125,
,,33,,,,,,0.072265625,
,,34,,,,,,0.0615234375,
,,35,,,,,,0.07763671875,
,,36,,,,,,0.080078125,
,,37,,,,,,0.0693359375,
,,38,,,,,,0.0849609375,
,,39,,,,,,0.0693359375,
,,40,,,,,,0.0810546875,
,,41,,,,,,0.078125,
,,42,,,,,,0.08988764137029648,
0,,379,,,,,0.07645190507173538,,2.5649940967559814
0,0.0010000000474974513,379,32.573299407958984,0.07718013226985931,,,,,
1,,399,,,0.07421875,2.56498646736145,,,
1,,449,,,0.078125,2.5650525093078613,,,
1,,499,,,0.0791015625,2.56490421295166,,,
1,,549,,,0.0791015625,2.5650229454040527,,,
1,,599,,,0.078125,2.5649771690368652,,,
1,,649,,,0.0859375,2.564819574356079,,,
1,,699,,,0.07568359375,2.5648350715637207,,,
1,,749,,,0.07763671875,2.5647833347320557,,,
,,43,,,,,,0.068359375,
,,44,,,,,,0.072265625,
,,45,,,,,,0.06884765625,
,,46,,,,,,0.07177734375,
,,47,,,,,,0.08740234375,
,,48,,,,,,0.0654296875,
,,49,,,,,,0.07666015625,
,,50,,,,,,0.080078125,
,,51,,,,,,0.09033203125,
,,52,,,,,,0.0703125,
,,53,,,,,,0.07861328125,
,,54,,,,,,0.08935546875,
,,55,,,,,,0.0732421875,
,,56,,,,,,0.0791015625,
,,57,,,,,,0.08251953125,
,,58,,,,,,0.076171875,
,,59,,,,,,0.0771484375,
,,60,,,,,,0.0810546875,
,,61,,,,,,0.0703125,
,,62,,,,,,0.0751953125,
,,63,,,,,,0.0849609375,
,,64,,,,,,0.07080078125,
,,65,,,,,,0.07470703125,
,,66,,,,,,0.06689453125,
,,67,,,,,,0.072265625,
,,68,,,,,,0.07958984375,
,,69,,,,,,0.08447265625,
,,70,,,,,,0.0830078125,
,,71,,,,,,0.07763671875,
,,72,,,,,,0.068359375,
,,73,,,,,,0.07958984375,
,,74,,,,,,0.07958984375,
,,75,,,,,,0.08544921875,
,,76,,,,,,0.0927734375,
,,77,,,,,,0.076171875,
,,78,,,,,,0.076171875,
,,79,,,,,,0.07373046875,
,,80,,,,,,0.07763671875,
,,81,,,,,,0.076171875,
,,82,,,,,,0.0810546875,
,,83,,,,,,0.07568359375,
,,84,,,,,,0.0693359375,
,,85,,,,,,0.08239700645208359,
1,,759,,,,,0.07714439928531647,,2.564958095550537
1,0.0010000000474974513,759,61.238426208496094,0.0767538845539093,,,,,
2,,799,,,0.08544921875,2.56483793258667,,,
2,,849,,,0.07080078125,2.5650830268859863,,,
2,,899,,,0.08935546875,2.56467342376709,,,
