epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.0693359375,2.565138578414917,,,
,,0,,,,,,0.087890625,
,,1,,,,,,0.0849609375,
,,2,,,,,,0.0849609375,
,,3,,,,,,0.08203125,
,,4,,,,,,0.0927734375,
,,5,,,,,,0.078125,
,,6,,,,,,0.0849609375,
,,7,,,,,,0.0712890625,
,,8,,,,,,0.083984375,
,,9,,,,,,0.0810546875,
,,10,,,,,,0.072265625,
,,11,,,,,,0.0732421875,
,,12,,,,,,0.0888671875,
,,13,,,,,,0.080078125,
,,14,,,,,,0.05859375,
,,15,,,,,,0.083984375,
,,16,,,,,,0.08203125,
,,17,,,,,,0.06640625,
,,18,,,,,,0.09375,
,,19,,,,,,0.0634765625,
,,20,,,,,,0.0654296875,
,,21,,,,,,0.0859375,
,,22,,,,,,0.0791015625,
,,23,,,,,,0.061611372977495193,
0,,92,,,,,0.07732609659433365,,2.5650322437286377
0,0.0010000000474974513,92,6.68023681640625,0.07714279741048813,,,,,
1,,99,,,0.06640625,2.5654001235961914,,,
1,,149,,,0.0947265625,2.5646140575408936,,,
,,24,,,,,,0.078125,
,,25,,,,,,0.078125,
,,26,,,,,,0.0703125,
,,27,,,,,,0.0908203125,
,,28,,,,,,0.0712890625,
,,29,,,,,,0.0693359375,
,,30,,,,,,0.0693359375,
,,31,,,,,,0.07421875,
,,32,,,,,,0.0625,
,,33,,,,,,0.083984375,
,,34,,,,,,0.0712890625,
,,35,,,,,,0.0693359375,
,,36,,,,,,0.0849609375,
,,37,,,,,,0.07421875,
,,38,,,,,,0.078125,
,,39,,,,,,0.0751953125,
,,40,,,,,,0.076171875,
,,41,,,,,,0.0791015625,
,,42,,,,,,0.0751953125,
,,43,,,,,,0.07421875,
,,44,,,,,,0.0625,
,,45,,,,,,0.064453125,
,,46,,,,,,0.0966796875,
,,47,,,,,,0.09004739671945572,
1,,185,,,,,0.07633716613054276,,2.564967632293701
1,0.0010000000474974513,185,10.977628707885742,0.0765589028596878,,,,,
2,,199,,,0.064453125,2.564923048019409,,,
2,,249,,,0.0791015625,2.5649571418762207,,,
,,48,,,,,,0.0673828125,
,,49,,,,,,0.0634765625,
,,50,,,,,,0.0712890625,
,,51,,,,,,0.0673828125,
,,52,,,,,,0.0791015625,
,,53,,,,,,0.0712890625,
,,54,,,,,,0.064453125,
,,55,,,,,,0.080078125,
,,56,,,,,,0.0771484375,
,,57,,,,,,0.080078125,
,,58,,,,,,0.06640625,
,,59,,,,,,0.0810546875,
,,60,,,,,,0.064453125,
,,61,,,,,,0.078125,
,,62,,,,,,0.060546875,
,,63,,,,,,0.0771484375,
,,64,,,,,,0.0791015625,
,,65,,,,,,0.0654296875,
,,66,,,,,,0.0751953125,
,,67,,,,,,0.0732421875,
,,68,,,,,,0.0703125,
,,69,,,,,,0.068359375,
,,70,,,,,,0.0771484375,
,,71,,,,,,0.09004739671945572,
2,,278,,,,,0.07526406645774841,,2.5649783611297607
2,0.0010000000474974513,278,15.207412719726562,0.07657468318939209,,,,,
3,,299,,,0.083984375,2.564864158630371,,,
3,,349,,,0.078125,2.5649826526641846,,,
,,72,,,,,,0.078125,
,,73,,,,,,0.078125,
,,74,,,,,,0.0703125,
,,75,,,,,,0.0908203125,
,,76,,,,,,0.0712890625,
,,77,,,,,,0.0693359375,
,,78,,,,,,0.0693359375,
,,79,,,,,,0.07421875,
,,80,,,,,,0.0625,
,,81,,,,,,0.083984375,
,,82,,,,,,0.0712890625,
,,83,,,,,,0.0693359375,
,,84,,,,,,0.0849609375,
,,85,,,,,,0.07421875,
,,86,,,,,,0.078125,
,,87,,,,,,0.0751953125,
,,88,,,,,,0.076171875,
,,89,,,,,,0.0791015625,
,,90,,,,,,0.0751953125,
,,91,,,,,,0.07421875,
,,92,,,,,,0.0625,
,,93,,,,,,0.064453125,
,,94,,,,,,0.0966796875,
,,95,,,,,,0.09004739671945572,
3,,371,,,,,0.07633716613054276,,2.564972400665283
