epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
,,0,,,,,,0.110107421875,
,,1,,,,,,0.09814453125,
,,2,,,,,,0.0994579941034317,
0,,26,,,,,0.10661084204912186,,2.5064609050750732
0,0.0010000000474974513,26,6.777573585510254,0.08261558413505554,,,,,
1,,49,,,0.13720703125,2.4012045860290527,,,
,,3,,,,,,0.13232421875,
,,4,,,,,,0.114990234375,
,,5,,,,,,0.1257452517747879,
1,,53,,,,,0.12615720927715302,,2.3690245151519775
1,0.0010000000474974513,53,10.946340560913086,0.11732923984527588,,,,,
,,6,,,,,,0.151611328125,
,,7,,,,,,0.154052734375,
,,8,,,,,,0.1430894285440445,
2,,80,,,,,0.14999578893184662,,2.206080913543701
2,0.0010000000474974513,80,15.094501495361328,0.1408511996269226,,,,,
3,,99,,,0.139892578125,2.2077016830444336,,,
,,9,,,,,,0.149658203125,
,,10,,,,,,0.146484375,
,,11,,,,,,0.13875338435173035,
3,,107,,,,,0.1497853845357895,,2.1934235095977783
3,0.0010000000474974513,107,19.24951171875,0.14420847594738007,,,,,
,,12,,,,,,0.1494140625,
,,13,,,,,,0.154052734375,
,,14,,,,,,0.14173442125320435,
4,,134,,,,,0.1520577371120453,,2.188570022583008
4,0.0010000000474974513,134,23.309907913208008,0.15128539502620697,,,,,
5,,149,,,0.1572265625,2.193830966949463,,,
,,15,,,,,,0.15185546875,
,,16,,,,,,0.15576171875,
,,17,,,,,,0.14525745809078217,
5,,161,,,,,0.15298350155353546,,2.183265447616577
5,0.0010000000474974513,161,27.227672576904297,0.15194235742092133,,,,,
,,18,,,,,,0.153076171875,
,,19,,,,,,0.15966796875,
,,20,,,,,,0.15067750215530396,
6,,188,,,,,0.15687595307826996,,2.179351568222046
6,0.0010000000474974513,188,31.157224655151367,0.1551663726568222,,,,,
7,,199,,,0.15673828125,2.196392774581909,,,
,,21,,,,,,0.150390625,
,,22,,,,,,0.160888671875,
,,23,,,,,,0.14742547273635864,
7,,215,,,,,0.1566234678030014,,2.1715340614318848
