epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.141357421875,2.4172685146331787,,,
,,0,,,,,,0.1455078125,
,,1,,,,,,0.14404296875,
,,2,,,,,,0.140869140625,
,,3,,,,,,0.15576171875,
,,4,,,,,,0.14453125,
,,5,,,,,,0.14407554268836975,
0,,52,,,,,0.1469932198524475,,2.397256851196289
0,0.0010000000474974513,52,11.719988822937012,0.09128230810165405,,,,,
1,,99,,,0.145263671875,2.35217547416687,,,
,,6,,,,,,0.154052734375,
,,7,,,,,,0.151123046875,
,,8,,,,,,0.153076171875,
,,9,,,,,,0.164794921875,
,,10,,,,,,0.14990234375,
,,11,,,,,,0.1468169391155243,
1,,105,,,,,0.151643306016922,,2.3368747234344482
1,0.0010000000474974513,105,20.826316833496094,0.14583566784858704,,,,,
2,,149,,,0.15283203125,2.2476933002471924,,,
,,12,,,,,,0.15234375,
,,13,,,,,,0.153564453125,
,,14,,,,,,0.146484375,
,,15,,,,,,0.14013671875,
,,16,,,,,,0.14453125,
,,17,,,,,,0.15047213435173035,
2,,158,,,,,0.14928670227527618,,2.186671733856201
2,0.0010000000474974513,158,30.195953369140625,0.14987094700336456,,,,,
3,,199,,,0.173583984375,2.182244062423706,,,
,,18,,,,,,0.16552734375,
,,19,,,,,,0.169677734375,
,,20,,,,,,0.163818359375,
,,21,,,,,,0.1708984375,
,,22,,,,,,0.167724609375,
,,23,,,,,,0.1742308884859085,
3,,211,,,,,0.17011740803718567,,2.153806209564209
3,0.0010000000474974513,211,39.085365295410156,0.1637044996023178,,,,,
4,,249,,,0.17041015625,2.144855499267578,,,
,,24,,,,,,0.2001953125,
,,25,,,,,,0.188720703125,
,,26,,,,,,0.192138671875,
,,27,,,,,,0.195556640625,
,,28,,,,,,0.195556640625,
,,29,,,,,,0.19798964262008667,
4,,264,,,,,0.19492487609386444,,2.1487960815429688
4,0.0010000000474974513,264,48.23828887939453,0.1768413633108139,,,,,
5,,299,,,0.19677734375,2.1275899410247803,,,
,,30,,,,,,0.21142578125,
,,31,,,,,,0.20751953125,
,,32,,,,,,0.206298828125,
,,33,,,,,,0.197998046875,
,,34,,,,,,0.20458984375,
,,35,,,,,,0.21078282594680786,
5,,317,,,,,0.2063922882080078,,2.0864808559417725
5,0.0010000000474974513,317,57.82553482055664,0.1915539801120758,,,,,
6,,349,,,0.214111328125,2.012420654296875,,,
,,36,,,,,,0.25537109375,
,,37,,,,,,0.25439453125,
,,38,,,,,,0.25,
,,39,,,,,,0.239013671875,
,,40,,,,,,0.254150390625,
,,41,,,,,,0.2488577514886856,
6,,370,,,,,0.252724826335907,,1.8923505544662476
6,0.0010000000474974513,370,67.08106994628906,0.21882598102092743,,,,,
7,,399,,,0.265869140625,1.9037622213363647,,,
