epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.564948797225952,,
0,,80,,,,0.10364153981208801,2.556657552719116
0,0.0010000000474974513,80,16.035865783691406,0.08055645227432251,,,
1,,99,,,2.5649333000183105,,
1,,149,,,2.3312740325927734,,
1,,161,,,,0.12110553681850433,2.228508234024048
1,0.0010000000474974513,161,28.378568649291992,0.08859006315469742,,,
2,,199,,,2.154526710510254,,
2,,242,,,,0.1457044631242752,2.116114616394043
2,0.0010000000474974513,242,40.94154357910156,0.1172916442155838,,,
3,,249,,,2.7925350666046143,,
3,,299,,,2.238720417022705,,
3,,323,,,,0.15679389238357544,2.184767723083496
3,0.0010000000474974513,323,52.96870803833008,0.1176893413066864,,,
4,,349,,,2.1684746742248535,,
4,,399,,,2.126669406890869,,
4,,404,,,,0.16124017536640167,2.1032567024230957
4,0.0010000000474974513,404,65.73492431640625,0.12716135382652283,,,
5,,449,,,2.0622036457061768,,
5,,485,,,,0.17336910963058472,1.9523773193359375
5,0.0010000000474974513,485,78.5658187866211,0.1437133103609085,,,
6,,499,,,1.929271936416626,,
6,,549,,,1.920718789100647,,
6,,566,,,,0.18620583415031433,1.9035338163375854
6,0.0010000000474974513,566,91.2509765625,0.16002130508422852,,,
7,,599,,,1.8805276155471802,,
7,,647,,,,0.19777067005634308,1.874681830406189
7,0.0010000000474974513,647,103.65238952636719,0.17389769852161407,,,
8,,649,,,1.8595706224441528,,
8,,699,,,1.6959987878799438,,
8,,728,,,,0.2090451717376709,1.7235267162322998
8,0.0010000000474974513,728,116.34867095947266,0.18879443407058716,,,
9,,749,,,1.6965841054916382,,
9,,799,,,1.6406936645507812,,
9,,809,,,,0.21827201545238495,1.7052514553070068
9,0.0010000000474974513,809,129.20693969726562,0.20185518264770508,,,
10,,849,,,1.6578444242477417,,
10,,890,,,,0.22714278101921082,1.6334228515625
10,0.0010000000474974513,890,142.0074920654297,0.2129354327917099,,,
11,,899,,,1.628560185432434,,
11,,949,,,1.6646925210952759,,
11,,971,,,,0.23606474697589874,1.608819603919983
11,0.0010000000474974513,971,154.68170166015625,0.22187036275863647,,,
12,,999,,,1.5942442417144775,,
12,,1049,,,1.5707178115844727,,
12,,1052,,,,0.24379071593284607,1.6265718936920166
12,0.0010000000474974513,1052,167.04840087890625,0.23033049702644348,,,
13,,1099,,,1.583419919013977,,
13,,1133,,,,0.2502428889274597,1.6096758842468262
13,0.0010000000474974513,1133,179.91616821289062,0.23805534839630127,,,
