epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.574497699737549,,
0,,99,,,2.574721574783325,,
0,,149,,,2.5745491981506348,,
0,,180,,,,0.0770278126001358,2.5748989582061768
0,0.0010000000474974513,180,16.24092674255371,0.07643897831439972,,,
1,,199,,,2.5749576091766357,,
1,,249,,,2.575049638748169,,
1,,299,,,2.574528217315674,,
1,,349,,,2.5747668743133545,,
1,,361,,,,0.07676967978477478,2.5747900009155273
1,0.0010000000474974513,361,29.13945770263672,0.07670944184064865,,,
2,,399,,,2.575260877609253,,
2,,449,,,2.5749082565307617,,
2,,499,,,2.5750644207000732,,
2,,542,,,,0.07669045776128769,2.5748026371002197
2,0.0010000000474974513,542,42.243865966796875,0.07676886767148972,,,
3,,549,,,2.574958562850952,,
3,,599,,,2.5747416019439697,,
3,,649,,,2.574988603591919,,
3,,699,,,2.5746283531188965,,
3,,723,,,,0.07678093016147614,2.574800729751587
3,0.0010000000474974513,723,55.1428337097168,0.07678604125976562,,,
4,,749,,,2.575075387954712,,
4,,799,,,2.5748682022094727,,
4,,849,,,2.5748796463012695,,
4,,899,,,2.5752265453338623,,
4,,904,,,,0.07668521255254745,2.574800968170166
4,0.0010000000474974513,904,68.04226684570312,0.07676855474710464,,,
5,,949,,,2.5748019218444824,,
5,,999,,,2.5746824741363525,,
5,,1049,,,2.5749330520629883,,
5,,1085,,,,0.07674520462751389,2.5748167037963867
5,0.0010000000474974513,1085,80.79829406738281,0.07678332924842834,,,
6,,1099,,,2.5750207901000977,,
6,,1149,,,2.5748488903045654,,
6,,1199,,,2.5747032165527344,,
6,,1249,,,2.5749893188476562,,
6,,1266,,,,0.07678304612636566,2.5747997760772705
6,0.0010000000474974513,1266,93.6251220703125,0.07682438939809799,,,
7,,1299,,,2.5750226974487305,,
7,,1349,,,2.57501220703125,,
7,,1399,,,2.57470440864563,,
7,,1447,,,,0.07687387615442276,2.5748131275177
7,0.0010000000474974513,1447,121.28826141357422,0.07684637606143951,,,
8,,1449,,,2.5748002529144287,,
8,,1499,,,2.574875593185425,,
8,,1549,,,2.5747900009155273,,
