epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.3491201400756836,,
0,,99,,,2.0726513862609863,,
0,,149,,,1.7945586442947388,,
0,,189,,,,0.35076263546943665,1.488566279411316
0,0.0010000000474974513,189,28.66842269897461,0.22131790220737457,,,
1,,199,,,1.7156563997268677,,
1,,249,,,1.664207100868225,,
1,,299,,,1.6515278816223145,,
1,,349,,,1.6441590785980225,,
1,,379,,,,0.40473732352256775,1.3731834888458252
1,0.0010000000474974513,379,51.85462951660156,0.2791576087474823,,,
2,,399,,,1.6130841970443726,,
2,,449,,,1.6298588514328003,,
2,,499,,,1.6281325817108154,,
2,,549,,,1.606046438217163,,
2,,569,,,,0.4137174189090729,1.3549433946609497
2,0.0010000000474974513,569,75.49497985839844,0.2999691665172577,,,
3,,599,,,1.5756168365478516,,
3,,649,,,1.5907002687454224,,
3,,699,,,1.5759313106536865,,
3,,749,,,1.6385072469711304,,
3,,759,,,,0.41775959730148315,1.3432098627090454
3,0.0010000000474974513,759,99.96818542480469,0.310569167137146,,,
4,,799,,,1.5890318155288696,,
4,,849,,,1.628842830657959,,
4,,899,,,1.603875756263733,,
4,,949,,,1.5502771139144897,,
4,,949,,,,0.420981764793396,1.331055760383606
4,0.0010000000474974513,949,124.36375427246094,0.3174133002758026,,,
5,,999,,,1.5696616172790527,,
5,,1049,,,1.5706868171691895,,
5,,1099,,,1.5733999013900757,,
5,,1139,,,,0.4234760105609894,1.3216031789779663
5,0.0010000000474974513,1139,146.67733764648438,0.32259851694107056,,,
6,,1149,,,1.5619632005691528,,
6,,1199,,,1.5484693050384521,,
6,,1249,,,1.5623862743377686,,
6,,1299,,,1.5517759323120117,,
6,,1329,,,,0.4247547388076782,1.3151590824127197
6,0.0010000000474974513,1329,170.82278442382812,0.3269934058189392,,,
7,,1349,,,1.5574465990066528,,
7,,1399,,,1.5861232280731201,,
7,,1449,,,1.5691524744033813,,
7,,1499,,,1.576622486114502,,
7,,1519,,,,0.42544230818748474,1.3096996545791626
7,0.0010000000474974513,1519,195.28677368164062,0.3307095468044281,,,
8,,1549,,,1.561501383781433,,
8,,1599,,,1.543544888496399,,
8,,1649,,,1.5554544925689697,,
8,,1699,,,1.5351920127868652,,
8,,1709,,,,0.4263237416744232,1.302697777748108
8,0.0010000000474974513,1709,220.77392578125,0.3337925374507904,,,
9,,1749,,,1.5516809225082397,,
9,,1799,,,1.532294750213623,,
9,,1849,,,1.551092505455017,,
9,,1899,,,1.5098806619644165,,
9,,1899,,,,0.42756327986717224,1.292742133140564
9,0.0010000000474974513,1899,244.97335815429688,0.3365449011325836,,,
10,,1949,,,1.5398292541503906,,
10,,1999,,,1.5215198993682861,,
10,,2049,,,1.5517479181289673,,
10,,2089,,,,0.429190456867218,1.282969355583191
10,0.0010000000474974513,2089,269.30657958984375,0.33967989683151245,,,
11,,2099,,,1.5081511735916138,,
11,,2149,,,1.5114669799804688,,
11,,2199,,,1.5094741582870483,,
11,,2249,,,1.5182074308395386,,
11,,2279,,,,0.43093764781951904,1.2767789363861084
