epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.574733257293701,,
0,,99,,,2.574521541595459,,
0,,149,,,2.5747220516204834,,
0,,168,,,,0.07621470838785172,2.5748062133789062
0,0.0010000000474974513,168,43.20686340332031,0.07891292124986649,,,
1,,199,,,2.5747809410095215,,
1,,249,,,2.574934720993042,,
1,,299,,,2.574876070022583,,
1,,337,,,,0.07682088017463684,2.5747904777526855
1,0.0010000000474974513,337,80.93359375,0.07790515571832657,,,
2,,349,,,2.574916362762451,,
2,,399,,,2.5746917724609375,,
2,,449,,,2.574958086013794,,
2,,499,,,2.5746822357177734,,
2,,506,,,,0.07689538598060608,2.574774980545044
2,0.0010000000474974513,506,119.35772705078125,0.07760170847177505,,,
3,,549,,,2.57474422454834,,
3,,599,,,2.5746347904205322,,
3,,649,,,2.573713541030884,,
3,,675,,,,0.0877273827791214,2.1088147163391113
3,0.0010000000474974513,675,158.51412963867188,0.07994169741868973,,,
4,,699,,,2.055363893508911,,
4,,749,,,2.56315016746521,,
4,,799,,,2.0771799087524414,,
4,,844,,,,0.10653000324964523,2.0210037231445312
4,0.0010000000474974513,844,197.7184295654297,0.09262485057115555,,,
5,,849,,,2.016907215118408,,
5,,899,,,1.6920948028564453,,
5,,949,,,1.5555195808410645,,
5,,999,,,1.556143879890442,,
5,,1013,,,,0.13519299030303955,1.5713557004928589
5,0.0010000000474974513,1013,236.75482177734375,0.12719951570034027,,,
6,,1049,,,1.5013717412948608,,
6,,1099,,,1.4841482639312744,,
6,,1149,,,1.4752633571624756,,
6,,1182,,,,0.16878479719161987,1.4672925472259521
6,0.0010000000474974513,1182,275.61810302734375,0.16078589856624603,,,
7,,1199,,,1.4446206092834473,,
7,,1249,,,1.4324930906295776,,
7,,1299,,,1.4147748947143555,,
7,,1349,,,1.4063047170639038,,
7,,1351,,,,0.19688555598258972,1.411424994468689
7,0.0010000000474974513,1351,313.84197998046875,0.18844261765480042,,,
8,,1399,,,1.4387444257736206,,
8,,1449,,,1.4115774631500244,,
8,,1499,,,1.4127707481384277,,
8,,1520,,,,0.22051723301410675,1.3877427577972412
8,0.0010000000474974513,1520,351.7921142578125,0.21083302795886993,,,
9,,1549,,,1.3826175928115845,,
9,,1599,,,1.396996259689331,,
9,,1649,,,1.3592283725738525,,
9,,1689,,,,0.2406126707792282,1.3676260709762573
9,0.0010000000474974513,1689,390.4690856933594,0.23038434982299805,,,
10,,1699,,,1.3734755516052246,,
10,,1749,,,1.412900447845459,,
10,,1799,,,1.3580849170684814,,
10,,1849,,,1.3082873821258545,,
10,,1858,,,,0.2586633861064911,1.2972944974899292
10,0.0010000000474974513,1858,427.86114501953125,0.24782046675682068,,,
11,,1899,,,1.2361961603164673,,
11,,1949,,,1.2670053243637085,,
11,,1999,,,1.2414573431015015,,
11,,2027,,,,0.2758461534976959,1.220996379852295
11,0.0010000000474974513,2027,466.8673095703125,0.265453040599823,,,
12,,2049,,,1.2190887928009033,,
12,,2099,,,1.220971941947937,,
12,,2149,,,1.207139015197754,,
12,,2196,,,,0.29165270924568176,1.1991709470748901
12,0.0010000000474974513,2196,505.16864013671875,0.2812846004962921,,,
13,,2199,,,1.1945438385009766,,
13,,2249,,,1.1975092887878418,,
13,,2299,,,1.1843301057815552,,
13,,2349,,,1.1883097887039185,,
13,,2365,,,,0.3057207763195038,1.1816662549972534
13,0.0010000000474974513,2365,544.3733520507812,0.2953539788722992,,,
14,,2399,,,1.179190993309021,,
14,,2449,,,1.2091859579086304,,
14,,2499,,,1.1773149967193604,,
14,,2534,,,,0.31824371218681335,1.1681532859802246
14,0.0010000000474974513,2534,582.75048828125,0.30801862478256226,,,
15,,2549,,,1.1533962488174438,,
15,,2599,,,1.1739996671676636,,
15,,2649,,,1.1523720026016235,,
15,,2699,,,1.1719310283660889,,
15,,2703,,,,0.3294670879840851,1.1526901721954346
15,0.0010000000474974513,2703,621.4896240234375,0.31946858763694763,,,
16,,2749,,,1.1462846994400024,,
16,,2799,,,1.1631804704666138,,
16,,2849,,,1.152480959892273,,
16,,2872,,,,0.33976614475250244,1.1322753429412842
16,0.0010000000474974513,2872,660.6681518554688,0.3298521935939789,,,
17,,2899,,,1.1879546642303467,,
17,,2949,,,1.1390870809555054,,
17,,2999,,,1.151307463645935,,
17,,3041,,,,0.3492357134819031,1.119254231452942
17,0.0010000000474974513,3041,699.2542114257812,0.339330792427063,,,
18,,3049,,,1.1327728033065796,,
18,,3099,,,1.1413657665252686,,
18,,3149,,,1.1272729635238647,,
18,,3199,,,1.1342556476593018,,
18,,3210,,,,0.35770097374916077,1.1226950883865356
18,0.0010000000474974513,3210,737.677978515625,0.34806209802627563,,,
19,,3249,,,1.1282192468643188,,
19,,3299,,,1.1369704008102417,,
19,,3349,,,1.0953333377838135,,
19,,3379,,,,0.3654240071773529,1.115630865097046
