epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5652782917022705,,
0,,99,,,2.4100561141967773,,
0,,149,,,2.1900076866149902,,
0,,180,,,,0.16780036687850952,2.1275482177734375
0,0.0010000000474974513,180,18.28154754638672,0.11633889377117157,,,
1,,199,,,2.5682404041290283,,
1,,249,,,2.5656042098999023,,
1,,299,,,2.5652966499328613,,
1,,349,,,2.329042673110962,,
1,,361,,,,0.1674724817276001,2.297863006591797
1,0.0010000000474974513,361,31.662235260009766,0.10345298796892166,,,
2,,399,,,1.9646999835968018,,
2,,449,,,1.7278965711593628,,
2,,499,,,1.690955638885498,,
2,,542,,,,0.19013379514217377,1.6471672058105469
2,0.0010000000474974513,542,45.03770446777344,0.1616341769695282,,,
3,,549,,,1.6140315532684326,,
3,,599,,,1.6736124753952026,,
3,,649,,,1.6174004077911377,,
3,,699,,,1.6316510438919067,,
3,,723,,,,0.22904692590236664,1.5970457792282104
3,0.0010000000474974513,723,58.648109436035156,0.20298027992248535,,,
4,,749,,,1.616180419921875,,
4,,799,,,1.5697423219680786,,
4,,849,,,1.5602277517318726,,
4,,899,,,1.6051604747772217,,
4,,904,,,,0.2532866895198822,1.5793291330337524
4,0.0010000000474974513,904,72.198486328125,0.22970479726791382,,,
5,,949,,,1.5817159414291382,,
5,,999,,,1.5932834148406982,,
5,,1049,,,1.5873358249664307,,
5,,1085,,,,0.27110034227371216,1.5058401823043823
5,0.0010000000474974513,1085,90.76006317138672,0.24942618608474731,,,
6,,1099,,,1.631112813949585,,
6,,1149,,,1.4773167371749878,,
6,,1199,,,1.4734382629394531,,
6,,1249,,,1.4882452487945557,,
6,,1266,,,,0.286630243062973,1.4611759185791016
6,0.0010000000474974513,1266,104.3251953125,0.2670334279537201,,,
7,,1299,,,1.417829155921936,,
7,,1349,,,1.410204291343689,,
7,,1399,,,1.456617832183838,,
7,,1447,,,,0.3006468117237091,1.4660446643829346
7,0.0010000000474974513,1447,118.00770568847656,0.28357407450675964,,,
8,,1449,,,1.4924346208572388,,
8,,1499,,,1.4124467372894287,,
8,,1549,,,1.4046484231948853,,
8,,1599,,,1.4928804636001587,,
8,,1628,,,,0.3110937774181366,1.5179080963134766
8,0.0010000000474974513,1628,131.360107421875,0.29709428548812866,,,
9,,1649,,,1.4363685846328735,,
9,,1699,,,1.3923559188842773,,
9,,1749,,,1.4163928031921387,,
9,,1799,,,1.4047887325286865,,
9,,1809,,,,0.3197329342365265,1.4059034585952759
9,0.0010000000474974513,1809,145.94723510742188,0.3081505298614502,,,
10,,1849,,,1.4181817770004272,,
10,,1899,,,1.4000221490859985,,
10,,1949,,,1.385345458984375,,
10,,1990,,,,0.3281455636024475,1.3913393020629883
10,0.0010000000474974513,1990,159.5284881591797,0.3176652789115906,,,
11,,1999,,,1.3773024082183838,,
11,,2049,,,1.3590021133422852,,
11,,2099,,,1.3908876180648804,,
11,,2149,,,1.3823727369308472,,
11,,2171,,,,0.3354721665382385,1.3807092905044556
11,0.0010000000474974513,2171,173.16851806640625,0.325879842042923,,,
12,,2199,,,1.3534635305404663,,
12,,2249,,,1.3862504959106445,,
12,,2299,,,1.3324905633926392,,
12,,2349,,,1.3624128103256226,,
12,,2352,,,,0.3421155512332916,1.3452163934707642
12,0.0010000000474974513,2352,186.509765625,0.3331576883792877,,,
13,,2399,,,1.37005615234375,,
13,,2449,,,1.3592790365219116,,
13,,2499,,,1.3682646751403809,,
13,,2533,,,,0.34766682982444763,1.4319888353347778
13,0.0010000000474974513,2533,200.12353515625,0.3396354019641876,,,
14,,2549,,,1.4107052087783813,,
14,,2599,,,1.3445875644683838,,
14,,2649,,,1.349150538444519,,
14,,2699,,,1.3967763185501099,,
14,,2714,,,,0.3522954285144806,1.36297607421875
14,0.0010000000474974513,2714,213.68411254882812,0.34540337324142456,,,
15,,2749,,,1.3239060640335083,,
15,,2799,,,1.337215542793274,,
15,,2849,,,1.3564499616622925,,
15,,2895,,,,0.35707780718803406,1.3339860439300537
15,0.0010000000474974513,2895,227.17242431640625,0.3508153557777405,,,
16,,2899,,,1.3794517517089844,,
16,,2949,,,1.3055356740951538,,
16,,2999,,,1.3124971389770508,,
16,,3049,,,1.2905677556991577,,
16,,3076,,,,0.361845463514328,1.3096684217453003
16,0.0010000000474974513,3076,240.44741821289062,0.3558628261089325,,,
17,,3099,,,1.3451478481292725,,
17,,3149,,,1.2680116891860962,,
17,,3199,,,1.3167802095413208,,
17,,3249,,,1.3129518032073975,,
17,,3257,,,,0.36609193682670593,1.3200242519378662
17,0.0010000000474974513,3257,254.24484252929688,0.36061400175094604,,,
18,,3299,,,1.3348772525787354,,
18,,3349,,,1.3114144802093506,,
18,,3399,,,1.313470721244812,,
18,,3438,,,,0.37021276354789734,1.2942036390304565
18,0.0010000000474974513,3438,267.611572265625,0.3651009798049927,,,
19,,3449,,,1.3407062292099,,
19,,3499,,,1.310697317123413,,
19,,3549,,,1.317100167274475,,
19,,3599,,,1.3346936702728271,,
19,,3619,,,,0.37418627738952637,1.3179583549499512
19,0.0010000000474974513,3619,281.12127685546875,0.36929720640182495,,,
20,,3649,,,1.3199634552001953,,
20,,3699,,,1.2575581073760986,,
20,,3749,,,1.2464184761047363,,
20,,3799,,,1.252224087715149,,
20,,3800,,,,0.3785395324230194,1.235640048980713
20,0.0010000000474974513,3800,294.70428466796875,0.3742338716983795,,,
21,,3849,,,1.2108968496322632,,
21,,3899,,,1.1981348991394043,,
21,,3949,,,1.1710889339447021,,
21,,3981,,,,0.3832184970378876,1.242272973060608
21,0.0010000000474974513,3981,308.293212890625,0.3793931305408478,,,
22,,3999,,,1.2105036973953247,,
22,,4049,,,1.2197519540786743,,
22,,4099,,,1.1334596872329712,,
22,,4149,,,1.1789817810058594,,
22,,4162,,,,0.3875925838947296,1.229640245437622
22,0.0010000000474974513,4162,321.7727355957031,0.3843708336353302,,,
23,,4199,,,1.2066808938980103,,
23,,4249,,,1.2005062103271484,,
23,,4299,,,1.177183985710144,,
23,,4343,,,,0.39172840118408203,1.2164472341537476
23,0.0010000000474974513,4343,335.4248962402344,0.3891938328742981,,,
24,,4349,,,1.2196201086044312,,
24,,4399,,,1.1612378358840942,,
24,,4449,,,1.2233054637908936,,
24,,4499,,,1.1709978580474854,,
24,,4524,,,,0.39607542753219604,1.1615309715270996
24,0.0010000000474974513,4524,348.66656494140625,0.3938540816307068,,,
25,,4549,,,1.1680271625518799,,
25,,4599,,,1.139001727104187,,
25,,4649,,,1.12384033203125,,
25,,4699,,,1.1560242176055908,,
25,,4705,,,,0.4004631042480469,1.1774449348449707
25,0.0010000000474974513,4705,362.4754638671875,0.39837005734443665,,,
26,,4749,,,1.1387935876846313,,
26,,4799,,,1.1312370300292969,,
26,,4849,,,1.1623486280441284,,
26,,4886,,,,0.4047727882862091,1.1354717016220093
26,0.0010000000474974513,4886,375.857177734375,0.40279415249824524,,,
27,,4899,,,1.1521167755126953,,
27,,4949,,,1.1401405334472656,,
27,,4999,,,1.1267204284667969,,
27,,5049,,,1.1242165565490723,,
27,,5067,,,,0.40883249044418335,1.1465948820114136
27,0.0010000000474974513,5067,389.4542236328125,0.4070006310939789,,,
28,,5099,,,1.103232979774475,,
28,,5149,,,1.0984894037246704,,
28,,5199,,,1.1283037662506104,,
28,,5248,,,,0.4124842882156372,1.1555137634277344
28,0.0010000000474974513,5248,403.08746337890625,0.4110378921031952,,,
29,,5249,,,1.1772644519805908,,
29,,5299,,,1.121055245399475,,
29,,5349,,,1.1269561052322388,,
29,,5399,,,1.1479922533035278,,
29,,5429,,,,0.4160012900829315,1.1367661952972412
29,0.0010000000474974513,5429,416.7093811035156,0.41487595438957214,,,
30,,5449,,,1.1190038919448853,,
30,,5499,,,1.1195998191833496,,
30,,5549,,,1.0917547941207886,,
30,,5599,,,1.0871161222457886,,
30,,5610,,,,0.4192183315753937,1.1582205295562744
30,0.0010000000474974513,5610,430.3345947265625,0.4185361862182617,,,
31,,5649,,,1.1012741327285767,,
31,,5699,,,1.093080759048462,,
31,,5749,,,1.1314655542373657,,
31,,5791,,,,0.42235076427459717,1.1184446811676025
31,0.0010000000474974513,5791,443.85418701171875,0.4220658242702484,,,
32,,5799,,,1.1298828125,,
32,,5849,,,1.1141318082809448,,
32,,5899,,,1.1427849531173706,,
32,,5949,,,1.135798692703247,,
32,,5972,,,,0.42553406953811646,1.1224219799041748
32,0.0010000000474974513,5972,457.5631103515625,0.4254435896873474,,,
33,,5999,,,1.0627256631851196,,
33,,6049,,,1.09601628780365,,
33,,6099,,,1.0965139865875244,,
33,,6149,,,1.0655324459075928,,
33,,6153,,,,0.42871344089508057,1.0962964296340942
33,0.0010000000474974513,6153,471.201171875,0.4286867380142212,,,
34,,6199,,,1.1028019189834595,,
34,,6249,,,1.0563361644744873,,
34,,6299,,,1.0562100410461426,,
34,,6334,,,,0.431718111038208,1.1178205013275146
34,0.0010000000474974513,6334,484.7769775390625,0.4317895472049713,,,
35,,6349,,,1.108278751373291,,
35,,6399,,,1.113783836364746,,
35,,6449,,,1.0637181997299194,,
35,,6499,,,1.1110775470733643,,
35,,6515,,,,0.43453311920166016,1.1016936302185059
35,0.0010000000474974513,6515,498.43896484375,0.4347898066043854,,,
36,,6549,,,1.1141732931137085,,
36,,6599,,,1.0771335363388062,,
36,,6649,,,1.1020681858062744,,
36,,6696,,,,0.4373011887073517,1.0831845998764038
36,0.0010000000474974513,6696,511.98333740234375,0.43768468499183655,,,
37,,6699,,,1.110588550567627,,
37,,6749,,,1.0990357398986816,,
37,,6799,,,1.0557286739349365,,
37,,6849,,,1.0873264074325562,,
37,,6877,,,,0.4399246871471405,1.1029132604599
37,0.0010000000474974513,6877,525.6207275390625,0.4404240548610687,,,
38,,6899,,,1.0969630479812622,,
38,,6949,,,1.0890445709228516,,
38,,6999,,,1.0786771774291992,,
38,,7049,,,1.034387230873108,,
38,,7058,,,,0.4421091675758362,1.144317865371704
38,0.0010000000474974513,7058,539.274169921875,0.44308656454086304,,,
39,,7099,,,1.1056994199752808,,
39,,7149,,,1.0880138874053955,,
39,,7199,,,1.0634669065475464,,
39,,7239,,,,0.4441908299922943,1.0977674722671509
39,0.0010000000474974513,7239,552.9522094726562,0.4456413984298706,,,
40,,7249,,,1.086503505706787,,
40,,7299,,,1.062639594078064,,
40,,7349,,,1.0960609912872314,,
40,,7399,,,1.09037184715271,,
40,,7420,,,,0.44659894704818726,1.0641361474990845
40,0.0010000000474974513,7420,566.259033203125,0.44813141226768494,,,
41,,7449,,,1.0730079412460327,,
41,,7499,,,1.0351146459579468,,
41,,7549,,,1.026236653327942,,
41,,7599,,,1.0712424516677856,,
41,,7601,,,,0.44894954562187195,1.0826741456985474
41,0.0010000000474974513,7601,579.974365234375,0.4505244493484497,,,
42,,7649,,,1.0594146251678467,,
42,,7699,,,1.079819679260254,,
42,,7749,,,1.1060500144958496,,
42,,7782,,,,0.45111092925071716,1.0758063793182373
42,0.0010000000474974513,7782,593.6513671875,0.4528597593307495,,,
43,,7799,,,1.0446339845657349,,
43,,7849,,,1.0293635129928589,,
43,,7899,,,1.0682369470596313,,
43,,7949,,,1.0321390628814697,,
43,,7963,,,,0.45328477025032043,1.0741376876831055
43,0.0010000000474974513,7963,607.1173095703125,0.45510992407798767,,,
44,,7999,,,1.0582842826843262,,
44,,8049,,,1.0593265295028687,,
44,,8099,,,1.1129094362258911,,
44,,8144,,,,0.45537662506103516,1.0674413442611694
