epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5747714042663574,,
0,,99,,,2.5746407508850098,,
0,,149,,,2.574906587600708,,
0,,199,,,2.574941396713257,,
0,,249,,,2.5752315521240234,,
0,,299,,,2.574906826019287,,
0,,349,,,2.574716091156006,,
0,,399,,,2.5750579833984375,,
0,,449,,,2.574967622756958,,
0,,499,,,2.574636697769165,,
0,,549,,,2.574962615966797,,
0,,599,,,2.574740409851074,,
0,,649,,,2.574890375137329,,
0,,674,,,,0.07630223035812378,2.5748281478881836
0,0.0010000000474974513,674,106.53069305419922,0.07688365131616592,,,
1,,699,,,2.574537754058838,,
1,,749,,,2.5747063159942627,,
1,,799,,,2.57483172416687,,
1,,849,,,2.5747532844543457,,
1,,899,,,2.5748846530914307,,
1,,949,,,2.574655771255493,,
1,,999,,,2.574777126312256,,
1,,1049,,,2.574904203414917,,
1,,1099,,,2.574681282043457,,
1,,1149,,,2.5747885704040527,,
1,,1199,,,2.574951410293579,,
1,,1249,,,2.5748367309570312,,
1,,1299,,,2.574805974960327,,
1,,1349,,,2.575028657913208,,
1,,1349,,,,0.0768885388970375,2.574842691421509
1,0.0010000000474974513,1349,205.50498962402344,0.07682263106107712,,,
