epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.208573579788208,,
0,,99,,,2.042362689971924,,
0,,147,,,,0.267607182264328,1.7392579317092896
0,0.0010000000474974513,147,37.50105285644531,0.15934441983699799,,,
1,,149,,,1.7028467655181885,,
1,,199,,,1.5887104272842407,,
1,,249,,,1.550176739692688,,
1,,295,,,,0.3023594915866852,1.4874533414840698
1,0.0010000000474974513,295,68.43409729003906,0.24120977520942688,,,
2,,299,,,1.5137522220611572,,
2,,349,,,1.4739595651626587,,
2,,399,,,1.489324688911438,,
2,,443,,,,0.32408902049064636,1.4491348266601562
2,0.0010000000474974513,443,100.4736557006836,0.2784792482852936,,,
3,,449,,,1.4799810647964478,,
3,,499,,,1.440750002861023,,
3,,549,,,1.42152738571167,,
3,,591,,,,0.338761568069458,1.3873169422149658
3,0.0010000000474974513,591,132.91439819335938,0.3017609417438507,,,
4,,599,,,1.368565320968628,,
4,,649,,,1.3635116815567017,,
4,,699,,,1.3135451078414917,,
4,,739,,,,0.3542143404483795,1.3084651231765747
4,0.0010000000474974513,739,164.84747314453125,0.3243755102157593,,,
5,,749,,,1.310975432395935,,
5,,799,,,1.297874927520752,,
5,,849,,,1.2865394353866577,,
5,,887,,,,0.36882033944129944,1.2927939891815186
5,0.0010000000474974513,887,196.3212890625,0.3423733413219452,,,
6,,899,,,1.2935236692428589,,
6,,949,,,1.3040462732315063,,
6,,999,,,1.302333116531372,,
6,,1035,,,,0.37983956933021545,1.271776556968689
6,0.0010000000474974513,1035,227.7842254638672,0.3557565212249756,,,
7,,1049,,,1.293114423751831,,
7,,1099,,,1.2693331241607666,,
7,,1149,,,1.2731750011444092,,
7,,1183,,,,0.3881893455982208,1.2678444385528564
7,0.0010000000474974513,1183,260.2086181640625,0.3661392629146576,,,
8,,1199,,,1.2406790256500244,,
8,,1249,,,1.259812355041504,,
8,,1299,,,1.2303835153579712,,
8,,1331,,,,0.39473024010658264,1.2534282207489014
8,0.0010000000474974513,1331,287.84112548828125,0.37456631660461426,,,
9,,1349,,,1.256054162979126,,
9,,1399,,,1.2553024291992188,,
9,,1449,,,1.2414448261260986,,
9,,1479,,,,0.40039971470832825,1.2450040578842163
9,0.0010000000474974513,1479,319.80133056640625,0.3816188871860504,,,
10,,1499,,,1.217635154724121,,
10,,1549,,,1.255222201347351,,
10,,1599,,,1.256381630897522,,
10,,1627,,,,0.4052252769470215,1.2376545667648315
10,0.0010000000474974513,1627,352.265869140625,0.38766977190971375,,,
11,,1649,,,1.2316416501998901,,
11,,1699,,,1.238236904144287,,
11,,1749,,,1.249526023864746,,
11,,1775,,,,0.40936946868896484,1.2347019910812378
11,0.0010000000474974513,1775,384.2878112792969,0.39298853278160095,,,
12,,1799,,,1.245702862739563,,
12,,1849,,,1.2337162494659424,,
12,,1899,,,1.2394280433654785,,
12,,1923,,,,0.4132064878940582,1.22291898727417
12,0.0010000000474974513,1923,416.69866943359375,0.39767831563949585,,,
13,,1949,,,1.2315603494644165,,
13,,1999,,,1.2420252561569214,,
13,,2049,,,1.2296676635742188,,
13,,2071,,,,0.4167026877403259,1.2169207334518433
13,0.0010000000474974513,2071,449.00445556640625,0.40201297402381897,,,
14,,2099,,,1.2370779514312744,,
14,,2149,,,1.2303740978240967,,
14,,2199,,,1.2026621103286743,,
14,,2219,,,,0.41989755630493164,1.2074394226074219
14,0.0010000000474974513,2219,479.88299560546875,0.4058898389339447,,,
15,,2249,,,1.229439616203308,,
15,,2299,,,1.1832255125045776,,
15,,2349,,,1.224689245223999,,
15,,2367,,,,0.4229426383972168,1.2012939453125
15,0.0010000000474974513,2367,511.89599609375,0.4094371199607849,,,
16,,2399,,,1.1904628276824951,,
16,,2449,,,1.2382142543792725,,
16,,2499,,,1.2087267637252808,,
16,,2515,,,,0.4258420467376709,1.2024949789047241
16,0.0010000000474974513,2515,543.9483032226562,0.4128257930278778,,,
17,,2549,,,1.1924920082092285,,
17,,2599,,,1.2013710737228394,,
17,,2649,,,1.2229572534561157,,
17,,2663,,,,0.4285593032836914,1.1891186237335205
17,0.0010000000474974513,2663,574.7197265625,0.41607433557510376,,,
18,,2699,,,1.2236084938049316,,
18,,2749,,,1.205780267715454,,
18,,2799,,,1.1651867628097534,,
18,,2811,,,,0.43116724491119385,1.197613000869751
18,0.0010000000474974513,2811,607.1808471679688,0.4191865026950836,,,
19,,2849,,,1.1881611347198486,,
19,,2899,,,1.1978787183761597,,
19,,2949,,,1.1516618728637695,,
19,,2959,,,,0.4341617226600647,1.1392009258270264
19,0.0010000000474974513,2959,639.759521484375,0.42270421981811523,,,
20,,2999,,,1.1435604095458984,,
20,,3049,,,1.156268835067749,,
20,,3099,,,1.1468217372894287,,
20,,3107,,,,0.4375064969062805,1.126574993133545
20,0.0010000000474974513,3107,672.6427001953125,0.4265710413455963,,,
21,,3149,,,1.1005847454071045,,
21,,3199,,,1.0731453895568848,,
21,,3249,,,1.097177267074585,,
21,,3255,,,,0.4409053325653076,1.0962255001068115
21,0.0010000000474974513,3255,704.1778564453125,0.4304008185863495,,,
22,,3299,,,1.1245750188827515,,
22,,3349,,,1.104576826095581,,
22,,3399,,,1.0739467144012451,,
22,,3403,,,,0.4443375766277313,1.0879610776901245
22,0.0010000000474974513,3403,736.8651123046875,0.43417173624038696,,,
23,,3449,,,1.0987180471420288,,
23,,3499,,,1.0787129402160645,,
23,,3549,,,1.0957914590835571,,
23,,3551,,,,0.4476625621318817,1.0763496160507202
23,0.0010000000474974513,3551,768.984375,0.4377494156360626,,,
24,,3599,,,1.1115657091140747,,
24,,3649,,,1.0844793319702148,,
24,,3699,,,1.0749530792236328,,
24,,3699,,,,0.45094043016433716,1.0673584938049316
24,0.0010000000474974513,3699,800.6356201171875,0.44131752848625183,,,
25,,3749,,,1.0977121591567993,,
25,,3799,,,1.0937511920928955,,
25,,3847,,,,0.4541095197200775,1.0673500299453735
25,0.0010000000474974513,3847,832.4619750976562,0.44480445981025696,,,
26,,3849,,,1.0661065578460693,,
26,,3899,,,1.066354513168335,,
26,,3949,,,1.059099793434143,,
26,,3995,,,,0.4571487009525299,1.0603210926055908
26,0.0010000000474974513,3995,865.0722045898438,0.44819554686546326,,,
27,,3999,,,1.0609005689620972,,
27,,4049,,,1.0548402070999146,,
27,,4099,,,1.0617382526397705,,
