epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,3.624573230743408,,
0,,99,,,3.494349241256714,,
0,,149,,,3.103116035461426,,
0,,168,,,,0.1673634946346283,3.017298936843872
0,0.0010000000474974513,168,37.95085906982422,0.14717194437980652,,,
1,,199,,,2.693732738494873,,
1,,249,,,2.809022903442383,,
1,,299,,,2.640622138977051,,
1,,337,,,,0.1904662549495697,2.633842706680298
1,0.0010000000474974513,337,71.08512878417969,0.17542056739330292,,,
2,,349,,,2.6202592849731445,,
2,,399,,,2.7076079845428467,,
2,,449,,,2.6178789138793945,,
2,,499,,,2.678788900375366,,
2,,506,,,,0.24054129421710968,2.591193675994873
2,0.0010000000474974513,506,104.29156494140625,0.21926285326480865,,,
3,,549,,,2.5230743885040283,,
3,,599,,,2.551316976547241,,
3,,649,,,2.585646152496338,,
3,,675,,,,0.2574246823787689,2.6388964653015137
3,0.0010000000474974513,675,137.92544555664062,0.2500854730606079,,,
4,,699,,,2.5937352180480957,,
4,,749,,,2.553565263748169,,
4,,799,,,2.5982210636138916,,
4,,844,,,,0.3043024241924286,2.494738817214966
4,0.0010000000474974513,844,171.07504272460938,0.2807237505912781,,,
5,,849,,,2.4546308517456055,,
5,,899,,,2.4966604709625244,,
5,,949,,,2.5024774074554443,,
5,,999,,,2.6236939430236816,,
5,,1013,,,,0.2969472408294678,2.533970355987549
5,0.0010000000474974513,1013,204.60116577148438,0.28246331214904785,,,
6,,1049,,,14.969980239868164,,
6,,1099,,,3.9215993881225586,,
6,,1149,,,2.7494871616363525,,
6,,1182,,,,0.23721793293952942,2.601440906524658
6,0.0010000000474974513,1182,238.02638244628906,0.158476322889328,,,
7,,1199,,,2.669509172439575,,
7,,1249,,,2.2762327194213867,,
7,,1299,,,2.1232218742370605,,
7,,1349,,,2.08071231842041,,
7,,1351,,,,0.3506339490413666,2.109004020690918
7,0.0010000000474974513,1351,271.63897705078125,0.3142489790916443,,,
8,,1399,,,2.055513858795166,,
8,,1449,,,2.0776965618133545,,
8,,1499,,,2.067089080810547,,
8,,1520,,,,0.3503586947917938,2.0549819469451904
8,0.0010000000474974513,1520,304.15679931640625,0.3528972268104553,,,
9,,1549,,,2.051927089691162,,
9,,1599,,,2.0194692611694336,,
9,,1649,,,2.003216028213501,,
9,,1689,,,,0.3577471673488617,1.9936400651931763
9,0.0010000000474974513,1689,337.66131591796875,0.3576599061489105,,,
10,,1699,,,2.038086175918579,,
10,,1749,,,1.9737067222595215,,
10,,1799,,,1.981431007385254,,
10,,1849,,,1.971261978149414,,
10,,1858,,,,0.3654819130897522,1.9529435634613037
10,0.0010000000474974513,1858,371.5959167480469,0.35991302132606506,,,
11,,1899,,,1.9477015733718872,,
11,,1949,,,1.9062061309814453,,
11,,1999,,,1.9578222036361694,,
11,,2027,,,,0.37262409925460815,1.9455583095550537
11,0.0010000000474974513,2027,405.31585693359375,0.3682199716567993,,,
12,,2049,,,1.9235570430755615,,
12,,2099,,,1.9129513502120972,,
12,,2149,,,1.8980354070663452,,
12,,2196,,,,0.3867650628089905,1.8850432634353638
12,0.0010000000474974513,2196,439.30181884765625,0.38043197989463806,,,
13,,2199,,,1.9344953298568726,,
13,,2249,,,1.8470444679260254,,
13,,2299,,,1.8418843746185303,,
13,,2349,,,1.8432954549789429,,
13,,2365,,,,0.40195634961128235,1.8239178657531738
13,0.0010000000474974513,2365,473.10406494140625,0.3952255845069885,,,
14,,2399,,,1.8277826309204102,,
14,,2449,,,1.8226373195648193,,
14,,2499,,,1.8398350477218628,,
14,,2534,,,,0.40727895498275757,1.7960610389709473
14,0.0010000000474974513,2534,505.9822998046875,0.40761831402778625,,,
15,,2549,,,1.7997945547103882,,
15,,2599,,,1.7895557880401611,,
15,,2649,,,1.7437094449996948,,
15,,2699,,,1.721419334411621,,
15,,2703,,,,0.42569366097450256,1.7470757961273193
15,0.0010000000474974513,2703,539.3544921875,0.4212319552898407,,,
16,,2749,,,1.7416802644729614,,
16,,2799,,,1.7296794652938843,,
16,,2849,,,1.666096568107605,,
16,,2872,,,,0.42879971861839294,1.7228707075119019
16,0.0010000000474974513,2872,573.150634765625,0.4300611913204193,,,
17,,2899,,,1.7082600593566895,,
17,,2949,,,1.7094694375991821,,
17,,2999,,,1.6682299375534058,,
17,,3041,,,,0.43849310278892517,1.6723029613494873
17,0.0010000000474974513,3041,607.0504150390625,0.4352664351463318,,,
18,,3049,,,1.659694790840149,,
18,,3099,,,1.6744447946548462,,
18,,3149,,,1.6649116277694702,,
18,,3199,,,1.6746937036514282,,
18,,3210,,,,0.4349350333213806,1.6466985940933228
18,0.0010000000474974513,3210,639.5974731445312,0.4391544461250305,,,
19,,3249,,,1.6381752490997314,,
19,,3299,,,1.6039707660675049,,
19,,3349,,,1.6260846853256226,,
19,,3379,,,,0.4444372057914734,1.6106458902359009
19,0.0010000000474974513,3379,673.200439453125,0.4426473081111908,,,
20,,3399,,,1.5835553407669067,,
20,,3449,,,1.6176093816757202,,
20,,3499,,,1.5667705535888672,,
20,,3548,,,,0.44817054271698,1.5962283611297607
20,0.0010000000474974513,3548,707.0698852539062,0.4453868269920349,,,
21,,3549,,,1.6190965175628662,,
21,,3599,,,1.6225769519805908,,
21,,3649,,,1.5961154699325562,,
21,,3699,,,1.5538822412490845,,
21,,3717,,,,0.45010316371917725,1.5833288431167603
21,0.0010000000474974513,3717,740.7608032226562,0.446867436170578,,,
22,,3749,,,1.597522497177124,,
