epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.13916015625,3.6358563899993896,,,
,,0,,,,,,0.143798828125,
,,1,,,,,,0.149169921875,
,,2,,,,,,0.144287109375,
,,3,,,,,,0.13037109375,
,,4,,,,,,0.146484375,
,,5,,,,,,0.1468169391155243,
0,,52,,,,,0.1431637406349182,,3.71329927444458
0,0.0010000000474974513,52,13.200684547424316,0.09791035205125809,,,,,
1,,99,,,0.1962890625,2.925697088241577,,,
,,6,,,,,,0.2119140625,
,,7,,,,,,0.20654296875,
,,8,,,,,,0.216552734375,
,,9,,,,,,0.20849609375,
,,10,,,,,,0.222412109375,
,,11,,,,,,0.2214438021183014,
1,,105,,,,,0.2153978943824768,,2.750492572784424
1,0.0010000000474974513,105,23.736194610595703,0.18370553851127625,,,,,
2,,149,,,0.263671875,2.7343766689300537,,,
,,12,,,,,,0.287353515625,
,,13,,,,,,0.2890625,
,,14,,,,,,0.2880859375,
,,15,,,,,,0.27783203125,
,,16,,,,,,0.29296875,
,,17,,,,,,0.2857142984867096,
2,,158,,,,,0.28651684522628784,,2.5239102840423584
2,0.0010000000474974513,158,35.19043731689453,0.23574794828891754,,,,,
3,,199,,,0.27978515625,2.537384510040283,,,
,,18,,,,,,0.308837890625,
,,19,,,,,,0.2978515625,
,,20,,,,,,0.301025390625,
,,21,,,,,,0.286865234375,
,,22,,,,,,0.31494140625,
,,23,,,,,,0.30855923891067505,
3,,211,,,,,0.3064848780632019,,2.342060089111328
3,0.0010000000474974513,211,45.48546600341797,0.2846364974975586,,,,,
4,,249,,,0.30712890625,2.4063572883605957,,,
,,24,,,,,,0.30615234375,
,,25,,,,,,0.309326171875,
,,26,,,,,,0.306640625,
,,27,,,,,,0.306884765625,
,,28,,,,,,0.31787109375,
,,29,,,,,,0.3103868365287781,
4,,264,,,,,0.3102933168411255,,2.3105552196502686
4,0.0010000000474974513,264,56.875213623046875,0.30009958148002625,,,,,
5,,299,,,0.30224609375,2.3948163986206055,,,
,,30,,,,,,0.3154296875,
,,31,,,,,,0.308349609375,
,,32,,,,,,0.309326171875,
,,33,,,,,,0.30224609375,
,,34,,,,,,0.31640625,
,,35,,,,,,0.3091684579849243,
5,,317,,,,,0.3114716112613678,,2.2954139709472656
5,0.0010000000474974513,317,67.45802307128906,0.30456504225730896,,,,,
6,,349,,,0.312255859375,2.322969436645508,,,
,,36,,,,,,0.30615234375,
,,37,,,,,,0.299072265625,
,,38,,,,,,0.305419921875,
,,39,,,,,,0.311279296875,
,,40,,,,,,0.315673828125,
,,41,,,,,,0.30795004963874817,
6,,370,,,,,0.30823129415512085,,2.3136961460113525
6,0.0010000000474974513,370,78.10800170898438,0.30673232674598694,,,,,
7,,399,,,0.3046875,2.3835031986236572,,,
,,42,,,,,,0.32421875,
,,43,,,,,,0.308349609375,
,,44,,,,,,0.314453125,
,,45,,,,,,0.305419921875,
,,46,,,,,,0.3212890625,
,,47,,,,,,0.3186110258102417,
7,,423,,,,,0.3156588077545166,,2.273162841796875
7,0.0010000000474974513,423,88.72445678710938,0.3086494207382202,,,,,
8,,449,,,0.308349609375,2.37423038482666,,,
,,48,,,,,,0.3134765625,
,,49,,,,,,0.310791015625,
,,50,,,,,,0.313720703125,
,,51,,,,,,0.29296875,
,,52,,,,,,0.32177734375,
,,53,,,,,,0.3088638484477997,
8,,476,,,,,0.3133232295513153,,2.2449188232421875
8,0.0010000000474974513,476,99.42385864257812,0.3101433515548706,,,,,
9,,499,,,0.3173828125,2.3034493923187256,,,
,,54,,,,,,0.327392578125,
,,55,,,,,,0.310791015625,
,,56,,,,,,0.322998046875,
,,57,,,,,,0.313232421875,
,,58,,,,,,0.32958984375,
,,59,,,,,,0.3195248246192932,
9,,529,,,,,0.32220259308815,,2.219954013824463
9,0.0010000000474974513,529,109.80482482910156,0.3131125271320343,,,,,
10,,549,,,0.32421875,2.3204100131988525,,,
,,60,,,,,,0.322998046875,
,,61,,,,,,0.314208984375,
,,62,,,,,,0.319091796875,
,,63,,,,,,0.316650390625,
,,64,,,,,,0.325439453125,
,,65,,,,,,0.32318001985549927,
10,,582,,,,,0.3194462060928345,,2.2024505138397217
10,0.0010000000474974513,582,120.12348937988281,0.3170987069606781,,,,,
11,,599,,,0.31689453125,2.2874863147735596,,,
,,66,,,,,,0.335693359375,
,,67,,,,,,0.308837890625,
,,68,,,,,,0.328857421875,
,,69,,,,,,0.31494140625,
,,70,,,,,,0.326904296875,
,,71,,,,,,0.33749619126319885,
11,,635,,,,,0.3258637487888336,,2.190613031387329
11,0.0010000000474974513,635,130.62161254882812,0.32098668813705444,,,,,
12,,649,,,0.333984375,2.231374502182007,,,
,,72,,,,,,0.330322265625,
,,73,,,,,,0.328369140625,
,,74,,,,,,0.329345703125,
,,75,,,,,,0.317626953125,
,,76,,,,,,0.337646484375,
,,77,,,,,,0.3274444043636322,
12,,688,,,,,0.33139756321907043,,2.143832206726074
12,0.0010000000474974513,688,141.36074829101562,0.3226793706417084,,,,,
13,,699,,,0.332275390625,2.193538188934326,,,
,,78,,,,,,0.3388671875,
,,79,,,,,,0.31689453125,
