epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.11669921875,3.5240962505340576,,,
0,,99,,,0.1318359375,3.5469810962677,,,
,,0,,,,,,0.13720703125,
,,1,,,,,,0.14697265625,
,,2,,,,,,0.15283203125,
,,3,,,,,,0.13818359375,
,,4,,,,,,0.13525390625,
,,5,,,,,,0.1494140625,
,,6,,,,,,0.15869140625,
,,7,,,,,,0.16064453125,
,,8,,,,,,0.150390625,
,,9,,,,,,0.14599609375,
,,10,,,,,,0.1435546875,
,,11,,,,,,0.14412955939769745,
0,,104,,,,,0.14758238196372986,,3.802765130996704
0,0.0010000000474974513,104,13.163756370544434,0.1127118170261383,,,,,
1,,149,,,0.1474609375,3.680405378341675,,,
1,,199,,,0.17626953125,3.3718554973602295,,,
,,12,,,,,,0.14990234375,
,,13,,,,,,0.16552734375,
,,14,,,,,,0.16650390625,
,,15,,,,,,0.15625,
,,16,,,,,,0.14599609375,
,,17,,,,,,0.14990234375,
,,18,,,,,,0.15234375,
,,19,,,,,,0.15234375,
,,20,,,,,,0.1689453125,
,,21,,,,,,0.15234375,
,,22,,,,,,0.14892578125,
,,23,,,,,,0.1595141738653183,
1,,209,,,,,0.15690359473228455,,3.3415565490722656
1,0.0010000000474974513,209,23.364517211914062,0.15182779729366302,,,,,
2,,249,,,0.1630859375,2.982863426208496,,,
2,,299,,,0.1865234375,2.9346842765808105,,,
,,24,,,,,,0.1884765625,
,,25,,,,,,0.18310546875,
,,26,,,,,,0.1748046875,
,,27,,,,,,0.18603515625,
,,28,,,,,,0.1748046875,
,,29,,,,,,0.1884765625,
,,30,,,,,,0.185546875,
,,31,,,,,,0.1640625,
,,32,,,,,,0.18115234375,
,,33,,,,,,0.173828125,
,,34,,,,,,0.181640625,
,,35,,,,,,0.18218623101711273,
2,,314,,,,,0.1800277680158615,,2.9619674682617188
2,0.0010000000474974513,314,33.8800163269043,0.16470982134342194,,,,,
3,,349,,,0.1884765625,2.9232263565063477,,,
3,,399,,,0.216796875,2.9722158908843994,,,
,,36,,,,,,0.24267578125,
,,37,,,,,,0.24560546875,
,,38,,,,,,0.2314453125,
,,39,,,,,,0.23681640625,
