epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
,,0,,,,,,0.0654296875,
,,1,,,,,,0.072265625,
,,2,,,,,,0.0791015625,
,,3,,,,,,0.0732421875,
,,4,,,,,,0.0986328125,
,,5,,,,,,0.0849609375,
,,6,,,,,,0.0830078125,
,,7,,,,,,0.0869140625,
,,8,,,,,,0.072265625,
,,9,,,,,,0.0732421875,
,,10,,,,,,0.0869140625,
,,11,,,,,,0.07281553745269775,
0,,46,,,,,0.0774175226688385,,10409.4658203125
0,0.009999999776482582,46,8.556492805480957,0.07700784504413605,,,,,
1,,49,,,0.068359375,8407.6337890625,,,
,,12,,,,,,0.072265625,
,,13,,,,,,0.0927734375,
,,14,,,,,,0.0791015625,
,,15,,,,,,0.0869140625,
,,16,,,,,,0.087890625,
,,17,,,,,,0.080078125,
,,18,,,,,,0.080078125,
,,19,,,,,,0.0712890625,
,,20,,,,,,0.0673828125,
,,21,,,,,,0.064453125,
,,22,,,,,,0.0849609375,
,,23,,,,,,0.06957928836345673,
1,,93,,,,,0.0764496698975563,,9.05996322631836
1,0.009999999776482582,93,12.786185264587402,0.07615305483341217,,,,,
2,,99,,,0.08203125,120.94432067871094,,,
,,24,,,,,,0.08984375,
,,25,,,,,,0.0712890625,
,,26,,,,,,0.076171875,
,,27,,,,,,0.080078125,
,,28,,,,,,0.0751953125,
,,29,,,,,,0.08203125,
,,30,,,,,,0.0712890625,
,,31,,,,,,0.078125,
,,32,,,,,,0.0634765625,
,,33,,,,,,0.0693359375,
,,34,,,,,,0.08984375,
,,35,,,,,,0.06148867309093475,
2,,140,,,,,0.07761740684509277,,2.8265554904937744
2,0.009999999776482582,140,17.185115814208984,0.07704730331897736,,,,,
3,,149,,,0.083984375,50.18678665161133,,,
,,36,,,,,,0.076171875,
,,37,,,,,,0.0732421875,
,,38,,,,,,0.1015625,
,,39,,,,,,0.0693359375,
,,40,,,,,,0.087890625,
,,41,,,,,,0.08203125,
,,42,,,,,,0.07421875,
,,43,,,,,,0.08203125,
,,44,,,,,,0.076171875,
,,45,,,,,,0.0810546875,
,,46,,,,,,0.08203125,
,,47,,,,,,0.08090614527463913,
3,,187,,,,,0.07743856310844421,,2.6844170093536377
3,0.009999999776482582,187,21.59696388244629,0.07751809805631638,,,,,
4,,199,,,0.076171875,31.97552490234375,,,
,,48,,,,,,0.076171875,
,,49,,,,,,0.0732421875,
,,50,,,,,,0.1015625,
,,51,,,,,,0.0693359375,
,,52,,,,,,0.087890625,
,,53,,,,,,0.08203125,
,,54,,,,,,0.07421875,
,,55,,,,,,0.08203125,
,,56,,,,,,0.076171875,
,,57,,,,,,0.0810546875,
,,58,,,,,,0.08203125,
,,59,,,,,,0.08090614527463913,
4,,234,,,,,0.07743856310844421,,2.9276790618896484
4,0.009999999776482582,234,25.934694290161133,0.0770551934838295,,,,,
5,,249,,,0.0908203125,22.329069137573242,,,
,,60,,,,,,0.076171875,
,,61,,,,,,0.0732421875,
,,62,,,,,,0.1015625,
,,63,,,,,,0.0693359375,
,,64,,,,,,0.087890625,
,,65,,,,,,0.08203125,
,,66,,,,,,0.07421875,
,,67,,,,,,0.08203125,
,,68,,,,,,0.076171875,
,,69,,,,,,0.0810546875,
,,70,,,,,,0.08203125,
,,71,,,,,,0.08090614527463913,
5,,281,,,,,0.07743856310844421,,3.233887195587158
5,0.009999999776482582,281,30.30929183959961,0.07708675414323807,,,,,
6,,299,,,0.05859375,17.108097076416016,,,
,,72,,,,,,0.0712890625,
,,73,,,,,,0.068359375,
,,74,,,,,,0.0849609375,
,,75,,,,,,0.078125,
,,76,,,,,,0.060546875,
,,77,,,,,,0.0732421875,
,,78,,,,,,0.0791015625,
,,79,,,,,,0.076171875,
,,80,,,,,,0.0751953125,
,,81,,,,,,0.0634765625,
,,82,,,,,,0.0810546875,
,,83,,,,,,0.0663430392742157,
6,,328,,,,,0.07658643275499344,,3.5482852458953857
6,0.009999999776482582,328,34.650848388671875,0.07617935538291931,,,,,
7,,349,,,0.080078125,14.084924697875977,,,
