epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.115234375,2.4490466117858887,,,
,,0,,,,,,0.1181640625,
,,1,,,,,,0.134521484375,
,,2,,,,,,0.110595703125,
,,3,,,,,,0.11572265625,
,,4,,,,,,0.123046875,
,,5,,,,,,0.12458117306232452,
0,,52,,,,,0.12271177768707275,,2.3842811584472656
0,0.0010000000474974513,52,10.198139190673828,0.09152545779943466,,,,,
1,,99,,,0.16064453125,2.210167169570923,,,
,,6,,,,,,0.17431640625,
,,7,,,,,,0.163818359375,
,,8,,,,,,0.173095703125,
,,9,,,,,,0.181396484375,
,,10,,,,,,0.171875,
,,11,,,,,,0.1708802878856659,
1,,105,,,,,0.17245297133922577,,2.1754443645477295
1,0.0010000000474974513,105,18.03009796142578,0.14478828012943268,,,,,
2,,149,,,0.171142578125,2.127204418182373,,,
,,12,,,,,,0.188232421875,
,,13,,,,,,0.1826171875,
,,14,,,,,,0.18798828125,
,,15,,,,,,0.182373046875,
,,16,,,,,,0.17578125,
,,17,,,,,,0.18275967240333557,
2,,158,,,,,0.18160586059093475,,2.075479030609131
2,0.0010000000474974513,158,26.094280242919922,0.17517675459384918,,,,,
3,,199,,,0.203125,2.0382940769195557,,,
,,18,,,,,,0.214111328125,
,,19,,,,,,0.22607421875,
,,20,,,,,,0.224609375,
,,21,,,,,,0.228515625,
,,22,,,,,,0.237548828125,
,,23,,,,,,0.23058179020881653,
3,,211,,,,,0.22579219937324524,,1.9446601867675781
3,0.0010000000474974513,211,34.037193298339844,0.19562432169914246,,,,,
4,,249,,,0.26123046875,1.8998690843582153,,,
,,24,,,,,,0.2734375,
,,25,,,,,,0.258056640625,
,,26,,,,,,0.2841796875,
,,27,,,,,,0.281494140625,
,,28,,,,,,0.279052734375,
,,29,,,,,,0.2671337127685547,
4,,264,,,,,0.273576557636261,,1.8020150661468506
4,0.0010000000474974513,264,41.867774963378906,0.2496563196182251,,,,,
5,,299,,,0.28955078125,1.8047608137130737,,,
,,30,,,,,,0.306396484375,
,,31,,,,,,0.300048828125,
,,32,,,,,,0.309814453125,
,,33,,,,,,0.315185546875,
,,34,,,,,,0.318603515625,
,,35,,,,,,0.30520865321159363,
5,,317,,,,,0.3115136921405792,,1.7142728567123413
