epoch,lr,step,test_acc,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,,2.1008222103118896,,
0,,99,,,,1.6370129585266113,,
0,,149,,,,1.4877196550369263,,
0,,180,,,,,0.34273797273635864,1.4290213584899902
0,0.0010000000474974513,180,0.0,15.8497953414917,0.29687246680259705,,,
1,,199,,,,1.4513177871704102,,
1,,249,,,,1.4033435583114624,,
1,,299,,,,1.3553661108016968,,
1,,349,,,,1.4123132228851318,,
1,,361,,,,,0.4017738401889801,1.3433361053466797
1,0.0010000000474974513,361,0.0,28.137176513671875,0.36078715324401855,,,
2,,399,,,,1.346076488494873,,
2,,449,,,,1.3525344133377075,,
2,,499,,,,1.3226368427276611,,
2,,542,,,,,0.4164687991142273,1.3070096969604492
2,0.0010000000474974513,542,0.0,41.155677795410156,0.3869306743144989,,,
3,,549,,,,1.3414855003356934,,
3,,599,,,,1.3280909061431885,,
3,,649,,,,1.2929636240005493,,
3,,699,,,,1.2524186372756958,,
3,,723,,,,,0.42567896842956543,1.289304494857788
3,0.0010000000474974513,723,0.0,53.86496353149414,0.40359124541282654,,,
4,,749,,,,1.3177282810211182,,
4,,799,,,,1.320080041885376,,
4,,849,,,,1.2366375923156738,,
4,,899,,,,1.2936762571334839,,
4,,904,,,,,0.43326354026794434,1.268884539604187
4,0.0010000000474974513,904,0.0,66.75911712646484,0.4157266318798065,,,
5,,949,,,,1.2520294189453125,,
5,,999,,,,1.2672460079193115,,
5,,1049,,,,1.2710976600646973,,
5,,1085,,,,,0.441072553396225,1.218215823173523
5,0.0010000000474974513,1085,0.0,79.69428253173828,0.4252792000770569,,,
6,,1099,,,,1.2472707033157349,,
6,,1149,,,,1.2251373529434204,,
6,,1199,,,,1.2381083965301514,,
6,,1249,,,,1.2122015953063965,,
6,,1266,,,,,0.44699519872665405,1.2516645193099976
6,0.0010000000474974513,1266,0.0,92.25970458984375,0.433297336101532,,,
7,,1299,,,,1.2243313789367676,,
7,,1349,,,,1.2468791007995605,,
7,,1399,,,,1.2496182918548584,,
7,,1447,,,,,0.45193225145339966,1.2217881679534912
7,0.0010000000474974513,1447,0.0,105.28550720214844,0.440381795167923,,,
8,,1449,,,,1.2755719423294067,,
8,,1499,,,,1.1973401308059692,,
8,,1549,,,,1.2130831480026245,,
8,,1599,,,,1.2372909784317017,,
8,,1628,,,,,0.45707419514656067,1.189829707145691
8,0.0010000000474974513,1628,0.0,117.95030975341797,0.44674167037010193,,,
9,,1649,,,,1.20062255859375,,
9,,1699,,,,1.1710261106491089,,
9,,1749,,,,1.1903568506240845,,
9,,1799,,,,1.1870888471603394,,
9,,1809,,,,,0.46067193150520325,1.254773736000061
9,0.0010000000474974513,1809,0.0,130.7115020751953,0.45263195037841797,,,
10,,1849,,,,1.1719402074813843,,
10,,1899,,,,1.1530627012252808,,
10,,1949,,,,1.1760766506195068,,
10,,1990,,,,,0.46396586298942566,1.1737265586853027
10,0.0010000000474974513,1990,0.0,143.63357543945312,0.4577576816082001,,,
11,,1999,,,,1.1937061548233032,,
11,,2049,,,,1.1887316703796387,,
11,,2099,,,,1.1641404628753662,,
11,,2149,,,,1.0943385362625122,,
11,,2171,,,,,0.46777909994125366,1.1829971075057983
11,0.0010000000474974513,2171,0.0,156.03656005859375,0.4627756178379059,,,
12,,2199,,,,1.164785385131836,,
12,,2249,,,,1.134774923324585,,
12,,2299,,,,1.1285033226013184,,
12,,2349,,,,1.126749873161316,,
12,,2352,,,,,0.4712557792663574,1.1596285104751587
12,0.0010000000474974513,2352,0.0,168.8580322265625,0.46710166335105896,,,
13,,2399,,,,1.1002682447433472,,
13,,2449,,,,1.1182149648666382,,
13,,2499,,,,1.117433786392212,,
13,,2533,,,,,0.4743296504020691,1.203530192375183
13,0.0010000000474974513,2533,0.0,181.58303833007812,0.47119811177253723,,,
14,,2549,,,,1.2032159566879272,,
14,,2599,,,,1.1298332214355469,,
14,,2649,,,,1.0931541919708252,,
14,,2699,,,,1.1160125732421875,,
14,,2714,,,,,0.477081835269928,1.1407661437988281
14,0.0010000000474974513,2714,0.0,194.28274536132812,0.4747163951396942,,,
15,,2749,,,,1.1359118223190308,,
15,,2799,,,,1.1025041341781616,,
15,,2849,,,,1.0829153060913086,,
15,,2895,,,,,0.47996366024017334,1.1295123100280762
15,0.0010000000474974513,2895,0.0,206.90081787109375,0.4782005250453949,,,
16,,2899,,,,1.1431986093521118,,
16,,2949,,,,1.1017816066741943,,
16,,2999,,,,1.07253098487854,,
16,,3049,,,,1.1239371299743652,,
16,,3076,,,,,0.48262786865234375,1.1315408945083618
16,0.0010000000474974513,3076,0.0,219.67337036132812,0.48142653703689575,,,
17,,3099,,,,1.1248944997787476,,
17,,3149,,,,1.0634160041809082,,
17,,3199,,,,1.1490200757980347,,
17,,3249,,,,1.0966827869415283,,
