epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5649356842041016,,
0,,99,,,2.6560070514678955,,
0,,149,,,2.5709853172302246,,
0,,199,,,2.56514835357666,,
0,,249,,,2.5648193359375,,
0,,299,,,2.564979076385498,,
0,,320,,,,0.07705392688512802,2.5650010108947754
0,0.004999999888241291,320,24.71639060974121,0.07938510179519653,,,
1,,349,,,2.5641019344329834,,
1,,399,,,2.5651111602783203,,
1,,449,,,2.564908027648926,,
1,,499,,,2.5650382041931152,,
1,,549,,,2.5646727085113525,,
1,,599,,,2.5649776458740234,,
1,,641,,,,0.07658711075782776,2.565002918243408
1,0.004999999888241291,641,47.675254821777344,0.07805550843477249,,,
2,,649,,,2.5647828578948975,,
2,,699,,,2.5649447441101074,,
2,,749,,,2.565046548843384,,
2,,799,,,2.564941167831421,,
2,,849,,,2.5648200511932373,,
2,,899,,,2.5650577545166016,,
2,,949,,,2.5651586055755615,,
2,,962,,,,0.07673760503530502,2.5649936199188232
2,0.004999999888241291,962,69.44859313964844,0.07763417065143585,,,
3,,999,,,2.565026044845581,,
3,,1049,,,2.565161943435669,,
3,,1099,,,2.5648107528686523,,
3,,1149,,,2.5645411014556885,,
3,,1199,,,2.565143585205078,,
3,,1249,,,2.5652434825897217,,
3,,1283,,,,0.07673224806785583,2.565030574798584
3,0.004999999888241291,1283,91.12584686279297,0.07736688107252121,,,
4,,1299,,,2.5652177333831787,,
4,,1349,,,2.565377712249756,,
4,,1399,,,2.565077781677246,,
4,,1449,,,2.5652458667755127,,
4,,1499,,,2.564955711364746,,
4,,1549,,,2.5652120113372803,,
4,,1599,,,2.565199136734009,,
4,,1604,,,,0.07668685168027878,2.5649828910827637
4,0.004999999888241291,1604,112.93392181396484,0.07727224379777908,,,
5,,1649,,,2.5646257400512695,,
5,,1699,,,2.5653185844421387,,
5,,1749,,,2.5644147396087646,,
5,,1799,,,2.5648112297058105,,
5,,1849,,,2.564495325088501,,
5,,1899,,,2.5647952556610107,,
5,,1925,,,,0.07669881731271744,2.564993381500244
5,0.004999999888241291,1925,134.6874237060547,0.0772930383682251,,,
6,,1949,,,2.5650012493133545,,
6,,1999,,,2.565001964569092,,
6,,2049,,,2.564094305038452,,
6,,2099,,,2.5646371841430664,,
6,,2149,,,2.5646049976348877,,
6,,2199,,,2.5653085708618164,,
6,,2246,,,,0.07664348930120468,2.56502628326416
6,0.004999999888241291,2246,156.82882690429688,0.07728239893913269,,,
7,,2249,,,2.5651469230651855,,
7,,2299,,,2.565213918685913,,
7,,2349,,,2.565523624420166,,
7,,2399,,,2.564253807067871,,
7,,2449,,,2.565288543701172,,
7,,2499,,,2.5647051334381104,,
7,,2549,,,2.565261125564575,,
7,,2567,,,,0.07668637484312057,2.5650405883789062
7,0.004999999888241291,2567,178.64785766601562,0.07723456621170044,,,
8,,2599,,,2.564763069152832,,
8,,2649,,,2.5650904178619385,,
8,,2699,,,2.5646533966064453,,
8,,2749,,,2.5651473999023438,,
8,,2799,,,2.5647029876708984,,
8,,2849,,,2.5649373531341553,,
8,,2888,,,,0.07668847590684891,2.565037250518799
8,0.004999999888241291,2888,201.07089233398438,0.07718593627214432,,,
9,,2899,,,2.5652289390563965,,
9,,2949,,,2.5657706260681152,,
9,,2999,,,2.565117359161377,,
9,,3049,,,2.5648231506347656,,
9,,3099,,,2.5650665760040283,,
9,,3149,,,2.564697742462158,,
9,,3199,,,2.5653433799743652,,
9,,3209,,,,0.0767202079296112,2.5650415420532227
9,0.004999999888241291,3209,224.85989379882812,0.07717478275299072,,,
10,,3249,,,2.5644619464874268,,
10,,3299,,,2.5650155544281006,,
10,,3349,,,2.5650386810302734,,
10,,3399,,,2.564695358276367,,
10,,3449,,,2.5650293827056885,,
10,,3499,,,2.5657076835632324,,
10,,3530,,,,0.0767660066485405,2.564967393875122
10,0.004999999888241291,3530,246.79537963867188,0.07713945209980011,,,
11,,3549,,,2.5647451877593994,,
11,,3599,,,2.5655601024627686,,
11,,3649,,,2.565258264541626,,
11,,3699,,,2.565169334411621,,
11,,3749,,,2.5648887157440186,,
