epoch,lr,step,test_acc,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,,1.8780298233032227,,
0,,99,,,,1.5150099992752075,,
0,,149,,,,1.4492954015731812,,
0,,199,,,,1.3792462348937988,,
0,,249,,,,1.3970481157302856,,
0,,299,,,,1.3720496892929077,,
0,,349,,,,1.3621668815612793,,
0,,360,,,,,0.3859085142612457,1.3358030319213867
0,0.0010000000474974513,360,0.0,17.50168228149414,0.38758596777915955,,,
1,,399,,,,1.330456256866455,,
1,,449,,,,1.3683369159698486,,
1,,499,,,,1.2609182596206665,,
1,,549,,,,1.3404579162597656,,
1,,599,,,,1.321808934211731,,
1,,649,,,,1.3069320917129517,,
1,,699,,,,1.3548508882522583,,
1,,721,,,,,0.4274870455265045,1.302943468093872
1,0.0010000000474974513,721,0.0,30.847875595092773,0.413601815700531,,,
2,,749,,,,1.2723196744918823,,
2,,799,,,,1.2694568634033203,,
2,,849,,,,1.2594270706176758,,
2,,899,,,,1.2721835374832153,,
2,,949,,,,1.2519006729125977,,
2,,999,,,,1.3061867952346802,,
2,,1049,,,,1.3144831657409668,,
2,,1082,,,,,0.4394296407699585,1.2601841688156128
2,0.0010000000474974513,1082,0.0,44.253631591796875,0.4286579191684723,,,
3,,1099,,,,1.2197329998016357,,
3,,1149,,,,1.2481846809387207,,
3,,1199,,,,1.3274658918380737,,
3,,1249,,,,1.2038819789886475,,
3,,1299,,,,1.2397918701171875,,
3,,1349,,,,1.275054931640625,,
3,,1399,,,,1.2189937829971313,,
3,,1443,,,,,0.45065951347351074,1.2195236682891846
3,0.0010000000474974513,1443,0.0,57.685001373291016,0.4402046799659729,,,
4,,1449,,,,1.2585965394973755,,
4,,1499,,,,1.2107001543045044,,
4,,1549,,,,1.1763279438018799,,
4,,1599,,,,1.2945104837417603,,
4,,1649,,,,1.243653416633606,,
4,,1699,,,,1.2283991575241089,,
4,,1749,,,,1.2425464391708374,,
4,,1799,,,,1.1947838068008423,,
4,,1804,,,,,0.45893746614456177,1.2033742666244507
4,0.0010000000474974513,1804,0.0,71.21622467041016,0.44953688979148865,,,
5,,1849,,,,1.28804612159729,,
5,,1899,,,,1.1850080490112305,,
5,,1949,,,,1.1724319458007812,,
5,,1999,,,,1.2470556497573853,,
5,,2049,,,,1.0939698219299316,,
5,,2099,,,,1.2407606840133667,,
5,,2149,,,,1.1582876443862915,,
5,,2165,,,,,0.46479102969169617,1.2000732421875
5,0.0010000000474974513,2165,0.0,84.7716064453125,0.45816996693611145,,,
6,,2199,,,,1.1682593822479248,,
6,,2249,,,,1.1391698122024536,,
6,,2299,,,,1.1565455198287964,,
6,,2349,,,,1.2014285326004028,,
6,,2399,,,,1.130478858947754,,
6,,2449,,,,1.104427456855774,,
6,,2499,,,,1.1475905179977417,,
6,,2526,,,,,0.46887192130088806,1.2148678302764893
