epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.564732074737549,,
0,,99,,,2.564666748046875,,
0,,149,,,2.56485652923584,,
0,,180,,,,0.07670051604509354,2.5649659633636475
0,0.0010000000474974513,180,19.66661834716797,0.07845969498157501,,,
1,,199,,,2.565075635910034,,
1,,249,,,2.5652365684509277,,
1,,299,,,2.5649044513702393,,
1,,349,,,2.5649049282073975,,
1,,361,,,,0.07677632570266724,2.5649681091308594
1,0.0010000000474974513,361,35.08399963378906,0.07760761678218842,,,
2,,399,,,2.5650715827941895,,
2,,449,,,2.5652191638946533,,
2,,499,,,2.5480449199676514,,
2,,542,,,,0.07702718675136566,2.5649893283843994
2,0.0010000000474974513,542,50.528446197509766,0.07795287668704987,,,
3,,549,,,2.564990997314453,,
3,,599,,,2.5650901794433594,,
3,,649,,,2.5649380683898926,,
3,,699,,,2.565457344055176,,
3,,723,,,,0.07691188156604767,2.5649666786193848
3,0.0010000000474974513,723,66.19268798828125,0.07767388224601746,,,
4,,749,,,2.5648691654205322,,
4,,799,,,2.565333366394043,,
4,,849,,,2.5649805068969727,,
4,,899,,,2.5652873516082764,,
4,,904,,,,0.07687628269195557,2.5649702548980713
4,0.0010000000474974513,904,81.53870391845703,0.07756355404853821,,,
5,,949,,,2.5649778842926025,,
5,,999,,,2.565220832824707,,
5,,1049,,,2.5648083686828613,,
5,,1085,,,,0.07692631334066391,2.564967155456543
5,0.0010000000474974513,1085,97.25814819335938,0.07746244221925735,,,
6,,1099,,,2.564755439758301,,
6,,1149,,,2.5647830963134766,,
6,,1199,,,2.5651235580444336,,
6,,1249,,,2.5648880004882812,,
6,,1266,,,,0.07689012587070465,2.5649614334106445
6,0.0010000000474974513,1266,112.61941528320312,0.07738430798053741,,,
7,,1299,,,2.564791440963745,,
7,,1349,,,2.5649311542510986,,
7,,1399,,,2.564809560775757,,
7,,1447,,,,0.07692287117242813,2.564974308013916
7,0.0010000000474974513,1447,128.17715454101562,0.07734698057174683,,,
8,,1449,,,2.5649919509887695,,
8,,1499,,,2.5652034282684326,,
8,,1549,,,2.565199136734009,,
8,,1599,,,2.564861297607422,,
8,,1628,,,,0.07691892236471176,2.564967393875122
8,0.0010000000474974513,1628,143.82070922851562,0.07728887349367142,,,
9,,1649,,,2.564856767654419,,
9,,1699,,,2.564835548400879,,
9,,1749,,,2.5649969577789307,,
9,,1799,,,2.564997673034668,,
9,,1809,,,,0.07690022885799408,2.564966917037964
9,0.0010000000474974513,1809,159.4700927734375,0.07723072171211243,,,
10,,1849,,,2.5648906230926514,,
10,,1899,,,2.5647666454315186,,
10,,1949,,,2.5649945735931396,,
10,,1990,,,,0.07692419737577438,2.564964532852173
10,0.0010000000474974513,1990,175.07958984375,0.0772143304347992,,,
11,,1999,,,2.565153121948242,,
11,,2049,,,2.564979076385498,,
11,,2099,,,2.564936876296997,,
11,,2149,,,2.5648484230041504,,
11,,2171,,,,0.07691822946071625,2.5649752616882324
11,0.0010000000474974513,2171,190.4918212890625,0.07717982679605484,,,
12,,2199,,,2.5651440620422363,,
12,,2249,,,2.5650858879089355,,
12,,2299,,,2.5651063919067383,,
12,,2349,,,2.565109968185425,,
12,,2352,,,,0.07689633965492249,2.564955234527588
12,0.0010000000474974513,2352,205.74642944335938,0.07716444879770279,,,
13,,2399,,,2.56496000289917,,
13,,2449,,,2.5646955966949463,,
13,,2499,,,2.61431884765625,,
13,,2533,,,,0.07691813260316849,2.564286708831787
13,0.0010000000474974513,2533,221.38143920898438,0.0772203654050827,,,
14,,2549,,,2.5610787868499756,,
14,,2599,,,2.5641958713531494,,
14,,2649,,,2.550706624984741,,
14,,2699,,,2.5681369304656982,,
14,,2714,,,,0.0796150416135788,2.234569549560547
14,0.0010000000474974513,2714,237.05435180664062,0.07847017794847488,,,
15,,2749,,,2.1869258880615234,,
15,,2799,,,1.9275072813034058,,
15,,2849,,,1.7037593126296997,,
15,,2895,,,,0.09014143794775009,1.642587423324585
15,0.0010000000474974513,2895,252.64866638183594,0.08925222605466843,,,
16,,2899,,,1.6335835456848145,,
16,,2949,,,1.6307016611099243,,
16,,2999,,,1.5824220180511475,,
16,,3049,,,1.62996506690979,,
16,,3076,,,,0.10488566011190414,1.5902804136276245
16,0.0010000000474974513,3076,268.91302490234375,0.10353805869817734,,,
17,,3099,,,1.634283423423767,,
17,,3149,,,1.544374942779541,,
17,,3199,,,1.523687481880188,,
17,,3249,,,1.4673734903335571,,
17,,3257,,,,0.12036728858947754,1.4352220296859741
17,0.0010000000474974513,3257,284.5069274902344,0.11832402646541595,,,
18,,3299,,,1.4491004943847656,,
18,,3349,,,1.3846538066864014,,
18,,3399,,,1.3880915641784668,,
18,,3438,,,,0.1366378515958786,1.3580485582351685
18,0.0010000000474974513,3438,300.0431823730469,0.1341557651758194,,,
19,,3449,,,1.3418569564819336,,
19,,3499,,,1.3714995384216309,,
19,,3549,,,1.3575928211212158,,
19,,3599,,,1.3375202417373657,,
19,,3619,,,,0.1517096757888794,1.3630272150039673
19,0.0010000000474974513,3619,315.69378662109375,0.14898967742919922,,,
20,,3649,,,1.3432748317718506,,
20,,3699,,,1.3552625179290771,,
20,,3749,,,1.3322901725769043,,
20,,3799,,,1.3304420709609985,,
20,,3800,,,,0.16549630463123322,1.3428165912628174
20,0.0010000000474974513,3800,331.0946350097656,0.16269172728061676,,,
21,,3849,,,1.3041467666625977,,
21,,3899,,,1.3519045114517212,,
21,,3949,,,1.352938175201416,,
21,,3981,,,,0.1783839464187622,1.304946780204773
21,0.0010000000474974513,3981,346.7536315917969,0.17551438510417938,,,
22,,3999,,,1.3190226554870605,,
22,,4049,,,1.3564122915267944,,
22,,4099,,,1.3218588829040527,,
22,,4149,,,1.2816871404647827,,
22,,4162,,,,0.19044937193393707,1.3125576972961426
22,0.0010000000474974513,4162,362.363525390625,0.18754282593727112,,,
23,,4199,,,1.2584424018859863,,
23,,4249,,,1.294190764427185,,
23,,4299,,,1.3006598949432373,,
23,,4343,,,,0.20172685384750366,1.284090518951416
23,0.0010000000474974513,4343,377.9339904785156,0.19870832562446594,,,
24,,4349,,,1.2888680696487427,,
24,,4399,,,1.2946014404296875,,
24,,4449,,,1.2533283233642578,,
24,,4499,,,1.2986042499542236,,
24,,4524,,,,0.21225115656852722,1.2775248289108276
24,0.0010000000474974513,4524,393.5085754394531,0.20915737748146057,,,
25,,4549,,,1.2998332977294922,,
25,,4599,,,1.2885128259658813,,
25,,4649,,,1.2671245336532593,,
25,,4699,,,1.2817896604537964,,
25,,4705,,,,0.22203068435192108,1.2705788612365723
25,0.0010000000474974513,4705,409.0787353515625,0.21894149482250214,,,
26,,4749,,,1.2857060432434082,,
26,,4799,,,1.3103140592575073,,
26,,4849,,,1.2884389162063599,,
26,,4886,,,,0.23127973079681396,1.243839979171753
26,0.0010000000474974513,4886,424.79296875,0.22815710306167603,,,
27,,4899,,,1.2789174318313599,,
27,,4949,,,1.2365195751190186,,
27,,4999,,,1.2622007131576538,,
27,,5049,,,1.2424324750900269,,
27,,5067,,,,0.23993241786956787,1.2527904510498047
27,0.0010000000474974513,5067,440.4342041015625,0.23688891530036926,,,
28,,5099,,,1.2696455717086792,,
28,,5149,,,1.2711739540100098,,
28,,5199,,,1.2473480701446533,,
28,,5248,,,,0.24775370955467224,1.286505937576294
28,0.0010000000474974513,5248,455.917724609375,0.24510732293128967,,,
29,,5249,,,1.305505633354187,,
29,,5299,,,1.206910490989685,,
29,,5349,,,1.2712093591690063,,
29,,5399,,,1.219419002532959,,
29,,5429,,,,0.2552293539047241,1.227352261543274
29,0.0010000000474974513,5429,471.6864318847656,0.25285205245018005,,,
30,,5449,,,1.2340166568756104,,
30,,5499,,,1.2232277393341064,,
30,,5549,,,1.2178642749786377,,
30,,5599,,,1.2188434600830078,,
30,,5610,,,,0.262471467256546,1.2429125308990479
30,0.0010000000474974513,5610,487.32769775390625,0.2602170407772064,,,
31,,5649,,,1.201945424079895,,
31,,5699,,,1.1802164316177368,,
31,,5749,,,1.208341360092163,,
31,,5791,,,,0.269013911485672,1.288068413734436
31,0.0010000000474974513,5791,502.7999267578125,0.2672005593776703,,,
32,,5799,,,1.2425864934921265,,
32,,5849,,,1.2277545928955078,,
32,,5899,,,1.2622127532958984,,
32,,5949,,,1.2194108963012695,,
32,,5972,,,,0.2752370834350586,1.2270585298538208
32,0.0010000000474974513,5972,518.4341430664062,0.2738117277622223,,,
33,,5999,,,1.1855082511901855,,
33,,6049,,,1.2185051441192627,,
33,,6099,,,1.230844497680664,,
33,,6149,,,1.180938959121704,,
