epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,1.953713297843933,,
0,,99,,,1.6900534629821777,,
0,,149,,,1.5487327575683594,,
0,,199,,,1.484047293663025,,
0,,249,,,1.4440118074417114,,
0,,299,,,1.4389612674713135,,
0,,349,,,1.382319450378418,,
0,,360,,,,0.3806527256965637,1.3546240329742432
0,0.0010000000474974513,360,18.767257690429688,0.36029911041259766,,,
1,,399,,,1.403570294380188,,
1,,449,,,1.319858431816101,,
1,,499,,,1.3750628232955933,,
1,,549,,,1.3800655603408813,,
1,,599,,,1.3366655111312866,,
1,,649,,,1.3139349222183228,,
1,,699,,,1.300260066986084,,
1,,721,,,,0.42449501156806946,1.2941207885742188
1,0.0010000000474974513,721,33.63794708251953,0.39893513917922974,,,
2,,749,,,1.3135908842086792,,
2,,799,,,1.3340702056884766,,
2,,849,,,1.311916470527649,,
2,,899,,,1.3313299417495728,,
2,,949,,,1.3016334772109985,,
2,,999,,,1.2851556539535522,,
2,,1049,,,1.258427381515503,,
2,,1082,,,,0.43595144152641296,1.2940021753311157
2,0.0010000000474974513,1082,48.912933349609375,0.41788771748542786,,,
3,,1099,,,1.277654767036438,,
3,,1149,,,1.3081542253494263,,
3,,1199,,,1.2481434345245361,,
3,,1249,,,1.2680764198303223,,
3,,1299,,,1.311633586883545,,
3,,1349,,,1.209852933883667,,
3,,1399,,,1.262819528579712,,
3,,1443,,,,0.4446459710597992,1.2421972751617432
3,0.0010000000474974513,1443,64.00648498535156,0.43144121766090393,,,
4,,1449,,,1.1758395433425903,,
4,,1499,,,1.2085812091827393,,
4,,1549,,,1.216195821762085,,
4,,1599,,,1.205083966255188,,
4,,1649,,,1.2918044328689575,,
4,,1699,,,1.2264083623886108,,
4,,1749,,,1.223876714706421,,
4,,1799,,,1.2878652811050415,,
4,,1804,,,,0.4519491195678711,1.236722469329834
4,0.0010000000474974513,1804,79.16705322265625,0.441834419965744,,,
5,,1849,,,1.2072964906692505,,
5,,1899,,,1.2490122318267822,,
5,,1949,,,1.2034953832626343,,
5,,1999,,,1.177592396736145,,
5,,2049,,,1.1656607389450073,,
