epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.1650390625,2.528573989868164,,,
0,,99,,,0.3427734375,1.6670160293579102,,,
,,0,,,,,,0.33984375,
,,1,,,,,,0.35546875,
,,2,,,,,,0.376953125,
,,3,,,,,,0.3388671875,
,,4,,,,,,0.359375,
,,5,,,,,,0.37109375,
,,6,,,,,,0.3642578125,
,,7,,,,,,0.34375,
,,8,,,,,,0.36328125,
,,9,,,,,,0.32421875,
,,10,,,,,,0.37109375,
,,11,,,,,,0.3559870421886444,
0,,104,,,,,0.3602297604084015,,1.5716663599014282
0,0.0010000000474974513,104,7.359430313110352,0.25152668356895447,,,,,
1,,149,,,0.3447265625,1.5860759019851685,,,
1,,199,,,0.4150390625,1.4544687271118164,,,
,,12,,,,,,0.4033203125,
,,13,,,,,,0.4150390625,
,,14,,,,,,0.427734375,
,,15,,,,,,0.3984375,
,,16,,,,,,0.38671875,
,,17,,,,,,0.4287109375,
,,18,,,,,,0.455078125,
,,19,,,,,,0.4033203125,
,,20,,,,,,0.4150390625,
,,21,,,,,,0.3994140625,
,,22,,,,,,0.4052734375,
,,23,,,,,,0.41585761308670044,
1,,209,,,,,0.41283032298088074,,1.4476670026779175
1,0.0010000000474974513,209,11.301128387451172,0.36898916959762573,,,,,
2,,249,,,0.3935546875,1.4441206455230713,,,
2,,299,,,0.4560546875,1.3602120876312256,,,
,,24,,,,,,0.416015625,
,,25,,,,,,0.43359375,
,,26,,,,,,0.4423828125,
,,27,,,,,,0.40625,
,,28,,,,,,0.4140625,
,,29,,,,,,0.4443359375,
,,30,,,,,,0.4697265625,
,,31,,,,,,0.416015625,
,,32,,,,,,0.4296875,
,,33,,,,,,0.421875,
,,34,,,,,,0.4404296875,
,,35,,,,,,0.42556634545326233,
2,,314,,,,,0.4247811734676361,,1.3949620723724365
2,0.0010000000474974513,314,15.06908130645752,0.41320183873176575,,,,,
3,,349,,,0.4169921875,1.4329192638397217,,,
3,,399,,,0.39453125,1.425849199295044,,,
,,36,,,,,,0.431640625,
,,37,,,,,,0.4189453125,
,,38,,,,,,0.4228515625,
,,39,,,,,,0.427734375,
,,40,,,,,,0.43359375,
,,41,,,,,,0.4208984375,
,,42,,,,,,0.4541015625,
,,43,,,,,,0.427734375,
,,44,,,,,,0.4482421875,
,,45,,,,,,0.4541015625,
,,46,,,,,,0.4521484375,
,,47,,,,,,0.4417475759983063,
3,,419,,,,,0.4394882917404175,,1.36312735080719
3,0.0010000000474974513,419,18.788265228271484,0.4310145676136017,,,,,
4,,449,,,0.4384765625,1.375557780265808,,,
4,,499,,,0.4716796875,1.3070244789123535,,,
,,48,,,,,,0.44140625,
,,49,,,,,,0.4345703125,
,,50,,,,,,0.439453125,
,,51,,,,,,0.421875,
,,52,,,,,,0.435546875,
,,53,,,,,,0.4501953125,
,,54,,,,,,0.4697265625,
,,55,,,,,,0.4453125,
,,56,,,,,,0.484375,
,,57,,,,,,0.453125,
,,58,,,,,,0.48828125,
,,59,,,,,,0.44012945890426636,
4,,524,,,,,0.44546371698379517,,1.3353270292282104
4,0.0010000000474974513,524,22.73802375793457,0.44306427240371704,,,,,
5,,549,,,0.4658203125,1.3358994722366333,,,
5,,599,,,0.455078125,1.397459864616394,,,
,,60,,,,,,0.45703125,
,,61,,,,,,0.4501953125,
,,62,,,,,,0.447265625,
,,63,,,,,,0.4375,
,,64,,,,,,0.4619140625,
,,65,,,,,,0.4453125,
,,66,,,,,,0.4833984375,
,,67,,,,,,0.4375,
,,68,,,,,,0.4892578125,
,,69,,,,,,0.4619140625,
,,70,,,,,,0.482421875,
,,71,,,,,,0.45954692363739014,
5,,629,,,,,0.459139883518219,,1.30019211769104
5,0.0010000000474974513,629,26.511852264404297,0.44940710067749023,,,,,
6,,649,,,0.451171875,1.34219229221344,,,
