epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.0908203125,3.670339345932007,,,
0,,99,,,0.1328125,3.132112503051758,,,
0,,149,,,0.1650390625,3.1429505348205566,,,
0,,199,,,0.1796875,2.9523444175720215,,,
,,0,,,,,,0.203125,
,,1,,,,,,0.197265625,
,,2,,,,,,0.2060546875,
,,3,,,,,,0.1962890625,
,,4,,,,,,0.2021484375,
,,5,,,,,,0.201171875,
,,6,,,,,,0.2060546875,
,,7,,,,,,0.2138671875,
,,8,,,,,,0.1708984375,
,,9,,,,,,0.19921875,
,,10,,,,,,0.1865234375,
,,11,,,,,,0.2001953125,
,,12,,,,,,0.1982421875,
,,13,,,,,,0.2001953125,
,,14,,,,,,0.189453125,
,,15,,,,,,0.1669921875,
,,16,,,,,,0.1875,
,,17,,,,,,0.1982421875,
,,18,,,,,,0.203125,
,,19,,,,,,0.1943359375,
,,20,,,,,,0.2080078125,
,,21,,,,,,0.1953125,
,,22,,,,,,0.212890625,
,,23,,,,,,0.22274881601333618,
0,,208,,,,,0.1995118409395218,,2.7606632709503174
0,0.0010000000474974513,208,11.886659622192383,0.13593919575214386,,,,,
1,,249,,,0.1787109375,2.9834110736846924,,,
1,,299,,,0.22265625,2.7026424407958984,,,
1,,349,,,0.21875,2.6573634147644043,,,
1,,399,,,0.224609375,2.682340621948242,,,
,,24,,,,,,0.2353515625,
,,25,,,,,,0.2138671875,
,,26,,,,,,0.240234375,
,,27,,,,,,0.2197265625,
,,28,,,,,,0.21484375,
,,29,,,,,,0.2197265625,
,,30,,,,,,0.2314453125,
,,31,,,,,,0.2109375,
,,32,,,,,,0.203125,
,,33,,,,,,0.244140625,
,,34,,,,,,0.2333984375,
,,35,,,,,,0.2294921875,
,,36,,,,,,0.2255859375,
,,37,,,,,,0.2421875,
,,38,,,,,,0.2138671875,
,,39,,,,,,0.193359375,
,,40,,,,,,0.2060546875,
,,41,,,,,,0.21484375,
,,42,,,,,,0.2177734375,
,,43,,,,,,0.2099609375,
,,44,,,,,,0.2265625,
,,45,,,,,,0.234375,
,,46,,,,,,0.2314453125,
,,47,,,,,,0.21800947189331055,
1,,417,,,,,0.2218785434961319,,2.751424551010132
1,0.0010000000474974513,417,21.70604705810547,0.21337859332561493,,,,,
2,,449,,,0.224609375,2.699831247329712,,,
2,,499,,,0.2412109375,2.6688220500946045,,,
2,,549,,,0.2431640625,2.6534905433654785,,,
2,,599,,,0.251953125,2.6353085041046143,,,
,,48,,,,,,0.2763671875,
,,49,,,,,,0.2529296875,
,,50,,,,,,0.2744140625,
,,51,,,,,,0.236328125,
,,52,,,,,,0.255859375,
,,53,,,,,,0.26171875,
,,54,,,,,,0.275390625,
,,55,,,,,,0.248046875,
,,56,,,,,,0.25390625,
,,57,,,,,,0.267578125,
,,58,,,,,,0.2392578125,
,,59,,,,,,0.25,
,,60,,,,,,0.251953125,
,,61,,,,,,0.2646484375,
,,62,,,,,,0.248046875,
,,63,,,,,,0.2548828125,
,,64,,,,,,0.2431640625,
,,65,,,,,,0.2783203125,
,,66,,,,,,0.28125,
,,67,,,,,,0.24609375,
,,68,,,,,,0.27734375,
,,69,,,,,,0.2607421875,
,,70,,,,,,0.27734375,
,,71,,,,,,0.2511848211288452,
2,,626,,,,,0.26015233993530273,,2.5453262329101562
2,0.0010000000474974513,626,32.45751953125,0.2421959787607193,,,,,
3,,649,,,0.2587890625,2.5134055614471436,,,
3,,699,,,0.267578125,2.586843490600586,,,
3,,749,,,0.25,2.6734611988067627,,,
3,,799,,,0.24609375,2.5007174015045166,,,
,,72,,,,,,0.2626953125,
,,73,,,,,,0.2822265625,
,,74,,,,,,0.28125,
,,75,,,,,,0.2607421875,
,,76,,,,,,0.27734375,
,,77,,,,,,0.2529296875,
,,78,,,,,,0.2978515625,
,,79,,,,,,0.2587890625,
,,80,,,,,,0.2666015625,
,,81,,,,,,0.2958984375,
,,82,,,,,,0.25,
,,83,,,,,,0.2763671875,
,,84,,,,,,0.25390625,
,,85,,,,,,0.2724609375,
,,86,,,,,,0.28515625,
,,87,,,,,,0.2587890625,
,,88,,,,,,0.2763671875,
,,89,,,,,,0.3017578125,
,,90,,,,,,0.2841796875,
,,91,,,,,,0.2685546875,
,,92,,,,,,0.275390625,
,,93,,,,,,0.2666015625,
,,94,,,,,,0.2841796875,
,,95,,,,,,0.27962085604667664,
3,,835,,,,,0.2749652862548828,,2.3976187705993652
3,0.0010000000474974513,835,42.79621887207031,0.26058149337768555,,,,,
4,,849,,,0.2626953125,2.446715831756592,,,
4,,899,,,0.2607421875,2.4489197731018066,,,
4,,949,,,0.2548828125,2.4464633464813232,,,
4,,999,,,0.296875,2.3989710807800293,,,
,,96,,,,,,0.3125,
,,97,,,,,,0.3037109375,
,,98,,,,,,0.2958984375,
,,99,,,,,,0.2900390625,
,,100,,,,,,0.294921875,
,,101,,,,,,0.3017578125,
,,102,,,,,,0.296875,
,,103,,,,,,0.2939453125,
,,104,,,,,,0.287109375,
,,105,,,,,,0.2802734375,
,,106,,,,,,0.318359375,
,,107,,,,,,0.2919921875,
,,108,,,,,,0.2958984375,
,,109,,,,,,0.2880859375,
,,110,,,,,,0.3232421875,
,,111,,,,,,0.2958984375,
,,112,,,,,,0.3134765625,
,,113,,,,,,0.302734375,
,,114,,,,,,0.302734375,
,,115,,,,,,0.2841796875,
,,116,,,,,,0.3271484375,
,,117,,,,,,0.3173828125,
,,118,,,,,,0.3193359375,
,,119,,,,,,0.2511848211288452,
4,,1044,,,,,0.3006775379180908,,2.2457292079925537
4,0.0010000000474974513,1044,53.17962646484375,0.2758622169494629,,,,,
