epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
,,0,,,,,,0.0859375,
,,1,,,,,,0.095238097012043,
0,,13,,,,,0.09978549927473068,,5.845090866088867
0,0.0010000000474974513,13,7.399392127990723,0.08662190288305283,,,,,
,,2,,,,,,0.134765625,
,,3,,,,,,0.1277056336402893,
1,,27,,,,,0.13850100338459015,,4.006567001342773
1,0.0010000000474974513,27,9.634613037109375,0.12213613837957382,,,,,
,,4,,,,,,0.1435546875,
,,5,,,,,,0.14069263637065887,
2,,41,,,,,0.14470474421977997,,3.856937885284424
2,0.0010000000474974513,41,11.974603652954102,0.13291361927986145,,,,,
3,,49,,,0.1435546875,3.865401268005371,,,
,,6,,,,,,0.15625,
,,7,,,,,,0.17965367436408997,
3,,55,,,,,0.14762786030769348,,3.8226158618927
3,0.0010000000474974513,55,14.041927337646484,0.14232110977172852,,,,,
,,8,,,,,,0.1435546875,
,,9,,,,,,0.15584415197372437,
4,,69,,,,,0.1535792350769043,,3.7279584407806396
4,0.0010000000474974513,69,15.987191200256348,0.14642168581485748,,,,,
,,10,,,,,,0.150390625,
,,11,,,,,,0.17099566757678986,
5,,83,,,,,0.16211725771427155,,3.427438735961914
5,0.0010000000474974513,83,18.047378540039062,0.15058305859565735,,,,,
,,12,,,,,,0.166015625,
,,13,,,,,,0.15367965400218964,
6,,97,,,,,0.16882570087909698,,2.996904134750366
6,0.0010000000474974513,97,20.198806762695312,0.15798701345920563,,,,,
7,,99,,,0.1552734375,3.080552101135254,,,
,,14,,,,,,0.19140625,
,,15,,,,,,0.1753246784210205,
7,,111,,,,,0.1808546483516693,,2.776118040084839
7,0.0010000000474974513,111,22.15181541442871,0.1648789942264557,,,,,
,,16,,,,,,0.208984375,
,,17,,,,,,0.20346319675445557,
8,,125,,,,,0.23214586079120636,,2.6110074520111084
8,0.0010000000474974513,125,24.503253936767578,0.19485720992088318,,,,,
,,18,,,,,,0.2578125,
,,19,,,,,,0.24458874762058258,
9,,139,,,,,0.24896955490112305,,2.4331142902374268
9,0.0010000000474974513,139,26.493305206298828,0.22773434221744537,,,,,
10,,149,,,0.24609375,2.529815912246704,,,
,,20,,,,,,0.26953125,
,,21,,,,,,0.24242424964904785,
10,,153,,,,,0.26423704624176025,,2.3838863372802734
10,0.0010000000474974513,153,28.424049377441406,0.24441488087177277,,,,,
,,22,,,,,,0.26953125,
,,23,,,,,,0.2056277096271515,
11,,167,,,,,0.2774646580219269,,2.426750659942627
11,0.0010000000474974513,167,30.30893898010254,0.2557581067085266,,,,,
,,24,,,,,,0.3115234375,
,,25,,,,,,0.32034632563591003,
12,,181,,,,,0.3058546483516693,,2.3003668785095215
12,0.0010000000474974513,181,32.41863250732422,0.26993247866630554,,,,,
,,26,,,,,,0.3291015625,
,,27,,,,,,0.3419913351535797,
13,,195,,,,,0.31367766857147217,,2.2315995693206787
13,0.0010000000474974513,195,34.61785125732422,0.28600284457206726,,,,,
14,,199,,,0.29296875,2.3628857135772705,,,
,,28,,,,,,0.30859375,
,,29,,,,,,0.2857142984867096,
14,,209,,,,,0.32913443446159363,,2.1510446071624756
14,0.0010000000474974513,209,36.63747787475586,0.2958592176437378,,,,,
,,30,,,,,,0.3134765625,
,,31,,,,,,0.29870128631591797,
15,,223,,,,,0.32997560501098633,,2.096738576889038
15,0.0010000000474974513,223,38.85508728027344,0.30977174639701843,,,,,
,,32,,,,,,0.30859375,
,,33,,,,,,0.33549782633781433,
16,,237,,,,,0.33243608474731445,,2.0616002082824707
16,0.0010000000474974513,237,40.801246643066406,0.315915584564209,,,,,
17,,249,,,0.3359375,2.2057440280914307,,,
,,34,,,,,,0.314453125,
,,35,,,,,,0.2857142984867096,
17,,251,,,,,0.33373990654945374,,2.0625667572021484
17,0.0010000000474974513,251,43.325660705566406,0.3210681974887848,,,,,
,,36,,,,,,0.322265625,
,,37,,,,,,0.3030303120613098,
18,,265,,,,,0.3399646580219269,,2.0274605751037598
18,0.0010000000474974513,265,45.37010192871094,0.3229782283306122,,,,,
,,38,,,,,,0.3388671875,
,,39,,,,,,0.2943722903728485,
19,,279,,,,,0.3413316011428833,,2.029445171356201
19,0.0010000000474974513,279,47.344215393066406,0.3270741403102875,,,,,
,,40,,,,,,0.3095703125,
,,41,,,,,,0.29870128631591797,
20,,293,,,,,0.33689433336257935,,2.036034345626831
20,0.0010000000474974513,293,49.60407257080078,0.32882049679756165,,,,,
21,,299,,,0.341796875,2.060680389404297,,,
,,42,,,,,,0.3583984375,
,,43,,,,,,0.37012988328933716,
21,,307,,,,,0.3442126512527466,,2.0137977600097656
21,0.0010000000474974513,307,51.78887176513672,0.3301273584365845,,,,,
,,44,,,,,,0.3662109375,
,,45,,,,,,0.3722943663597107,
22,,321,,,,,0.3398595154285431,,1.9943727254867554
22,0.0010000000474974513,321,54.77075958251953,0.33045467734336853,,,,,
,,46,,,,,,0.345703125,
,,47,,,,,,0.33766233921051025,
23,,335,,,,,0.33228886127471924,,2.019625425338745
23,0.0010000000474974513,335,56.96925354003906,0.32996371388435364,,,,,
24,,349,,,0.30909091234207153,2.151993989944458,,,
,,48,,,,,,0.345703125,
,,49,,,,,,0.33766233921051025,
24,,349,,,,,0.3403432071208954,,1.9971457719802856
24,0.0010000000474974513,349,59.20452880859375,0.3289374113082886,,,,,
,,50,,,,,,0.3232421875,
,,51,,,,,,0.28354978561401367,
25,,363,,,,,0.3384084701538086,,1.9869149923324585
25,0.0010000000474974513,363,61.110923767089844,0.33096665143966675,,,,,
,,52,,,,,,0.3125,
,,53,,,,,,0.3030303120613098,
26,,377,,,,,0.338156133890152,,1.9709538221359253
26,0.0010000000474974513,377,63.242156982421875,0.33235299587249756,,,,,
,,54,,,,,,0.326171875,
,,55,,,,,,0.32900431752204895,
27,,391,,,,,0.32930266857147217,,2.0342416763305664
27,0.0010000000474974513,391,65.28162384033203,0.3327878415584564,,,,,
28,,399,,,0.3330078125,1.9723728895187378,,,
,,56,,,,,,0.2998046875,
,,57,,,,,,0.2943722903728485,
28,,405,,,,,0.3362213969230652,,2.0172719955444336
28,0.0010000000474974513,405,67.35161590576172,0.32868024706840515,,,,,
,,58,,,,,,0.3125,
,,59,,,,,,0.29653680324554443,
29,,419,,,,,0.3386397957801819,,1.9612277746200562
29,0.0010000000474974513,419,69.24920654296875,0.33262184262275696,,,,,
,,60,,,,,,0.3291015625,
,,61,,,,,,0.29004329442977905,
30,,433,,,,,0.34019598364830017,,1.9545342922210693
30,0.0010000000474974513,433,71.1894760131836,0.33496904373168945,,,,,
,,62,,,,,,0.337890625,
,,63,,,,,,0.3030303120613098,
31,,447,,,,,0.3449907600879669,,1.9749852418899536
31,0.0010000000474974513,447,73.15293884277344,0.3355371356010437,,,,,
32,,449,,,0.3291015625,2.002063035964966,,,
,,64,,,,,,0.330078125,
,,65,,,,,,0.2943722903728485,
32,,461,,,,,0.34381309151649475,,1.9585046768188477
