epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.5650246143341064,,
0,,99,,,2.565039873123169,,
0,,121,,,,0.07593879103660583,2.565025806427002
0,0.0010000000474974513,121,22.817909240722656,0.07843886315822601,,,
1,,149,,,2.5649349689483643,,
1,,199,,,2.565049648284912,,
1,,243,,,,0.07646510004997253,2.564988374710083
1,0.0010000000474974513,243,42.96863555908203,0.07771069556474686,,,
2,,249,,,2.5649704933166504,,
2,,299,,,2.5649616718292236,,
2,,349,,,2.564927816390991,,
2,,365,,,,0.07622475922107697,2.564967393875122
2,0.0010000000474974513,365,63.00107192993164,0.07747872173786163,,,
3,,399,,,2.5648770332336426,,
3,,449,,,2.5649890899658203,,
3,,487,,,,0.07646716386079788,2.564941167831421
3,0.0010000000474974513,487,82.92860412597656,0.07735845446586609,,,
4,,499,,,2.5649499893188477,,
4,,549,,,2.5651473999023438,,
4,,599,,,2.564950942993164,,
4,,609,,,,0.07652880251407623,2.5649893283843994
4,0.0010000000474974513,609,102.85244750976562,0.07731220126152039,,,
5,,649,,,2.5647921562194824,,
5,,699,,,2.5651352405548096,,
5,,731,,,,0.07670613378286362,2.564953327178955
5,0.0010000000474974513,731,122.17817687988281,0.07717214524745941,,,
6,,749,,,2.564967393875122,,
6,,799,,,2.5650007724761963,,
6,,849,,,2.565004348754883,,
6,,853,,,,0.07683568447828293,2.5649702548980713
6,0.0010000000474974513,853,142.12930297851562,0.07717148959636688,,,
7,,899,,,2.5650365352630615,,
7,,949,,,2.5650522708892822,,
7,,975,,,,0.07683170586824417,2.564966917037964
7,0.0010000000474974513,975,161.51821899414062,0.07711988687515259,,,
8,,999,,,2.565006971359253,,
8,,1049,,,2.5650103092193604,,
8,,1097,,,,0.07682378590106964,2.5649566650390625
8,0.0010000000474974513,1097,181.18893432617188,0.07709342241287231,,,
9,,1099,,,2.564990520477295,,
9,,1149,,,2.564807653427124,,
9,,1199,,,2.5650124549865723,,
9,,1219,,,,0.07684855908155441,2.5649709701538086
9,0.0010000000474974513,1219,200.8896026611328,0.07711802423000336,,,
10,,1249,,,2.564926862716675,,
10,,1299,,,2.5649893283843994,,
10,,1341,,,,0.07691629230976105,2.5649771690368652
10,0.0010000000474974513,1341,220.98446655273438,0.07709896564483643,,,
11,,1349,,,2.5650534629821777,,
11,,1399,,,2.565070390701294,,
11,,1449,,,2.5648791790008545,,
11,,1463,,,,0.07689812034368515,2.5649638175964355
11,0.0010000000474974513,1463,241.30029296875,0.07708552479743958,,,
12,,1499,,,2.5648252964019775,,
12,,1549,,,2.5649404525756836,,
12,,1585,,,,0.07688033580780029,2.564958333969116
12,0.0010000000474974513,1585,260.82330322265625,0.0771036222577095,,,
13,,1599,,,2.5651073455810547,,
13,,1649,,,2.56486177444458,,
13,,1699,,,2.564988136291504,,
13,,1707,,,,0.0769290179014206,2.5649619102478027
13,0.0010000000474974513,1707,281.0049743652344,0.07709532976150513,,,
14,,1749,,,2.56461763381958,,
14,,1799,,,2.5640718936920166,,
14,,1829,,,,0.0769704207777977,2.586214303970337
14,0.0010000000474974513,1829,300.50921630859375,0.07759235054254532,,,
15,,1849,,,7.167393207550049,,
15,,1899,,,2.5659549236297607,,
15,,1949,,,2.5017755031585693,,
15,,1951,,,,0.07870736718177795,2.4405899047851562
15,0.0010000000474974513,1951,320.5572509765625,0.07812676578760147,,,
16,,1999,,,2.2191593647003174,,
16,,2049,,,2.18935227394104,,
16,,2073,,,,0.08279473334550858,2.1747872829437256
16,0.0010000000474974513,2073,340.75372314453125,0.08237742632627487,,,
17,,2099,,,2.1632251739501953,,
17,,2149,,,2.169698476791382,,
17,,2195,,,,0.08818963915109634,2.1008362770080566
17,0.0010000000474974513,2195,366.0422058105469,0.08738040924072266,,,
18,,2199,,,2.1506340503692627,,
18,,2249,,,2.5457451343536377,,
18,,2299,,,1.9293475151062012,,
18,,2317,,,,0.09598733484745026,1.8359959125518799
18,0.0010000000474974513,2317,396.1414794921875,0.09245285391807556,,,
19,,2349,,,1.7609869241714478,,
19,,2399,,,1.7010655403137207,,
19,,2439,,,,0.10606887936592102,1.675575852394104
19,0.0010000000474974513,2439,416.08843994140625,0.10256042331457138,,,
20,,2449,,,1.7032814025878906,,
20,,2499,,,1.6831167936325073,,
20,,2549,,,1.6432360410690308,,
20,,2561,,,,0.11630766838788986,1.6366568803787231
20,0.0010000000474974513,2561,436.21649169921875,0.11269628256559372,,,
21,,2599,,,1.6326178312301636,,
21,,2649,,,1.6391205787658691,,
21,,2683,,,,0.12583382427692413,1.6222388744354248
21,0.0010000000474974513,2683,455.97698974609375,0.12213233858346939,,,
22,,2699,,,1.6056748628616333,,
22,,2749,,,1.6194422245025635,,
22,,2799,,,1.6221174001693726,,
22,,2805,,,,0.1344718039035797,1.6223005056381226
22,0.0010000000474974513,2805,475.8880310058594,0.13087429106235504,,,
23,,2849,,,1.6220139265060425,,
23,,2899,,,1.5802483558654785,,
23,,2927,,,,0.14276371896266937,1.5868682861328125
23,0.0010000000474974513,2927,495.920654296875,0.1391972005367279,,,
24,,2949,,,1.5830515623092651,,
24,,2999,,,1.6094398498535156,,
24,,3049,,,1.5901416540145874,,
24,,3049,,,,0.15077680349349976,1.5868216753005981
24,0.0010000000474974513,3049,516.2973022460938,0.14712435007095337,,,
25,,3099,,,1.5839580297470093,,
25,,3149,,,1.568742036819458,,
25,,3171,,,,0.15833230316638947,1.5654528141021729
25,0.0010000000474974513,3171,536.8739013671875,0.1546335220336914,,,
26,,3199,,,1.5684071779251099,,
26,,3249,,,1.5781232118606567,,
26,,3293,,,,0.16553840041160583,1.542518973350525
26,0.0010000000474974513,3293,556.2678833007812,0.16174979507923126,,,
27,,3299,,,1.5507675409317017,,
27,,3349,,,1.4712873697280884,,
27,,3399,,,1.4821828603744507,,
27,,3415,,,,0.17305925488471985,1.4517972469329834
27,0.0010000000474974513,3415,576.3370361328125,0.1692451536655426,,,
28,,3449,,,1.4887055158615112,,
28,,3499,,,1.4453601837158203,,
28,,3537,,,,0.18116377294063568,1.4214831590652466
28,0.0010000000474974513,3537,595.9078979492188,0.1770632565021515,,,
29,,3549,,,1.4175136089324951,,
29,,3599,,,1.3877530097961426,,
29,,3649,,,1.419651746749878,,
29,,3659,,,,0.18935313820838928,1.3862740993499756
29,0.0010000000474974513,3659,616.1529541015625,0.18527103960514069,,,
30,,3699,,,1.3975398540496826,,
30,,3749,,,1.3811148405075073,,
30,,3781,,,,0.19718743860721588,1.373695731163025
30,0.0010000000474974513,3781,636.27685546875,0.19320257008075714,,,
31,,3799,,,1.3652715682983398,,
31,,3849,,,1.3773819208145142,,
31,,3899,,,1.3490846157073975,,
31,,3903,,,,0.20476071536540985,1.3466626405715942
31,0.0010000000474974513,3903,656.4378662109375,0.20073865354061127,,,
32,,3949,,,1.3623871803283691,,
32,,3999,,,1.345655918121338,,
32,,4025,,,,0.2120017111301422,1.3482221364974976
32,0.0010000000474974513,4025,676.7103271484375,0.20794808864593506,,,
33,,4049,,,1.3570256233215332,,
33,,4099,,,1.318052887916565,,
33,,4147,,,,0.2188914716243744,1.3321324586868286
33,0.0010000000474974513,4147,701.4334716796875,0.2147834300994873,,,
34,,4149,,,1.3302488327026367,,
34,,4199,,,1.3280634880065918,,
34,,4249,,,1.3333990573883057,,
34,,4269,,,,0.2254496067762375,1.321433424949646
34,0.0010000000474974513,4269,721.63330078125,0.22137902677059174,,,
35,,4299,,,1.3060622215270996,,
35,,4349,,,1.3114491701126099,,
35,,4391,,,,0.231692373752594,1.3056834936141968
