epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.564774990081787,,
0,,90,,,,0.07740633189678192,2.5649573802948
0,0.0010000000474974513,90,18.34817123413086,0.07723546773195267,,,
1,,99,,,2.5652148723602295,,
1,,149,,,2.5649361610412598,,
1,,181,,,,0.07738979905843735,2.565014600753784
1,0.0010000000474974513,181,33.25688171386719,0.07714700698852539,,,
2,,199,,,2.5651824474334717,,
2,,249,,,2.565028667449951,,
2,,272,,,,0.07733596861362457,2.5649609565734863
2,0.0010000000474974513,272,47.45716857910156,0.07708114385604858,,,
3,,299,,,2.564810276031494,,
3,,349,,,2.5649266242980957,,
3,,363,,,,0.07717128098011017,2.56498646736145
3,0.0010000000474974513,363,62.24846649169922,0.07703159749507904,,,
4,,399,,,2.565222978591919,,
4,,449,,,2.565206289291382,,
4,,454,,,,0.07700075954198837,2.5650060176849365
4,0.0010000000474974513,454,76.99641418457031,0.07707671076059341,,,
5,,499,,,2.5649802684783936,,
5,,545,,,,0.07694484293460846,2.5649776458740234
5,0.0010000000474974513,545,91.76168060302734,0.07698816061019897,,,
6,,549,,,2.565019130706787,,
6,,599,,,2.564908027648926,,
6,,636,,,,0.07698839902877808,2.5649495124816895
6,0.0010000000474974513,636,106.59587860107422,0.07690302282571793,,,
7,,649,,,2.5650320053100586,,
7,,699,,,2.564911127090454,,
7,,727,,,,0.07694011926651001,2.5649707317352295
7,0.0010000000474974513,727,121.46749114990234,0.07686170935630798,,,
8,,749,,,2.5650203227996826,,
8,,799,,,2.5650529861450195,,
8,,818,,,,0.07702192664146423,2.5649681091308594
8,0.0010000000474974513,818,136.17764282226562,0.0768379345536232,,,
9,,849,,,2.564882278442383,,
9,,899,,,2.5650548934936523,,
9,,909,,,,0.07705184817314148,2.5649454593658447
9,0.0010000000474974513,909,151.37481689453125,0.0768706426024437,,,
10,,949,,,2.564908742904663,,
10,,999,,,2.5649514198303223,,
10,,1000,,,,0.0770525336265564,2.564971923828125
10,0.0010000000474974513,1000,166.22882080078125,0.07685592770576477,,,
11,,1049,,,2.5649354457855225,,
11,,1091,,,,0.07702948898077011,2.5650012493133545
11,0.0010000000474974513,1091,181.07763671875,0.07686410844326019,,,
12,,1099,,,2.564976930618286,,
12,,1149,,,2.5651769638061523,,
12,,1182,,,,0.07697825878858566,2.5649635791778564
12,0.0010000000474974513,1182,195.97622680664062,0.0768892914056778,,,
13,,1199,,,2.565178871154785,,
13,,1249,,,2.564880609512329,,
13,,1273,,,,0.07691135257482529,2.564976453781128
13,0.0010000000474974513,1273,210.66273498535156,0.07689794152975082,,,
14,,1299,,,2.564990520477295,,
14,,1349,,,2.5649404525756836,,
14,,1364,,,,0.07689325511455536,2.564962387084961
14,0.0010000000474974513,1364,225.58041381835938,0.07690810412168503,,,
15,,1399,,,2.5651462078094482,,
15,,1449,,,2.5649750232696533,,
15,,1455,,,,0.07685516029596329,2.564959764480591
15,0.0010000000474974513,1455,240.50253295898438,0.07692208141088486,,,
16,,1499,,,2.5650453567504883,,
16,,1546,,,,0.07687542587518692,2.564969539642334
16,0.0010000000474974513,1546,255.4541015625,0.07692660391330719,,,
17,,1549,,,2.5649116039276123,,
17,,1599,,,2.5649616718292236,,
17,,1637,,,,0.07688071578741074,2.5649771690368652
17,0.0010000000474974513,1637,270.14373779296875,0.07691393792629242,,,
18,,1649,,,2.5649173259735107,,
18,,1699,,,2.564959764480591,,
18,,1728,,,,0.07689431309700012,2.5649573802948
18,0.0010000000474974513,1728,285.06549072265625,0.07690566778182983,,,
19,,1749,,,2.5648305416107178,,
19,,1799,,,2.5649657249450684,,
19,,1819,,,,0.07689723372459412,2.5649678707122803
19,0.0010000000474974513,1819,299.689697265625,0.07689826190471649,,,
20,,1849,,,2.5649936199188232,,
20,,1899,,,2.564932346343994,,
20,,1910,,,,0.07692008465528488,2.564932346343994
20,0.0010000000474974513,1910,314.2831115722656,0.07690466940402985,,,
21,,1949,,,2.564927577972412,,
21,,1999,,,2.565007448196411,,
21,,2001,,,,0.07692234218120575,2.5649755001068115
21,0.0010000000474974513,2001,329.326416015625,0.0769103392958641,,,
22,,2049,,,2.5649287700653076,,
22,,2092,,,,0.07688082009553909,2.564969778060913
22,0.0010000000474974513,2092,343.59991455078125,0.07691657543182373,,,
23,,2099,,,2.564809560775757,,
23,,2149,,,2.5648276805877686,,
23,,2183,,,,0.07689663767814636,2.5649471282958984
23,0.0010000000474974513,2183,358.5271911621094,0.07689529657363892,,,
24,,2199,,,2.565027952194214,,
24,,2249,,,2.565006971359253,,
24,,2274,,,,0.07687587291002274,2.5649631023406982
24,0.0010000000474974513,2274,375.34625244140625,0.07690895348787308,,,
25,,2299,,,2.565011501312256,,
25,,2349,,,2.565000295639038,,
25,,2365,,,,0.07688307762145996,2.564955234527588
25,0.0010000000474974513,2365,390.3172302246094,0.07691483944654465,,,
26,,2399,,,2.5648422241210938,,
26,,2449,,,2.564972400665283,,
26,,2456,,,,0.07687180489301682,2.5649654865264893
26,0.0010000000474974513,2456,404.8074951171875,0.0769081562757492,,,
27,,2499,,,2.565152168273926,,
27,,2547,,,,0.07685478031635284,2.5649614334106445
27,0.0010000000474974513,2547,420.122802734375,0.07691197842359543,,,
28,,2549,,,2.5648863315582275,,
28,,2599,,,2.5651021003723145,,
28,,2638,,,,0.07684477418661118,2.564976930618286
28,0.0010000000474974513,2638,435.3307800292969,0.07691070437431335,,,
29,,2649,,,2.5648815631866455,,
29,,2699,,,2.5649662017822266,,
29,,2729,,,,0.07681835442781448,2.5649545192718506
29,0.0010000000474974513,2729,450.1373291015625,0.07691289484500885,,,
30,,2749,,,2.5649609565734863,,
30,,2799,,,2.5649027824401855,,
30,,2820,,,,0.07681818306446075,2.5649540424346924
30,0.0010000000474974513,2820,464.9590759277344,0.07690738141536713,,,
31,,2849,,,2.564882755279541,,
31,,2899,,,2.564861536026001,,
31,,2911,,,,0.07679810374975204,2.5649566650390625
31,0.0010000000474974513,2911,479.9131774902344,0.07692072540521622,,,
32,,2949,,,2.5648458003997803,,
32,,2999,,,2.564962148666382,,
32,,3002,,,,0.07676620036363602,2.564952850341797
32,0.0010000000474974513,3002,495.0616455078125,0.07691966742277145,,,
33,,3049,,,2.565014362335205,,
33,,3093,,,,0.07673606276512146,2.5649712085723877
33,0.0010000000474974513,3093,509.7953186035156,0.07691190391778946,,,
34,,3099,,,2.565009593963623,,
34,,3149,,,2.5649802684783936,,
34,,3184,,,,0.07672014832496643,2.5649540424346924
34,0.0010000000474974513,3184,524.755126953125,0.07689736783504486,,,
35,,3199,,,2.565000534057617,,
35,,3249,,,2.5649380683898926,,
35,,3275,,,,0.07672972232103348,2.564948797225952
35,0.0010000000474974513,3275,539.3687744140625,0.07689457386732101,,,
36,,3299,,,2.5648834705352783,,
36,,3349,,,2.5650336742401123,,
36,,3366,,,,0.07673425227403641,2.5649619102478027
36,0.0010000000474974513,3366,554.293701171875,0.07689519971609116,,,
37,,3399,,,2.5649027824401855,,
37,,3449,,,2.5649266242980957,,
37,,3457,,,,0.07675109803676605,2.5649497509002686
37,0.0010000000474974513,3457,569.037109375,0.07689651846885681,,,
38,,3499,,,2.5649397373199463,,
38,,3548,,,,0.07674462348222733,2.5649545192718506
38,0.0010000000474974513,3548,583.5838623046875,0.07689575105905533,,,
39,,3549,,,2.5649986267089844,,
39,,3599,,,2.5649914741516113,,
39,,3639,,,,0.07673653215169907,2.564965009689331
39,0.0010000000474974513,3639,597.5924072265625,0.07689548283815384,,,
40,,3649,,,2.5650434494018555,,
40,,3699,,,2.564859390258789,,
40,,3730,,,,0.07674470543861389,2.564953565597534
40,0.0010000000474974513,3730,612.272705078125,0.07690288126468658,,,
41,,3749,,,2.564887046813965,,
41,,3799,,,2.564924478530884,,
41,,3821,,,,0.07674139738082886,2.5649547576904297
41,0.0010000000474974513,3821,627.8392333984375,0.07690634578466415,,,
42,,3849,,,2.564997911453247,,
42,,3899,,,2.5649664402008057,,
42,,3912,,,,0.07675360143184662,2.5649542808532715
42,0.0010000000474974513,3912,642.9054565429688,0.07690766453742981,,,
43,,3949,,,2.5648868083953857,,
43,,3999,,,2.565068006515503,,
43,,4003,,,,0.07675985246896744,2.5649561882019043
43,0.0010000000474974513,4003,657.575439453125,0.07690685987472534,,,
44,,4049,,,2.5649523735046387,,
44,,4094,,,,0.07676468789577484,2.564960241317749
44,0.0010000000474974513,4094,672.8789672851562,0.076906219124794,,,
45,,4099,,,2.5649988651275635,,
45,,4149,,,2.56494140625,,
45,,4185,,,,0.07677195221185684,2.5649564266204834
45,0.0010000000474974513,4185,687.9638671875,0.07691330462694168,,,
46,,4199,,,2.5649359226226807,,
46,,4249,,,2.5650076866149902,,
46,,4276,,,,0.07678265124559402,2.564957857131958
46,0.0010000000474974513,4276,703.114013671875,0.0769062414765358,,,
47,,4299,,,2.5648910999298096,,
47,,4349,,,2.5649800300598145,,
47,,4367,,,,0.07679102569818497,2.5649518966674805
47,0.0010000000474974513,4367,717.7705078125,0.07691138982772827,,,
48,,4399,,,2.5649967193603516,,
48,,4449,,,2.5649502277374268,,
48,,4458,,,,0.07678578048944473,2.5649611949920654
48,0.0010000000474974513,4458,732.279296875,0.07690733671188354,,,
49,,4499,,,2.565011739730835,,
49,,4549,,,2.565429449081421,,
49,,4549,,,,0.07678182423114777,2.564955472946167
49,0.0010000000474974513,4549,746.5427856445312,0.07691328227519989,,,
50,,4599,,,2.5649776458740234,,
50,,4640,,,,0.07676543295383453,2.5649712085723877
50,0.0010000000474974513,4640,761.0949096679688,0.07691151648759842,,,
51,,4649,,,2.5650503635406494,,
51,,4699,,,2.5649497509002686,,
51,,4731,,,,0.07677362114191055,2.5649523735046387
51,0.0010000000474974513,4731,775.4077758789062,0.07690955698490143,,,
52,,4749,,,2.565063714981079,,
52,,4799,,,2.5649702548980713,,
52,,4822,,,,0.07677773386240005,2.564950704574585
52,0.0010000000474974513,4822,790.0595703125,0.07691632211208344,,,
53,,4849,,,2.5648555755615234,,
53,,4899,,,2.564882278442383,,
53,,4913,,,,0.07676800340414047,2.5649611949920654
53,0.0010000000474974513,4913,805.1300048828125,0.07691445201635361,,,
54,,4949,,,2.5650858879089355,,
54,,4999,,,2.564908266067505,,
54,,5004,,,,0.07676808536052704,2.5649564266204834
54,0.0010000000474974513,5004,819.6925659179688,0.07691606134176254,,,
55,,5049,,,2.5648984909057617,,
55,,5095,,,,0.07677904516458511,2.5649611949920654
55,0.0010000000474974513,5095,834.5116577148438,0.07691977918148041,,,
56,,5099,,,2.5649166107177734,,
56,,5149,,,2.5648443698883057,,
56,,5186,,,,0.07678277790546417,2.5649590492248535
56,0.0010000000474974513,5186,848.9962158203125,0.07691392302513123,,,
57,,5199,,,2.565011978149414,,
57,,5249,,,2.5650205612182617,,
57,,5277,,,,0.07677362114191055,2.5649569034576416
57,0.0010000000474974513,5277,863.11767578125,0.07691629976034164,,,
58,,5299,,,2.565058469772339,,
58,,5349,,,2.5649404525756836,,
58,,5368,,,,0.07676225155591965,2.564948558807373
58,0.0010000000474974513,5368,877.2593994140625,0.07691304385662079,,,
59,,5399,,,2.565020799636841,,
59,,5449,,,2.564964771270752,,
59,,5459,,,,0.07676375657320023,2.564948797225952
59,0.0010000000474974513,5459,890.1822509765625,0.07690975069999695,,,
60,,5499,,,2.5649850368499756,,
60,,5549,,,2.564887523651123,,
60,,5550,,,,0.07676182687282562,2.5649542808532715
60,0.0010000000474974513,5550,904.740478515625,0.07690973579883575,,,
61,,5599,,,2.5648856163024902,,
61,,5641,,,,0.07676108926534653,2.5649476051330566
61,0.0010000000474974513,5641,919.0712280273438,0.07690973579883575,,,
62,,5649,,,2.5649900436401367,,
62,,5699,,,2.5649611949920654,,
62,,5732,,,,0.07676734030246735,2.5649592876434326
62,0.0010000000474974513,5732,933.4526977539062,0.0769125372171402,,,
63,,5749,,,2.564890146255493,,
63,,5799,,,2.565000057220459,,
63,,5823,,,,0.0767599418759346,2.564962387084961
63,0.0010000000474974513,5823,949.2379760742188,0.07691368460655212,,,
64,,5849,,,2.5649399757385254,,
64,,5899,,,2.564925193786621,,
64,,5914,,,,0.07675468921661377,2.5649704933166504
64,0.0010000000474974513,5914,963.6663818359375,0.07691465318202972,,,
65,,5949,,,2.5648841857910156,,
65,,5999,,,2.5650100708007812,,
65,,6005,,,,0.07674482464790344,2.5649545192718506
65,0.0010000000474974513,6005,978.3276977539062,0.07691264897584915,,,
66,,6049,,,2.564946174621582,,
66,,6096,,,,0.07675155252218246,2.5649521350860596
66,0.0010000000474974513,6096,992.529541015625,0.07691432535648346,,,
