epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.337869167327881,,
0,,99,,,2.0661137104034424,,
0,,149,,,1.9926642179489136,,
0,,168,,,,0.147698312997818,2.1583917140960693
0,0.0010000000474974513,168,37.99330139160156,0.1440361887216568,,,
1,,199,,,1.819490909576416,,
1,,249,,,2.5660452842712402,,
1,,299,,,2.564934253692627,,
1,,337,,,,0.13137519359588623,2.5649819374084473
1,0.0010000000474974513,337,71.84806823730469,0.12973333895206451,,,
2,,349,,,2.5651044845581055,,
2,,399,,,2.565014123916626,,
2,,449,,,2.56492018699646,,
2,,499,,,2.5651838779449463,,
2,,506,,,,0.10926365107297897,2.564936399459839
2,0.0010000000474974513,506,106.42168426513672,0.11211121082305908,,,
3,,549,,,2.564755916595459,,
3,,599,,,2.564859390258789,,
3,,649,,,2.564852714538574,,
3,,675,,,,0.10870683193206787,2.5647854804992676
3,0.0010000000474974513,675,141.76101684570312,0.10346312820911407,,,
4,,699,,,2.5647127628326416,,
4,,749,,,2.093921422958374,,
4,,799,,,1.984355092048645,,
4,,844,,,,0.11582311987876892,2.1608474254608154
4,0.0010000000474974513,844,176.71530151367188,0.11468227952718735,,,
5,,849,,,2.045907974243164,,
5,,899,,,1.5491031408309937,,
5,,949,,,1.4768528938293457,,
5,,999,,,1.5123933553695679,,
5,,1013,,,,0.13995999097824097,1.4941444396972656
5,0.0010000000474974513,1013,211.65676879882812,0.15143342316150665,,,
6,,1049,,,1.4496073722839355,,
6,,1099,,,1.4662635326385498,,
6,,1149,,,1.4157073497772217,,
6,,1182,,,,0.1752738207578659,1.4348679780960083
6,0.0010000000474974513,1182,246.68179321289062,0.18307162821292877,,,
7,,1199,,,1.42575204372406,,
7,,1249,,,1.3792402744293213,,
7,,1299,,,1.409356951713562,,
7,,1349,,,1.3848481178283691,,
7,,1351,,,,0.20451536774635315,1.3785661458969116
7,0.0010000000474974513,1351,281.22802734375,0.20964275300502777,,,
8,,1399,,,1.3984869718551636,,
8,,1449,,,1.3718434572219849,,
8,,1499,,,1.3755627870559692,,
8,,1520,,,,0.22869624197483063,1.357273817062378
8,0.0010000000474974513,1520,315.1980895996094,0.23202753067016602,,,
9,,1549,,,1.3554532527923584,,
9,,1599,,,1.3521218299865723,,
9,,1649,,,1.3422876596450806,,
9,,1689,,,,0.24948596954345703,1.2794018983840942
9,0.0010000000474974513,1689,349.9923400878906,0.25092166662216187,,,
10,,1699,,,1.2885867357254028,,
10,,1749,,,1.29490065574646,,
10,,1799,,,1.264151930809021,,
10,,1849,,,1.248359203338623,,
10,,1858,,,,0.26794615387916565,1.2468233108520508
10,0.0010000000474974513,1858,383.7466125488281,0.26821187138557434,,,
11,,1899,,,1.2773171663284302,,
11,,1949,,,1.2570842504501343,,
11,,1999,,,1.2483062744140625,,
11,,2027,,,,0.2837982773780823,1.2359601259231567
11,0.0010000000474974513,2027,418.95904541015625,0.2831120789051056,,,
12,,2049,,,1.2318780422210693,,
12,,2099,,,1.2375725507736206,,
12,,2149,,,1.2439719438552856,,
12,,2196,,,,0.2973064184188843,1.2273870706558228
12,0.0010000000474974513,2196,453.391845703125,0.2959873080253601,,,
13,,2199,,,1.2232239246368408,,
13,,2249,,,1.2458343505859375,,
13,,2299,,,1.212675929069519,,
13,,2349,,,1.2050514221191406,,
13,,2365,,,,0.309061199426651,1.2198189496994019
13,0.0010000000474974513,2365,488.11083984375,0.30724939703941345,,,
14,,2399,,,1.2247883081436157,,
14,,2449,,,1.239586591720581,,
14,,2499,,,1.239909052848816,,
14,,2534,,,,0.31950029730796814,1.2117596864700317
14,0.0010000000474974513,2534,522.5962524414062,0.3172794580459595,,,
15,,2549,,,1.2160542011260986,,
15,,2599,,,1.222604751586914,,
15,,2649,,,1.224932074546814,,
15,,2699,,,1.1803345680236816,,
15,,2703,,,,0.32878202199935913,1.2055158615112305
15,0.0010000000474974513,2703,557.506103515625,0.3262670934200287,,,
16,,2749,,,1.2070904970169067,,
16,,2799,,,1.2014747858047485,,
16,,2849,,,1.2177382707595825,,
16,,2872,,,,0.33705729246139526,1.199584722518921
16,0.0010000000474974513,2872,592.8360595703125,0.3344053328037262,,,
