epoch,lr,step,time,train_acc,train_loss,valid_acc,valid_loss
0,,49,,,2.4468119144439697,,
0,,90,,,,0.1312953680753708,2.206772804260254
0,0.0010000000474974513,90,18.805997848510742,0.11456017196178436,,,
1,,99,,,2.213207721710205,,
1,,149,,,1.9978060722351074,,
1,,181,,,,0.178959921002388,1.8570866584777832
1,0.0010000000474974513,181,32.66567611694336,0.15776468813419342,,,
2,,199,,,1.7151352167129517,,
2,,249,,,1.6758984327316284,,
2,,272,,,,0.21788880228996277,1.7052732706069946
2,0.0010000000474974513,272,46.70569610595703,0.20496952533721924,,,
3,,299,,,1.6153037548065186,,
3,,349,,,1.677812933921814,,
3,,363,,,,0.24333293735980988,1.6221108436584473
3,0.0010000000474974513,363,60.6596565246582,0.232100248336792,,,
4,,399,,,1.6235347986221313,,
4,,449,,,1.582234501838684,,
4,,454,,,,0.2614317834377289,1.5991345643997192
4,0.0010000000474974513,454,74.39088439941406,0.25104066729545593,,,
5,,499,,,1.586648941040039,,
5,,545,,,,0.2741633951663971,1.587896466255188
5,0.0010000000474974513,545,88.45758056640625,0.26453256607055664,,,
6,,549,,,1.5832761526107788,,
6,,599,,,1.582681655883789,,
6,,636,,,,0.2833453416824341,1.5808157920837402
6,0.0010000000474974513,636,102.75752258300781,0.2748693823814392,,,
7,,649,,,1.5652928352355957,,
7,,699,,,1.5953837633132935,,
7,,727,,,,0.2909073233604431,1.5732173919677734
7,0.0010000000474974513,727,117.18388366699219,0.2834096848964691,,,
8,,749,,,1.5959007740020752,,
8,,799,,,1.528131127357483,,
8,,818,,,,0.2987440526485443,1.4963948726654053
8,0.0010000000474974513,818,131.17889404296875,0.29115375876426697,,,
9,,849,,,1.465025782585144,,
9,,899,,,1.449650526046753,,
9,,909,,,,0.3068251609802246,1.4490691423416138
9,0.0010000000474974513,909,145.46615600585938,0.29996827244758606,,,
10,,949,,,1.4158804416656494,,
10,,999,,,1.4224406480789185,,
10,,1000,,,,0.3148399889469147,1.411237120628357
10,0.0010000000474974513,1000,159.78587341308594,0.30859142541885376,,,
11,,1049,,,1.4142017364501953,,
11,,1091,,,,0.32213765382766724,1.4149324893951416
11,0.0010000000474974513,1091,174.07449340820312,0.31639039516448975,,,
12,,1099,,,1.3879963159561157,,
12,,1149,,,1.4047266244888306,,
12,,1182,,,,0.3286084532737732,1.3935822248458862
