epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
0,,49,,,0.072265625,2.5640416145324707,,,
0,,99,,,0.06640625,2.5660300254821777,,,
,,0,,,,,,0.083984375,
,,1,,,,,,0.07421875,
,,2,,,,,,0.0732421875,
,,3,,,,,,0.0771484375,
,,4,,,,,,0.08203125,
,,5,,,,,,0.0859375,
,,6,,,,,,0.0732421875,
,,7,,,,,,0.0693359375,
,,8,,,,,,0.0859375,
,,9,,,,,,0.0751953125,
,,10,,,,,,0.0810546875,
,,11,,,,,,0.0776699036359787,
0,,104,,,,,0.07648123055696487,,2.5650734901428223
0,0.0010000000474974513,104,7.514444351196289,0.07672165334224701,,,,,
1,,149,,,0.0751953125,2.565718173980713,,,
1,,199,,,0.0751953125,2.564718723297119,,,
,,12,,,,,,0.07421875,
,,13,,,,,,0.0712890625,
,,14,,,,,,0.056640625,
,,15,,,,,,0.0771484375,
,,16,,,,,,0.0751953125,
,,17,,,,,,0.064453125,
,,18,,,,,,0.0810546875,
,,19,,,,,,0.080078125,
,,20,,,,,,0.0810546875,
,,21,,,,,,0.072265625,
,,22,,,,,,0.087890625,
,,23,,,,,,0.06310679763555527,
1,,209,,,,,0.07795404642820358,,2.564976215362549
1,0.0010000000474974513,209,12.566582679748535,0.07828105986118317,,,,,
2,,249,,,0.0927734375,2.5648794174194336,,,
2,,299,,,0.0927734375,2.5650036334991455,,,
,,24,,,,,,0.072265625,
,,25,,,,,,0.080078125,
,,26,,,,,,0.0869140625,
,,27,,,,,,0.0712890625,
,,28,,,,,,0.0634765625,
,,29,,,,,,0.072265625,
,,30,,,,,,0.072265625,
,,31,,,,,,0.0830078125,
,,32,,,,,,0.064453125,
,,33,,,,,,0.072265625,
,,34,,,,,,0.08203125,
,,35,,,,,,0.07928802818059921,
2,,314,,,,,0.07696516066789627,,2.5649635791778564
2,0.0010000000474974513,314,17.537076950073242,0.07656969130039215,,,,,
3,,349,,,0.09375,2.5339114665985107,,,
3,,399,,,0.09375,2.565213918685913,,,
,,36,,,,,,0.0888671875,
,,37,,,,,,0.068359375,
,,38,,,,,,0.0751953125,
,,39,,,,,,0.083984375,
,,40,,,,,,0.09765625,
,,41,,,,,,0.068359375,
,,42,,,,,,0.078125,
,,43,,,,,,0.06640625,
,,44,,,,,,0.080078125,
,,45,,,,,,0.0751953125,
,,46,,,,,,0.083984375,
,,47,,,,,,0.07443365454673767,
3,,419,,,,,0.07580794394016266,,2.565056324005127
3,0.0010000000474974513,419,22.506254196166992,0.07827404141426086,,,,,
4,,449,,,0.0693359375,2.5648908615112305,,,
4,,499,,,0.0751953125,2.5652973651885986,,,
,,48,,,,,,0.072265625,
,,49,,,,,,0.080078125,
,,50,,,,,,0.0869140625,
,,51,,,,,,0.0712890625,
,,52,,,,,,0.0634765625,
,,53,,,,,,0.072265625,
,,54,,,,,,0.072265625,
,,55,,,,,,0.0830078125,
,,56,,,,,,0.064453125,
,,57,,,,,,0.072265625,
,,58,,,,,,0.08203125,
,,59,,,,,,0.07928802818059921,
4,,524,,,,,0.07696516066789627,,2.565007448196411
4,0.0010000000474974513,524,27.902873992919922,0.07628446072340012,,,,,
5,,549,,,0.078125,2.5658109188079834,,,
5,,599,,,0.078125,2.5651655197143555,,,
,,60,,,,,,0.0888671875,
,,61,,,,,,0.068359375,
,,62,,,,,,0.0751953125,
,,63,,,,,,0.083984375,
,,64,,,,,,0.09765625,
,,65,,,,,,0.068359375,
,,66,,,,,,0.078125,
,,67,,,,,,0.06640625,
,,68,,,,,,0.080078125,
,,69,,,,,,0.0751953125,
,,70,,,,,,0.083984375,
,,71,,,,,,0.07443365454673767,
5,,629,,,,,0.07580794394016266,,2.5650506019592285
5,0.0010000000474974513,629,32.71605682373047,0.07690869271755219,,,,,
6,,649,,,0.0615234375,2.565216302871704,,,
6,,699,,,0.0791015625,2.5649027824401855,,,
,,72,,,,,,0.0888671875,
,,73,,,,,,0.068359375,
,,74,,,,,,0.0751953125,
,,75,,,,,,0.083984375,
,,76,,,,,,0.09765625,
,,77,,,,,,0.068359375,
,,78,,,,,,0.078125,
,,79,,,,,,0.06640625,
,,80,,,,,,0.080078125,
,,81,,,,,,0.0751953125,
,,82,,,,,,0.083984375,
,,83,,,,,,0.07443365454673767,
6,,734,,,,,0.07580794394016266,,2.565007448196411
6,0.0010000000474974513,734,37.69624328613281,0.0767006129026413,,,,,
7,,749,,,0.0751953125,2.5644593238830566,,,
7,,799,,,0.072265625,2.565040111541748,,,
,,84,,,,,,0.072265625,
,,85,,,,,,0.080078125,
,,86,,,,,,0.0869140625,
,,87,,,,,,0.0712890625,
,,88,,,,,,0.0634765625,
,,89,,,,,,0.072265625,
,,90,,,,,,0.072265625,
,,91,,,,,,0.0830078125,
,,92,,,,,,0.064453125,
,,93,,,,,,0.072265625,
,,94,,,,,,0.08203125,
,,95,,,,,,0.07928802818059921,
7,,839,,,,,0.07696516066789627,,2.5649783611297607
7,0.0010000000474974513,839,42.787750244140625,0.07644812017679214,,,,,
8,,849,,,0.0712890625,2.565065860748291,,,
8,,899,,,0.0693359375,2.5652902126312256,,,
,,96,,,,,,0.0712890625,
,,97,,,,,,0.0869140625,
,,98,,,,,,0.087890625,
,,99,,,,,,0.0751953125,
,,100,,,,,,0.080078125,
,,101,,,,,,0.078125,
,,102,,,,,,0.0693359375,
,,103,,,,,,0.0634765625,
,,104,,,,,,0.0712890625,
,,105,,,,,,0.0712890625,
,,106,,,,,,0.0654296875,
,,107,,,,,,0.08414239436388016,
8,,944,,,,,0.07595522701740265,,2.5650408267974854
8,0.0010000000474974513,944,48.0212287902832,0.07662112265825272,,,,,
9,,949,,,0.0849609375,2.5650110244750977,,,
9,,999,,,0.0947265625,2.5648386478424072,,,
9,,1049,,,0.08027523010969162,2.5650429725646973,,,
,,108,,,,,,0.0888671875,
,,109,,,,,,0.068359375,
,,110,,,,,,0.0751953125,
,,111,,,,,,0.083984375,
,,112,,,,,,0.09765625,
,,113,,,,,,0.068359375,
,,114,,,,,,0.078125,
,,115,,,,,,0.06640625,
,,116,,,,,,0.080078125,
,,117,,,,,,0.0751953125,
,,118,,,,,,0.083984375,
,,119,,,,,,0.07443365454673767,
9,,1049,,,,,0.07580794394016266,,2.564990520477295
9,0.0010000000474974513,1049,52.94642639160156,0.07648786157369614,,,,,
10,,1099,,,0.0830078125,2.5653982162475586,,,
10,,1149,,,0.06640625,2.5651252269744873,,,
,,120,,,,,,0.0888671875,
,,121,,,,,,0.068359375,
,,122,,,,,,0.0751953125,
,,123,,,,,,0.083984375,
,,124,,,,,,0.09765625,
,,125,,,,,,0.068359375,
,,126,,,,,,0.078125,
,,127,,,,,,0.06640625,
,,128,,,,,,0.080078125,
,,129,,,,,,0.0751953125,
,,130,,,,,,0.083984375,
,,131,,,,,,0.07443365454673767,
10,,1154,,,,,0.07580794394016266,,2.5650362968444824
10,0.0010000000474974513,1154,57.9273796081543,0.07634758204221725,,,,,
11,,1199,,,0.072265625,2.5654244422912598,,,
11,,1249,,,0.0791015625,2.5646281242370605,,,
,,132,,,,,,0.0888671875,
,,133,,,,,,0.068359375,
,,134,,,,,,0.0751953125,
,,135,,,,,,0.083984375,
,,136,,,,,,0.09765625,
,,137,,,,,,0.068359375,
,,138,,,,,,0.078125,
,,139,,,,,,0.06640625,
