epoch,lr,step,time,train_acc_epoch,train_acc_step,train_loss,valid_acc_epoch,valid_acc_step,valid_loss
,,0,,,,,,0.07944466173648834,
0,,5,,,,,0.07674508541822433,,2.5652501583099365
0,0.0010000000474974513,5,4.271106719970703,0.07536638528108597,,,,,
,,1,,,,,,0.07790204137563705,
1,,11,,,,,0.07848052680492401,,2.5650250911712646
1,0.0010000000474974513,11,6.386314392089844,0.07584847509860992,,,,,
,,2,,,,,,0.0940994992852211,
2,,17,,,,,0.09313536435365677,,2.5627949237823486
2,0.0010000000474974513,17,8.595475196838379,0.07787324488162994,,,,,
,,3,,,,,,0.12340918183326721,
3,,23,,,,,0.1221558004617691,,2.466090679168701
3,0.0010000000474974513,23,11.119745254516602,0.10638070106506348,,,,,
,,4,,,,,,0.12957963347434998,
4,,29,,,,,0.12581951916217804,,2.400613307952881
4,0.0010000000474974513,29,13.538888931274414,0.11107301712036133,,,,,
,,5,,,,,,0.14384882152080536,
5,,35,,,,,0.15262244641780853,,2.2321393489837646
5,0.0010000000474974513,35,15.941425323486328,0.13125643134117126,,,,,
,,6,,,,,,0.14693404734134674,
6,,41,,,,,0.14770536124706268,,2.2144153118133545
6,0.0010000000474974513,41,18.164840698242188,0.14263370633125305,,,,,
,,7,,,,,,0.15888932347297668,
7,,47,,,,,0.16236020624637604,,2.18796968460083
7,0.0010000000474974513,47,20.371706008911133,0.14960789680480957,,,,,
8,,49,,,0.147705078125,2.205185651779175,,,
,,8,,,,,,0.16621673107147217,
8,,53,,,,,0.16187813878059387,,2.1764936447143555
8,0.0010000000474974513,53,22.789072036743164,0.15572506189346313,,,,,
,,9,,,,,,0.16351716220378876,
9,,59,,,,,0.15705746412277222,,2.172786235809326
9,0.0010000000474974513,59,24.83237075805664,0.15739630162715912,,,,,
,,10,,,,,,0.17084458470344543,
10,,65,,,,,0.16824142634868622,,2.1651198863983154
10,0.0010000000474974513,65,27.518177032470703,0.1581462174654007,,,,,
,,11,,,,,,0.17238719761371613,
11,,71,,,,,0.16534902155399323,,2.154273271560669
11,0.0010000000474974513,71,29.523094177246094,0.1609637439250946,,,,,
,,12,,,,,,0.18010027706623077,
12,,77,,,,,0.17634014785289764,,2.1388473510742188
12,0.0010000000474974513,77,32.18550109863281,0.16409195959568024,,,,,
,,13,,,,,,0.20053991675376892,
13,,83,,,,,0.19996143877506256,,2.077514410018921
13,0.0010000000474974513,83,34.79331970214844,0.18166138231754303,,,,,
,,14,,,,,,0.1908985674381256,
14,,89,,,,,0.20150405168533325,,2.092064380645752
14,0.0010000000474974513,89,36.96382141113281,0.20361244678497314,,,,,
,,15,,,,,,0.2472040057182312,
15,,95,,,,,0.24103355407714844,,1.9258110523223877
15,0.0010000000474974513,95,39.31450653076172,0.21781796216964722,,,,,
16,,99,,,0.244873046875,1.9269672632217407,,,
,,16,,,,,,0.26185885071754456,
16,,101,,,,,0.25896644592285156,,1.8861079216003418
16,0.0010000000474974513,101,46.77264404296875,0.2501821219921112,,,,,
,,17,,,,,,0.2765136957168579,
17,,107,,,,,0.2727535665035248,,1.8096174001693726
17,0.0010000000474974513,107,48.95730972290039,0.25876328349113464,,,,,
,,18,,,,,,0.28152719140052795,
18,,113,,,,,0.2880833148956299,,1.8095898628234863
18,0.0010000000474974513,113,51.36800765991211,0.2602095603942871,,,,,
,,19,,,,,,0.2919398248195648,
19,,119,,,,,0.29001155495643616,,1.7748255729675293
19,0.0010000000474974513,119,53.59624099731445,0.27790752053260803,,,,,
,,20,,,,,,0.2965676784515381,
20,,125,,,,,0.29714617133140564,,1.7322545051574707
20,0.0010000000474974513,125,55.83159637451172,0.27998584508895874,,,,,
,,21,,,,,,0.30698034167289734,
21,,131,,,,,0.30823370814323425,,1.7231065034866333
21,0.0010000000474974513,131,58.286781311035156,0.2889312505722046,,,,,
,,22,,,,,,0.3008098602294922,
22,,137,,,,,0.30524489283561707,,1.7003989219665527
22,0.0010000000474974513,137,60.50741195678711,0.29666608572006226,,,,,
,,23,,,,,,0.31237947940826416,
23,,143,,,,,0.3048592507839203,,1.6759167909622192
23,0.0010000000474974513,143,62.93837356567383,0.3016905188560486,,,,,
24,,149,,,0.30322128534317017,1.7323156595230103,,,
,,24,,,,,,0.31546470522880554,
24,,149,,,,,0.31247588992118835,,1.6648938655853271
24,0.0010000000474974513,149,65.32931518554688,0.3075612783432007,,,,,
,,25,,,,,,0.31662166118621826,
25,,155,,,,,0.31797146797180176,,1.655812382698059
